Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:46:19.275305,10:46:20.651214,-1,1.0
1,10:46:19.275305,10:46:20.857099,-1,1.0
1,10:46:19.275305,10:46:21.186936,-1,1.0
1,10:46:19.275305,10:46:22.036357,1,1.0
1,10:46:19.275305,10:46:22.223623,1,1.0
1,10:46:19.275305,10:46:22.379365,1,1.0
1,10:46:19.275305,10:46:22.553129,1,1.0
1,10:46:19.275305,10:46:22.736395,1,1.0
1,10:46:19.275305,10:46:22.929450,1,1.0
1,10:46:19.275305,10:46:23.259565,1,1.0
1,10:46:19.275305,10:46:23.466965,1,1.0
1,10:46:19.275305,10:46:23.678744,1,1.0
1,10:46:19.275305,10:46:23.893588,1,1.0
1,10:46:19.275305,10:46:24.097397,1,1.0
