Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:17:01.799592,00:17:04.815507,1,-0.6692149778957059
1,00:17:01.799592,00:17:05.207631,1,-1.1227022437544463
1,00:17:01.799592,00:17:05.795873,1,-1.683832765300707
1,00:17:01.799592,00:17:06.151789,1,-1.8262945557537762
1,00:17:01.799592,00:17:06.588111,1,-1.9098594708543999
1,00:17:01.799592,00:17:06.900153,1,-1.9530873149932688
1,00:17:01.799592,00:17:07.231001,1,-1.96871950183467
1,00:17:01.799592,00:17:07.532367,1,-1.9652814375987475
1,00:17:01.799592,00:17:08.174106,1,-1.9219493415677675
1,00:17:01.799592,00:17:08.391339,1,-1.8884176761310982
1,00:17:01.799592,00:17:08.562754,1,-1.8496538605035369
1,00:17:01.799592,00:17:08.748144,1,-1.8069452995320603
1,00:17:01.799592,00:17:08.924941,1,-1.7611587690537363
1,00:17:01.799592,00:17:09.095493,1,-1.7130154372376865
1,00:17:01.799592,00:17:09.259270,1,-1.6630082148947736
1,00:17:01.799592,00:17:09.435043,1,-1.611477458646732
1,00:17:01.799592,00:17:09.586930,1,-1.5587481080162888
1,00:17:01.799592,00:17:09.765016,1,-1.5952778035542678
1,00:17:01.799592,00:17:09.921387,1,-1.4482982757035359
1,00:17:01.799592,00:17:10.106659,1,-1.393116455429805
1,00:17:01.799592,00:17:10.271717,1,-1.3373636460797513
1,00:17:01.799592,00:17:10.458757,1,-1.2811312031445823
1,00:17:01.799592,00:17:11.519259,-1,-1.1675885922470002
1,00:17:01.799592,00:17:11.885109,-1,-1.110343668071721
1,00:17:01.799592,00:17:12.230131,-1,-1.0528588232675702
1,00:17:01.799592,00:17:12.561980,-1,-0.9951977702760644
1,00:17:01.799592,00:17:13.528154,-1,-0.8793346746461452
1,00:17:01.799592,00:17:13.882823,-1,-0.8212122687963586
1,00:17:01.799592,00:17:14.223713,-1,-0.7629980826653764
1,00:17:01.799592,00:17:14.548679,-1,-0.7046717533603726
1,00:17:01.799592,00:17:14.857389,-1,-0.6462892893090668
1,00:17:01.799592,00:17:15.131184,-1,-0.5878568249543719
1,00:17:01.799592,00:17:15.377246,-1,-0.9553535508494793
1,00:17:01.799592,00:17:15.569031,-1,1.8937589377970994
