Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:42:58.783126,00:42:59.716546,1,-0.37066377439475673
1,00:42:58.783126,00:43:00.046383,1,-0.4547442362477341
1,00:42:58.783126,00:43:00.247715,1,-0.5403213691190842
1,00:42:58.783126,00:43:00.425907,1,-0.6257565805300658
1,00:42:58.783126,00:43:00.632538,1,-0.709799944334037
1,00:42:58.783126,00:43:00.776566,1,-0.7913062655851775
1,00:42:58.783126,00:43:00.961453,1,-0.8692007805649098
1,00:42:58.783126,00:43:01.147240,1,-0.9425423138526128
1,00:42:58.783126,00:43:01.322181,1,-1.010579709102558
1,00:42:58.783126,00:43:01.480762,1,-1.0727164204553787
1,00:42:58.783126,00:43:01.676203,1,-1.1285755080311901
1,00:42:58.783126,00:43:01.862570,1,-1.177878851244401
1,00:42:58.783126,00:43:02.047992,1,-1.2205982379989848
1,00:42:58.783126,00:43:02.245934,1,-1.2567501592303927
1,00:42:58.783126,00:43:02.422322,1,-1.286450464283945
1,00:42:58.783126,00:43:02.607033,1,-1.3099847240182498
1,00:42:58.783126,00:43:02.780974,1,-1.327592345335347
1,00:42:58.783126,00:43:02.969459,1,-1.3396693973311358
1,00:42:58.783126,00:43:03.143199,1,-1.3465194574948782
1,00:42:58.783126,00:43:03.307252,1,-1.3484830049799257
1,00:42:58.783126,00:43:03.514930,1,-1.345985693644792
1,00:42:58.783126,00:43:03.687743,1,-1.339328836080341
1,00:42:58.783126,00:43:03.864895,1,-1.3288890643874538
1,00:42:58.783126,00:43:04.591047,1,-1.2963755808695794
1,00:42:58.783126,00:43:04.763653,1,-1.2764838058893133
1,00:42:58.783126,00:43:04.939062,1,-1.2539810067487736
1,00:42:58.783126,00:43:05.115881,1,-1.2291843315679216
1,00:42:58.783126,00:43:05.281945,1,-1.202318337596239
1,00:42:58.783126,00:43:05.445569,1,-1.1735375196563496
1,00:42:58.783126,00:43:05.610654,1,-1.1431302407611383
1,00:42:58.783126,00:43:05.785285,1,-1.111300741016862
1,00:42:58.783126,00:43:05.979744,1,-1.0781534971420683
1,00:42:58.783126,00:43:06.110868,1,-1.0439294038161506
1,00:42:58.783126,00:43:06.284001,1,-1.0087835392075135
1,00:42:58.783126,00:43:06.458339,1,-0.9728655778268376
1,00:42:58.783126,00:43:06.624401,1,-0.9363564227206496
1,00:42:58.783126,00:43:06.800601,1,-0.8993796263650893
1,00:42:58.783126,00:43:06.975321,1,-0.862126884699137
1,00:42:58.783126,00:43:07.148746,1,-0.8247302436584221
1,00:42:58.783126,00:43:07.323544,1,-0.7874014416456419
1,00:42:58.783126,00:43:07.477070,1,-0.7502654114945244
1,00:42:58.783126,00:43:07.672963,1,-0.7135438399319298
1,00:42:58.783126,00:43:07.840567,1,-0.6774417066335445
1,00:42:58.783126,00:43:08.028000,1,-0.6421565647939929
1,00:42:58.783126,00:43:08.213213,1,-0.6079880507045061
1,00:42:58.783126,00:43:08.400653,1,-0.5751985625392706
1,00:42:58.783126,00:43:08.586589,1,-0.5441296018752269
1,00:42:58.783126,00:43:08.762755,1,-0.5151302393502704
1,00:42:58.783126,00:43:08.935718,1,-0.4887141344316035
1,00:42:58.783126,00:43:09.122604,1,-0.46536832133244843
1,00:42:58.783126,00:43:09.309365,1,-0.4457466107266441
1,00:42:58.783126,00:43:09.461980,-1,-0.43062008269598095
1,00:42:58.783126,00:43:09.620559,-1,-0.4209356094801251
1,00:42:58.783126,00:43:09.785305,-1,-0.41776747522314395
1,00:42:58.783126,00:43:09.961051,-1,-0.4225473879211279
1,00:42:58.783126,00:43:10.126075,-1,-0.43697533306007585
1,00:42:58.783126,00:43:10.292423,-1,-0.4630877870899326
1,00:42:58.783126,00:43:10.477289,-1,-0.5035209314196436
1,00:42:58.783126,00:43:10.631649,-1,-0.5613579086433447
1,00:42:58.783126,00:43:10.816060,-1,-0.6404409436819947
1,00:42:58.783126,00:43:11.002029,-1,-0.7452948591216
1,00:42:58.783126,00:43:11.196137,-1,-1.608931312067283
1,00:42:58.783126,00:43:11.454688,-1,2.4842555504192037
