Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:22:37.626911,12:22:39.846053,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:22:40.886948,12:22:42.690570,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:22:43.773612,12:22:47.775289,1,1.0
3,12:22:43.773612,12:22:50.306354,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:22:52.060829,12:22:54.042803,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,12:22:54.774378,12:22:56.064390,-1,1.0
5,12:22:54.774378,12:23:01.288135,1,1.0
5,12:22:54.774378,12:23:01.694823,1,1.0
5,12:22:54.774378,12:23:02.081436,1,1.0
5,12:22:54.774378,12:23:02.484683,1,1.0
5,12:22:54.774378,12:23:04.368597,-1,1.0
5,12:22:54.774378,12:23:04.711599,-1,1.0
5,12:22:54.774378,12:23:04.883569,-1,1.0
5,12:22:54.774378,12:23:05.035725,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,12:23:05.112013,12:23:07.421210,1,1.0
6,12:23:05.112013,12:23:08.079965,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,12:23:08.482840,12:23:10.429958,-1,1.0
7,12:23:08.482840,12:23:11.035345,-1,1.0
7,12:23:08.482840,12:23:11.314267,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,12:23:11.352175,12:23:13.076022,-1,1.0
8,12:23:11.352175,12:23:13.466045,-1,1.0
8,12:23:11.352175,12:23:13.700582,-1,1.0
8,12:23:11.352175,12:23:13.913333,-1,1.0
8,12:23:11.352175,12:23:14.067140,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,12:23:14.129398,12:23:16.424341,-1,1.0
9,12:23:14.129398,12:23:16.589891,-1,1.0
9,12:23:14.129398,12:23:16.760874,-1,1.0
9,12:23:14.129398,12:23:16.911605,-1,1.0
9,12:23:14.129398,12:23:17.108650,-1,1.0
9,12:23:14.129398,12:23:17.290146,-1,1.0
9,12:23:14.129398,12:23:17.452120,-1,1.0
9,12:23:14.129398,12:23:17.617903,-1,1.0
9,12:23:14.129398,12:23:17.779963,-1,1.0
9,12:23:14.129398,12:23:18.080204,-1,1.0
9,12:23:14.129398,12:23:18.234241,-1,1.0
9,12:23:14.129398,12:23:18.399860,-1,1.0
9,12:23:14.129398,12:23:18.560123,-1,1.0
9,12:23:14.129398,12:23:18.703448,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,12:23:18.759863,12:23:20.744868,-1,1.0
10,12:23:18.759863,12:23:20.996127,-1,1.0
10,12:23:18.759863,12:23:21.150429,-1,1.0
10,12:23:18.759863,12:23:21.319721,-1,1.0
10,12:23:18.759863,12:23:21.482827,-1,1.0
10,12:23:18.759863,12:23:21.638709,-1,1.0
10,12:23:18.759863,12:23:21.794151,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,12:23:21.828090,12:23:23.464175,-1,1.0
11,12:23:21.828090,12:23:28.562603,1,1.0
11,12:23:21.828090,12:23:38.113808,1,1.0
11,12:23:21.828090,12:23:45.443690,1,1.0
11,12:23:21.828090,12:23:48.028230,-1,1.0
11,12:23:21.828090,12:23:50.928490,-1,1.0
11,12:23:21.828090,12:23:54.677630,-1,1.0
11,12:23:21.828090,12:23:56.627044,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,12:23:56.662394,12:24:07.410429,1,1.0
12,12:23:56.662394,12:24:09.476933,-1,1.0
12,12:23:56.662394,12:24:09.744178,-1,1.0
12,12:23:56.662394,12:24:09.928448,-1,1.0
12,12:23:56.662394,12:24:10.112442,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,12:24:10.163309,12:24:15.135483,1,1.0
13,12:24:10.163309,12:24:20.571463,1,1.0
13,12:24:10.163309,12:24:24.364727,1,1.0
13,12:24:10.163309,12:24:28.841062,-1,1.0
13,12:24:10.163309,12:24:29.903570,-1,1.0
13,12:24:10.163309,12:24:30.854841,-1,1.0
13,12:24:10.163309,12:24:31.852391,-1,1.0
13,12:24:10.163309,12:24:32.803093,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,12:24:32.843566,12:24:34.763257,-1,1.0
14,12:24:32.843566,12:24:35.106213,-1,1.0
14,12:24:32.843566,12:24:35.416621,-1,1.0
14,12:24:32.843566,12:24:35.679189,-1,1.0
14,12:24:32.843566,12:24:35.967051,-1,1.0
14,12:24:32.843566,12:24:36.265349,-1,1.0
14,12:24:32.843566,12:24:36.543092,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
15,12:24:36.923367,12:24:39.331901,-1,1.0
15,12:24:36.923367,12:24:39.607976,-1,1.0
15,12:24:36.923367,12:24:39.845862,-1,1.0
15,12:24:36.923367,12:24:39.987934,-1,1.0
15,12:24:36.923367,12:24:40.235862,-1,1.0
15,12:24:36.923367,12:24:40.481485,-1,1.0
15,12:24:36.923367,12:24:40.603928,-1,1.0
15,12:24:36.923367,12:24:40.884652,-1,1.0
15,12:24:36.923367,12:24:41.801796,-1,1.0
15,12:24:36.923367,12:24:41.955055,-1,1.0
15,12:24:36.923367,12:24:44.808104,1,1.0
15,12:24:36.923367,12:24:44.989587,1,1.0
15,12:24:36.923367,12:24:45.161280,1,1.0
15,12:24:36.923367,12:24:45.303314,1,1.0
15,12:24:36.923367,12:24:45.598286,1,1.0
