Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,11:16:08.088190,11:16:11.609649,-1,1.0
1,11:16:08.088190,11:16:12.254826,1,1.0
1,11:16:08.088190,11:16:12.515624,1,1.0
1,11:16:08.088190,11:16:12.740960,1,1.0
1,11:16:08.088190,11:16:12.951745,1,1.0
1,11:16:08.088190,11:16:13.160115,1,1.0
1,11:16:08.088190,11:16:13.354292,1,1.0
1,11:16:08.088190,11:16:13.528688,1,1.0
1,11:16:08.088190,11:16:13.723039,1,1.0
1,11:16:08.088190,11:16:13.898229,1,1.0
1,11:16:08.088190,11:16:14.062301,1,1.0
1,11:16:08.088190,11:16:14.236166,-1,1.0
1,11:16:08.088190,11:16:14.426124,-1,1.0
1,11:16:08.088190,11:16:14.600633,-1,1.0
1,11:16:08.088190,11:16:14.769523,-1,1.0
1,11:16:08.088190,11:16:14.954423,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,11:16:14.983012,11:16:16.414781,1,1.0
2,11:16:14.983012,11:16:16.609618,1,1.0
2,11:16:14.983012,11:16:16.805333,1,1.0
2,11:16:14.983012,11:16:17.026248,-1,1.0
2,11:16:14.983012,11:16:17.294353,-1,1.0
2,11:16:14.983012,11:16:17.500477,-1,1.0
2,11:16:14.983012,11:16:17.674421,-1,1.0
2,11:16:14.983012,11:16:17.888346,-1,1.0
2,11:16:14.983012,11:16:18.120617,1,1.0
2,11:16:14.983012,11:16:18.345921,-1,1.0
2,11:16:14.983012,11:16:18.596179,1,1.0
2,11:16:14.983012,11:16:18.796384,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,11:16:18.828053,11:16:20.351299,1,1.0
3,11:16:18.828053,11:16:20.620649,1,1.0
3,11:16:18.828053,11:16:20.816589,1,1.0
3,11:16:18.828053,11:16:21.025318,1,1.0
3,11:16:18.828053,11:16:21.277025,-1,1.0
3,11:16:18.828053,11:16:21.453463,-1,1.0
3,11:16:18.828053,11:16:21.629182,-1,1.0
3,11:16:18.828053,11:16:21.906848,1,1.0
3,11:16:18.828053,11:16:22.180980,1,1.0
3,11:16:18.828053,11:16:22.389067,-1,1.0
