Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:40:57.372253,00:40:59.114592,1,-1.247922084897823
1,00:40:57.372253,00:40:59.383316,1,-1.188073181833829
1,00:40:57.372253,00:40:59.602408,1,-1.1283400890094697
1,00:40:57.372253,00:40:59.758489,1,-1.0685799646676912
1,00:40:57.372253,00:40:59.934553,1,-1.0087490217349
1,00:40:57.372253,00:41:00.101528,1,-0.9489583945826325
1,00:40:57.372253,00:41:00.258495,1,-0.8891245643235948
1,00:40:57.372253,00:41:00.446079,1,-0.8292604573643416
1,00:40:57.372253,00:41:00.601294,1,-0.7693971330978684
1,00:40:57.372253,00:41:00.779175,1,-0.7095176958681293
1,00:40:57.372253,00:41:00.944143,1,-0.6496463419582881
1,00:40:57.372253,00:41:01.109644,1,-0.5897628480609569
1,00:40:57.372253,00:41:01.269509,1,-0.5298368961059623
1,00:40:57.372253,00:41:01.432119,1,-0.46994621698399897
1,00:40:57.372253,00:41:01.601227,1,-0.41002497789608583
1,00:40:57.372253,00:41:01.788669,1,-0.3501417630670858
1,00:40:57.372253,00:41:01.968143,1,-0.2901970925996693
1,00:40:57.372253,00:41:02.152550,1,-0.23027521001736773
1,00:40:57.372253,00:41:02.305641,1,-0.17034766900655995
1,00:40:57.372253,00:41:02.464366,1,-0.11043579529140857
1,00:40:57.372253,00:41:02.617542,1,-0.05049093996686338
1,00:40:57.372253,00:41:02.751373,1,-0.08371537538849338
1,00:40:57.372253,00:41:02.913585,1,0.07169984102799276
1,00:40:57.372253,00:41:03.078749,1,0.13163666845468924
1,00:40:57.372253,00:41:03.240037,1,0.19153262422418038
1,00:40:57.372253,00:41:03.389973,1,0.25146283352302135
1,00:40:57.372253,00:41:03.553229,1,0.3113616331692697
1,00:40:57.372253,00:41:03.720003,1,0.3712350697326485
1,00:40:57.372253,00:41:03.895057,1,0.43113253083427594
1,00:40:57.372253,00:41:04.374507,1,0.4909993739880747
1,00:40:57.372253,00:41:04.696101,1,0.550863708942444
1,00:40:57.372253,00:41:04.966947,1,0.6106793420815393
1,00:40:57.372253,00:41:05.204221,1,0.6704966355017916
1,00:40:57.372253,00:41:05.390161,1,0.7302709484579566
1,00:40:57.372253,00:41:05.596680,1,0.7899896249483618
1,00:40:57.372253,00:41:05.793025,1,0.8496523086235754
1,00:40:57.372253,00:41:05.989293,1,0.909225277890414
1,00:40:57.372253,00:41:06.172136,1,0.9686639024808699
1,00:40:57.372253,00:41:06.375011,1,1.0279247230788258
1,00:40:57.372253,00:41:06.574861,1,1.0868870340033254
1,00:40:57.372253,00:41:06.792920,1,1.1454206632820387
1,00:40:57.372253,00:41:07.020676,1,1.2031566602660462
1,00:40:57.372253,00:41:09.769860,1,18.19727936362716
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:41:10.353750,00:41:12.271869,1,1.9002915980593968
2,00:41:10.353750,00:41:12.516849,1,1.9402183363461916
2,00:41:10.353750,00:41:12.654667,1,1.9731940832607506
2,00:41:10.353750,00:41:12.906381,1,1.9958219375949398
2,00:41:10.353750,00:41:13.064007,1,2.002171775038306
2,00:41:10.353750,00:41:13.358715,1,1.9821516246845476
2,00:41:10.353750,00:41:13.489880,1,1.9172051170342286
2,00:41:10.353750,00:41:13.801716,-1,1.773070543865174
2,00:41:10.353750,00:41:14.052239,-1,1.4885675047137
2,00:41:10.353750,00:41:14.193954,-1,0.9779250873744445
