Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:27:50.152925,12:27:51.336228,1,1.0
1,12:27:50.152925,12:27:51.816598,1,1.0
1,12:27:50.152925,12:27:52.302022,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:27:52.330363,12:27:53.964373,1,1.0
2,12:27:52.330363,12:27:54.301583,1,1.0
2,12:27:52.330363,12:27:54.711727,1,1.0
2,12:27:52.330363,12:27:55.028014,1,1.0
2,12:27:52.330363,12:27:55.104357,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:27:55.121146,12:27:56.355720,1,1.0
3,12:27:55.121146,12:27:56.734263,1,1.0
3,12:27:55.121146,12:27:56.923880,-1,1.0
3,12:27:55.121146,12:27:57.077433,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:27:57.443722,12:27:58.199991,-1,1.0
4,12:27:57.443722,12:27:58.576814,-1,1.0
4,12:27:57.443722,12:27:58.867853,-1,1.0
4,12:27:57.443722,12:27:59.155149,-1,1.0
4,12:27:57.443722,12:27:59.480631,-1,1.0
4,12:27:57.443722,12:27:59.703996,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,12:27:59.724893,12:28:00.645831,-1,1.0
5,12:27:59.724893,12:28:01.240385,-1,1.0
5,12:27:59.724893,12:28:03.135912,1,1.0
5,12:27:59.724893,12:28:03.518874,1,1.0
5,12:27:59.724893,12:28:03.686732,-1,1.0
5,12:27:59.724893,12:28:04.296395,1,1.0
5,12:27:59.724893,12:28:04.635545,1,1.0
5,12:27:59.724893,12:28:05.495535,-1,1.0
5,12:27:59.724893,12:28:05.646928,-1,1.0
5,12:27:59.724893,12:28:05.818311,-1,1.0
5,12:27:59.724893,12:28:06.147333,1,1.0
5,12:27:59.724893,12:28:06.309720,1,1.0
5,12:27:59.724893,12:28:06.503114,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,12:28:06.864136,12:28:07.978873,1,1.0
6,12:28:06.864136,12:28:08.355336,1,1.0
6,12:28:06.864136,12:28:08.678941,-1,1.0
6,12:28:06.864136,12:28:08.841343,-1,1.0
6,12:28:06.864136,12:28:08.981013,-1,1.0
6,12:28:06.864136,12:28:09.109659,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,12:28:09.136299,12:28:10.516756,1,1.0
7,12:28:09.136299,12:28:10.956372,1,1.0
7,12:28:09.136299,12:28:11.441809,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,12:28:11.460193,12:28:13.102760,1,1.0
8,12:28:11.460193,12:28:13.513844,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,12:28:14.213713,12:28:15.312293,-1,1.0
9,12:28:14.213713,12:28:15.867058,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,12:28:17.563028,12:28:19.090721,-1,1.0
10,12:28:17.563028,12:28:20.017460,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,12:28:20.714286,12:28:21.585203,1,1.0
11,12:28:20.714286,12:28:22.158959,1,1.0
11,12:28:20.714286,12:28:22.669438,-1,1.0
11,12:28:20.714286,12:28:22.851381,-1,1.0
11,12:28:20.714286,12:28:23.159392,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,12:28:23.523094,12:28:24.288075,1,1.0
12,12:28:23.523094,12:28:24.947106,1,1.0
12,12:28:23.523094,12:28:25.622563,1,1.0
12,12:28:23.523094,12:28:26.002150,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,12:28:26.360121,12:28:27.577424,1,1.0
13,12:28:26.360121,12:28:28.117121,1,1.0
13,12:28:26.360121,12:28:28.379779,-1,1.0
13,12:28:26.360121,12:28:28.480397,-1,1.0
13,12:28:26.360121,12:28:28.649241,-1,1.0
13,12:28:26.360121,12:28:28.724450,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,12:28:28.746008,12:28:29.788284,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
15,12:28:31.152586,12:28:33.384841,-1,1.0
15,12:28:31.152586,12:28:33.957839,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
16,12:28:34.315460,12:28:35.689367,-1,1.0
16,12:28:34.315460,12:28:36.107648,-1,1.0
16,12:28:34.315460,12:28:36.393520,-1,1.0
16,12:28:34.315460,12:28:36.574063,-1,1.0
16,12:28:34.315460,12:28:36.724331,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
17,12:28:36.751384,12:28:38.133445,-1,1.0
17,12:28:36.751384,12:28:38.271198,-1,1.0
17,12:28:36.751384,12:28:38.389932,-1,1.0
17,12:28:36.751384,12:28:38.541203,-1,1.0
17,12:28:36.751384,12:28:38.672757,-1,1.0
17,12:28:36.751384,12:28:38.799228,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
18,12:28:38.817183,12:28:39.920421,-1,1.0
18,12:28:38.817183,12:28:40.111327,-1,1.0
18,12:28:38.817183,12:28:40.266977,-1,1.0
18,12:28:38.817183,12:28:40.439240,-1,1.0
18,12:28:38.817183,12:28:40.580260,-1,1.0
18,12:28:38.817183,12:28:40.745833,-1,1.0
18,12:28:38.817183,12:28:40.897108,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
19,12:28:40.924148,12:28:42.052296,1,1.0
19,12:28:40.924148,12:28:42.575894,1,1.0
19,12:28:40.924148,12:28:42.967281,1,1.0
19,12:28:40.924148,12:28:43.237743,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
20,12:28:43.269097,12:28:44.238090,-1,1.0
20,12:28:43.269097,12:28:44.611671,1,1.0
20,12:28:43.269097,12:28:44.851075,1,1.0
20,12:28:43.269097,12:28:45.001312,1,1.0
20,12:28:43.269097,12:28:45.606214,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
21,12:28:45.635283,12:28:46.638194,-1,1.0
21,12:28:45.635283,12:28:47.042169,1,1.0
21,12:28:45.635283,12:28:47.221258,1,1.0
21,12:28:45.635283,12:28:47.381291,1,1.0
21,12:28:45.635283,12:28:47.539549,1,1.0
21,12:28:45.635283,12:28:47.688250,1,1.0
21,12:28:45.635283,12:28:47.849056,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
22,12:28:47.877163,12:28:49.253302,1,1.0
22,12:28:47.877163,12:28:49.631375,1,1.0
22,12:28:47.877163,12:28:49.787464,1,1.0
22,12:28:47.877163,12:28:49.956570,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
23,12:28:49.994091,12:28:50.882837,1,1.0
23,12:28:49.994091,12:28:51.256103,1,1.0
23,12:28:49.994091,12:28:51.537288,1,1.0
23,12:28:49.994091,12:28:51.706953,1,1.0
23,12:28:49.994091,12:28:51.898920,1,1.0
23,12:28:49.994091,12:28:52.073304,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
24,12:28:52.124067,12:28:52.946795,1,1.0
24,12:28:52.124067,12:28:53.269715,1,1.0
24,12:28:52.124067,12:28:53.564818,1,1.0
24,12:28:52.124067,12:28:53.829965,1,1.0
24,12:28:52.124067,12:28:54.105824,1,1.0
24,12:28:52.124067,12:28:54.272269,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
25,12:28:54.641152,12:28:56.018514,1,1.0
25,12:28:54.641152,12:28:56.502836,1,1.0
25,12:28:54.641152,12:28:56.885014,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
26,12:28:57.255364,12:28:58.175225,-1,1.0
26,12:28:57.255364,12:28:58.425121,-1,1.0
26,12:28:57.255364,12:28:58.559427,-1,1.0
26,12:28:57.255364,12:28:58.823338,-1,1.0
26,12:28:57.255364,12:28:58.981309,-1,1.0
26,12:28:57.255364,12:28:59.180945,-1,1.0
26,12:28:57.255364,12:28:59.348883,-1,1.0
26,12:28:57.255364,12:28:59.529568,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
27,12:28:59.556372,12:29:00.322606,1,1.0
27,12:28:59.556372,12:29:00.695453,1,1.0
27,12:28:59.556372,12:29:00.964216,1,1.0
27,12:28:59.556372,12:29:01.241223,1,1.0
27,12:28:59.556372,12:29:01.504069,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
28,12:29:01.525028,12:29:02.855964,-1,1.0
28,12:29:01.525028,12:29:03.138981,1,1.0
28,12:29:01.525028,12:29:03.320865,1,1.0
28,12:29:01.525028,12:29:03.491398,1,1.0
28,12:29:01.525028,12:29:03.675318,1,1.0
28,12:29:01.525028,12:29:03.864204,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
29,12:29:03.897269,12:29:04.808196,-1,1.0
29,12:29:03.897269,12:29:05.200257,-1,1.0
29,12:29:03.897269,12:29:05.473766,1,1.0
29,12:29:03.897269,12:29:05.707011,1,1.0
29,12:29:03.897269,12:29:05.953002,1,1.0
29,12:29:03.897269,12:29:06.129193,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
30,12:29:06.161362,12:29:07.236504,1,1.0
30,12:29:06.161362,12:29:07.790673,-1,1.0
30,12:29:06.161362,12:29:07.919132,-1,1.0
30,12:29:06.161362,12:29:08.068068,-1,1.0
30,12:29:06.161362,12:29:08.247257,-1,1.0
