Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:29:21.758240,10:29:24.888996,-1,1.0
1,10:29:21.758240,10:29:26.219672,1,1.0
1,10:29:21.758240,10:29:27.511843,1,1.0
1,10:29:21.758240,10:29:28.408152,1,1.0
1,10:29:21.758240,10:29:29.429498,1,1.0
1,10:29:21.758240,10:29:30.361469,1,1.0
1,10:29:21.758240,10:29:31.344172,1,1.0
1,10:29:21.758240,10:29:34.681447,-1,1.0
1,10:29:21.758240,10:29:35.527710,-1,1.0
1,10:29:21.758240,10:29:36.374218,1,1.0
1,10:29:21.758240,10:29:37.183579,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:29:37.213991,10:29:42.521749,-1,1.0
2,10:29:37.213991,10:29:43.458931,1,1.0
2,10:29:37.213991,10:29:44.278547,1,1.0
2,10:29:37.213991,10:29:45.199985,1,1.0
2,10:29:37.213991,10:29:46.002370,1,1.0
2,10:29:37.213991,10:29:46.839280,1,1.0
2,10:29:37.213991,10:29:47.678599,1,1.0
2,10:29:37.213991,10:29:48.589399,1,1.0
2,10:29:37.213991,10:29:56.502108,-1,1.0
2,10:29:37.213991,10:29:57.342915,-1,1.0
2,10:29:37.213991,10:29:58.700914,1,1.0
2,10:29:37.213991,10:29:59.179793,1,1.0
2,10:29:37.213991,10:29:59.679259,1,1.0
2,10:29:37.213991,10:30:00.448212,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,10:30:01.418494,10:30:06.206730,1,1.0
3,10:30:01.418494,10:30:08.026347,1,1.0
3,10:30:01.418494,10:30:09.147548,1,1.0
3,10:30:01.418494,10:30:11.826633,1,1.0
3,10:30:01.418494,10:30:12.945141,1,1.0
3,10:30:01.418494,10:30:14.045493,1,1.0
3,10:30:01.418494,10:30:16.812649,1,1.0
3,10:30:01.418494,10:30:17.310257,-1,1.0
3,10:30:01.418494,10:30:18.217667,1,1.0
3,10:30:01.418494,10:30:19.478433,1,1.0
3,10:30:01.418494,10:30:20.843823,1,1.0
3,10:30:01.418494,10:30:21.791467,1,1.0
3,10:30:01.418494,10:30:22.437001,-1,1.0
3,10:30:01.418494,10:30:23.269113,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,10:30:24.237573,10:30:28.596244,1,1.0
4,10:30:24.237573,10:30:29.782593,1,1.0
4,10:30:24.237573,10:30:30.936185,1,1.0
4,10:30:24.237573,10:30:32.025553,1,1.0
4,10:30:24.237573,10:30:33.736119,1,1.0
4,10:30:24.237573,10:30:34.730569,1,1.0
4,10:30:24.237573,10:30:35.496183,1,1.0
4,10:30:24.237573,10:30:36.502549,-1,1.0
4,10:30:24.237573,10:30:38.074239,1,1.0
4,10:30:24.237573,10:30:41.714900,1,1.0
4,10:30:24.237573,10:30:47.737684,1,1.0
4,10:30:24.237573,10:30:50.014668,1,1.0
4,10:30:24.237573,10:30:52.290846,1,1.0
4,10:30:24.237573,10:30:53.953196,-1,1.0
4,10:30:24.237573,10:30:54.525305,1,1.0
4,10:30:24.237573,10:30:56.344688,1,1.0
4,10:30:24.237573,10:30:58.728446,-1,1.0
4,10:30:24.237573,10:30:59.516899,1,1.0
4,10:30:24.237573,10:31:00.123659,-1,1.0
4,10:30:24.237573,10:31:00.593257,1,1.0
4,10:30:24.237573,10:31:01.006730,1,1.0
4,10:30:24.237573,10:31:01.471321,1,1.0
4,10:30:24.237573,10:31:02.040579,1,1.0
4,10:30:24.237573,10:31:02.465431,1,1.0
4,10:30:24.237573,10:31:02.926628,1,1.0
4,10:30:24.237573,10:31:03.386964,1,1.0
4,10:30:24.237573,10:31:03.832119,1,1.0
4,10:30:24.237573,10:31:04.311510,1,1.0
4,10:30:24.237573,10:31:04.891084,1,1.0
4,10:30:24.237573,10:31:05.357275,1,1.0
4,10:30:24.237573,10:31:05.872246,1,1.0
4,10:30:24.237573,10:31:08.864726,-1,1.0
4,10:30:24.237573,10:31:09.219751,-1,1.0
4,10:30:24.237573,10:31:09.761114,1,1.0
4,10:30:24.237573,10:31:10.039760,1,1.0
4,10:30:24.237573,10:31:10.291292,1,1.0
