Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:38:13.362274,00:38:13.975263,1,1.4178510027337552
1,00:38:13.362274,00:38:14.295549,1,1.44891144743724
1,00:38:13.362274,00:38:14.553566,1,1.4685170099409959
1,00:38:13.362274,00:38:14.833730,1,1.479549457152956
1,00:38:13.362274,00:38:15.103840,1,1.4795891772803884
1,00:38:13.362274,00:38:15.355608,1,1.4654634047515458
1,00:38:13.362274,00:38:15.614556,1,1.4330029044814978
1,00:38:13.362274,00:38:15.884691,1,1.3769488077705034
1,00:38:13.362274,00:38:16.134568,1,1.2905500500020821
1,00:38:13.362274,00:38:16.393270,1,1.1659963199874426
1,00:38:13.362274,00:38:16.641536,1,0.9951583066630008
1,00:38:13.362274,00:38:16.889582,1,0.7715548208776113
1,00:38:13.362274,00:38:17.138504,1,0.49395857835048673
1,00:38:13.362274,00:38:17.409780,1,0.17060407524320453
1,00:38:13.362274,00:38:17.637352,1,-0.1790391486966314
1,00:38:13.362274,00:38:17.876360,1,-0.5275533419850547
1,00:38:13.362274,00:38:18.104745,1,-0.8478204334722079
1,00:38:13.362274,00:38:18.312557,1,-1.121244682528527
1,00:38:13.362274,00:38:18.521053,1,-1.340515622499197
1,00:38:13.362274,00:38:18.689592,1,-1.507393426706301
1,00:38:13.362274,00:38:18.886455,1,-1.6286143632536039
1,00:38:13.362274,00:38:19.072771,1,-1.7123583562498652
1,00:38:13.362274,00:38:19.258231,1,-1.7663894070901165
1,00:38:13.362274,00:38:19.454636,1,-1.8703200028313063
1,00:38:13.362274,00:38:19.627932,1,-1.810188507942172
1,00:38:13.362274,00:38:19.834016,1,-1.8088411514521283
1,00:38:13.362274,00:38:20.011558,1,-1.7967613352550416
1,00:38:13.362274,00:38:20.196936,1,-1.7763064292575734
1,00:38:13.362274,00:38:20.350361,1,-1.7492495941379502
1,00:38:13.362274,00:38:20.513288,1,-1.7168943634299012
1,00:38:13.362274,00:38:20.679746,1,-1.6803458994997982
1,00:38:13.362274,00:38:20.864720,1,-1.640350422426195
1,00:38:13.362274,00:38:21.033917,1,-1.5975907376211467
1,00:38:13.362274,00:38:21.212109,1,-1.5525143078689325
1,00:38:13.362274,00:38:21.388938,1,-1.5055648455314952
1,00:38:13.362274,00:38:21.541701,1,-1.4570302515460014
1,00:38:13.362274,00:38:21.731668,1,-1.4071733628380514
1,00:38:13.362274,00:38:21.916060,1,-1.3561999862887433
1,00:38:13.362274,00:38:22.098974,1,-1.3043062056095494
1,00:38:13.362274,00:38:22.254779,1,-1.251602580135966
1,00:38:13.362274,00:38:22.425313,1,-1.1982140475826668
1,00:38:13.362274,00:38:22.833430,-1,-1.1442598077725847
1,00:38:13.362274,00:38:23.098062,-1,-1.0898040825172188
1,00:38:13.362274,00:38:23.365964,-1,-1.0349302773873887
1,00:38:13.362274,00:38:23.638193,-1,-0.97969583925601
1,00:38:13.362274,00:38:23.908764,-1,-0.9241601093843315
1,00:38:13.362274,00:38:24.149957,-1,-0.8683701810718958
1,00:38:13.362274,00:38:24.376933,-1,-0.8123633340728418
1,00:38:13.362274,00:38:24.603846,-1,-0.7562123347398995
1,00:38:13.362274,00:38:24.871283,-1,-0.6998899449852161
1,00:38:13.362274,00:38:25.207740,-1,-0.64348422550745
1,00:38:13.362274,00:38:25.532184,-1,-0.5870235714240835
1,00:38:13.362274,00:38:25.792828,-1,-1.020964810801927
1,00:38:13.362274,00:38:29.748753,1,2.5086946840394946
1,00:38:13.362274,00:38:30.117439,1,4.7025575866913245
1,00:38:13.362274,00:38:30.476917,1,1.2517233636350908
1,00:38:13.362274,00:38:30.831068,1,3.6707806620747876
1,00:38:13.362274,00:38:31.204487,1,4.736625877349707
1,00:38:13.362274,00:38:31.538744,1,2.0093285563878966
1,00:38:13.362274,00:38:31.891952,1,3.094886094280679
1,00:38:13.362274,00:38:32.204783,1,1.442617558448785
1,00:38:13.362274,00:38:32.561122,1,0.5196387289096946
1,00:38:13.362274,00:38:33.022261,1,1.4368109225008652
1,00:38:13.362274,00:38:36.404334,-1,1.4626902427916775
1,00:38:13.362274,00:38:37.363101,-1,0.7148004525372016
1,00:38:13.362274,00:38:38.887052,-1,0.09969070512290729
1,00:38:13.362274,00:38:39.712755,-1,0.3747280612307236
1,00:38:13.362274,00:38:40.116617,-1,-0.35094315775812673
1,00:38:13.362274,00:38:40.523542,-1,1.2168718570132
