Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:34:07.546940,10:34:09.449193,1,1.0
1,10:34:07.546940,10:34:09.861178,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:34:10.259426,10:34:11.228369,-1,1.0
2,10:34:10.259426,10:34:11.602302,-1,1.0
2,10:34:10.259426,10:34:11.884140,1,1.0
2,10:34:10.259426,10:34:12.284905,1,1.0
2,10:34:10.259426,10:34:12.715312,1,1.0
2,10:34:10.259426,10:34:13.091417,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,10:34:13.116823,10:34:13.973048,-1,1.0
3,10:34:13.116823,10:34:14.553060,1,1.0
3,10:34:13.116823,10:34:15.144000,1,1.0
3,10:34:13.116823,10:34:15.729151,1,1.0
3,10:34:13.116823,10:34:16.006315,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,10:34:16.050973,10:34:16.720938,1,1.0
4,10:34:16.050973,10:34:17.313644,1,1.0
4,10:34:16.050973,10:34:17.523389,-1,1.0
4,10:34:16.050973,10:34:17.987317,-1,1.0
4,10:34:16.050973,10:34:18.372045,-1,1.0
4,10:34:16.050973,10:34:18.746498,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,10:34:18.768258,10:34:19.473316,1,1.0
5,10:34:18.768258,10:34:20.216605,1,1.0
5,10:34:18.768258,10:34:20.514656,-1,1.0
5,10:34:18.768258,10:34:20.937759,-1,1.0
5,10:34:18.768258,10:34:21.434007,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,10:34:21.459297,10:34:22.198336,-1,1.0
6,10:34:21.459297,10:34:22.719135,1,1.0
6,10:34:21.459297,10:34:23.095400,1,1.0
6,10:34:21.459297,10:34:23.471825,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,10:34:23.831948,10:34:24.544639,1,1.0
7,10:34:23.831948,10:34:24.795573,-1,1.0
7,10:34:23.831948,10:34:25.178804,-1,1.0
7,10:34:23.831948,10:34:25.605413,-1,1.0
7,10:34:23.831948,10:34:25.992380,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,10:34:26.015591,10:34:26.686434,1,1.0
8,10:34:26.015591,10:34:27.140456,-1,1.0
8,10:34:26.015591,10:34:27.568895,-1,1.0
8,10:34:26.015591,10:34:27.886369,1,1.0
8,10:34:26.015591,10:34:28.264874,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,10:34:28.292959,10:34:29.134569,1,1.0
9,10:34:28.292959,10:34:29.404278,-1,1.0
9,10:34:28.292959,10:34:29.718041,-1,1.0
9,10:34:28.292959,10:34:30.317693,-1,1.0
9,10:34:28.292959,10:34:30.593747,-1,1.0
9,10:34:28.292959,10:34:30.899233,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,10:34:30.942973,10:34:31.682312,-1,1.0
10,10:34:30.942973,10:34:32.389281,-1,1.0
10,10:34:30.942973,10:34:33.111191,-1,1.0
10,10:34:30.942973,10:34:33.445709,1,1.0
10,10:34:30.942973,10:34:34.377987,1,1.0
10,10:34:30.942973,10:34:34.681882,-1,1.0
10,10:34:30.942973,10:34:34.944291,-1,1.0
10,10:34:30.942973,10:34:35.260152,-1,1.0
10,10:34:30.942973,10:34:35.554349,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,10:34:35.936369,10:34:36.706384,-1,1.0
11,10:34:35.936369,10:34:37.158254,-1,1.0
11,10:34:35.936369,10:34:37.773450,-1,1.0
11,10:34:35.936369,10:34:38.284550,-1,1.0
11,10:34:35.936369,10:34:38.664431,1,1.0
11,10:34:35.936369,10:34:39.164727,1,1.0
11,10:34:35.936369,10:34:39.550980,1,1.0
11,10:34:35.936369,10:34:39.832369,1,1.0
11,10:34:35.936369,10:34:40.227815,1,1.0
11,10:34:35.936369,10:34:41.137668,1,1.0
11,10:34:35.936369,10:34:41.516263,1,1.0
11,10:34:35.936369,10:34:42.247386,1,1.0
11,10:34:35.936369,10:34:42.625803,1,1.0
11,10:34:35.936369,10:34:43.003544,1,1.0
11,10:34:35.936369,10:34:43.293681,1,1.0
11,10:34:35.936369,10:34:43.619431,1,1.0
11,10:34:35.936369,10:34:44.447556,1,1.0
11,10:34:35.936369,10:34:44.922770,-1,1.0
11,10:34:35.936369,10:34:45.165493,-1,1.0
11,10:34:35.936369,10:34:45.432952,-1,1.0
11,10:34:35.936369,10:34:45.594117,-1,1.0
11,10:34:35.936369,10:34:45.722297,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,10:34:45.744310,10:34:46.671300,1,1.0
12,10:34:45.744310,10:34:47.076239,-1,1.0
12,10:34:45.744310,10:34:47.450751,-1,1.0
12,10:34:45.744310,10:34:47.721758,-1,1.0
12,10:34:45.744310,10:34:48.030327,-1,1.0
12,10:34:45.744310,10:34:48.314013,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,10:34:48.353956,10:34:49.068181,1,1.0
13,10:34:48.353956,10:34:49.492491,1,1.0
13,10:34:48.353956,10:34:49.797324,-1,1.0
13,10:34:48.353956,10:34:50.135216,-1,1.0
13,10:34:48.353956,10:34:50.426481,-1,1.0
13,10:34:48.353956,10:34:50.754289,-1,1.0
13,10:34:48.353956,10:34:51.135997,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,10:34:51.167927,10:34:51.824326,1,1.0
14,10:34:51.167927,10:34:52.216586,1,1.0
14,10:34:51.167927,10:34:52.516940,1,1.0
14,10:34:51.167927,10:34:52.808882,1,1.0
14,10:34:51.167927,10:34:53.085769,1,1.0
14,10:34:51.167927,10:34:53.395930,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
15,10:34:53.425658,10:34:54.203218,1,1.0
15,10:34:53.425658,10:34:54.514629,1,1.0
15,10:34:53.425658,10:34:54.805009,1,1.0
15,10:34:53.425658,10:34:55.073043,1,1.0
15,10:34:53.425658,10:34:55.353168,1,1.0
15,10:34:53.425658,10:34:55.601523,1,1.0
15,10:34:53.425658,10:34:55.840587,1,1.0
15,10:34:53.425658,10:34:56.028086,1,1.0
