Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:32:26.603548,21:32:27.146234,-1,1.0
1,21:32:26.603548,21:32:27.440015,-1,1.0
1,21:32:26.603548,21:32:27.765968,-1,1.0
1,21:32:26.603548,21:32:28.070195,1,1.0
1,21:32:26.603548,21:32:28.455158,1,1.0
1,21:32:26.603548,21:32:28.757418,1,1.0
1,21:32:26.603548,21:32:29.018923,1,1.0
1,21:32:26.603548,21:32:29.253036,-1,1.0
1,21:32:26.603548,21:32:29.511535,-1,1.0
1,21:32:26.603548,21:32:29.629879,-1,1.0
1,21:32:26.603548,21:32:29.815060,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:32:30.169433,21:32:30.897741,-1,1.0
2,21:32:30.169433,21:32:31.222285,-1,1.0
2,21:32:30.169433,21:32:31.527436,-1,1.0
2,21:32:30.169433,21:32:31.757860,1,1.0
2,21:32:30.169433,21:32:32.034462,1,1.0
2,21:32:30.169433,21:32:32.298140,1,1.0
2,21:32:30.169433,21:32:32.528397,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,21:32:32.573627,21:32:33.191026,1,1.0
3,21:32:32.573627,21:32:33.481579,1,1.0
3,21:32:32.573627,21:32:33.753094,1,1.0
3,21:32:32.573627,21:32:34.057470,-1,1.0
3,21:32:32.573627,21:32:34.278964,-1,1.0
3,21:32:32.573627,21:32:34.474998,-1,1.0
3,21:32:32.573627,21:32:34.667874,-1,1.0
3,21:32:32.573627,21:32:34.912887,1,1.0
3,21:32:32.573627,21:32:35.052159,1,1.0
3,21:32:32.573627,21:32:35.298172,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,21:32:35.320817,21:32:36.035286,1,1.0
4,21:32:35.320817,21:32:36.285926,1,1.0
4,21:32:35.320817,21:32:36.451075,-1,1.0
4,21:32:35.320817,21:32:36.648977,-1,1.0
4,21:32:35.320817,21:32:36.839545,-1,1.0
4,21:32:35.320817,21:32:36.981300,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,21:32:37.007810,21:32:37.723411,1,1.0
5,21:32:37.007810,21:32:37.879435,1,1.0
5,21:32:37.007810,21:32:38.110500,1,1.0
5,21:32:37.007810,21:32:38.298192,-1,1.0
5,21:32:37.007810,21:32:38.506681,-1,1.0
5,21:32:37.007810,21:32:38.688477,-1,1.0
5,21:32:37.007810,21:32:38.841711,-1,1.0
5,21:32:37.007810,21:32:39.418439,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,21:32:39.448337,21:32:40.167481,1,1.0
6,21:32:39.448337,21:32:40.461512,1,1.0
6,21:32:39.448337,21:32:40.679115,1,1.0
6,21:32:39.448337,21:32:40.909986,1,1.0
6,21:32:39.448337,21:32:41.029319,-1,1.0
6,21:32:39.448337,21:32:41.160176,-1,1.0
6,21:32:39.448337,21:32:41.362702,-1,1.0
6,21:32:39.448337,21:32:41.513830,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,21:32:41.540568,21:32:42.164678,1,1.0
7,21:32:41.540568,21:32:42.332814,1,1.0
7,21:32:41.540568,21:32:42.501304,1,1.0
7,21:32:41.540568,21:32:42.740977,-1,1.0
7,21:32:41.540568,21:32:42.961947,-1,1.0
7,21:32:41.540568,21:32:43.259035,-1,1.0
7,21:32:41.540568,21:32:43.483100,-1,1.0
7,21:32:41.540568,21:32:43.654415,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,21:32:43.677774,21:32:44.468409,1,1.0
8,21:32:43.677774,21:32:44.649157,1,1.0
8,21:32:43.677774,21:32:44.858158,1,1.0
8,21:32:43.677774,21:32:44.913045,-1,1.0
8,21:32:43.677774,21:32:45.155511,-1,1.0
8,21:32:43.677774,21:32:45.335443,-1,1.0
8,21:32:43.677774,21:32:45.495526,-1,1.0
8,21:32:43.677774,21:32:45.875610,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,21:32:45.899896,21:32:46.406297,1,1.0
9,21:32:45.899896,21:32:46.598183,1,1.0
9,21:32:45.899896,21:32:46.839555,1,1.0
9,21:32:45.899896,21:32:47.100699,1,1.0
9,21:32:45.899896,21:32:47.342747,1,1.0
9,21:32:45.899896,21:32:47.513980,1,1.0
9,21:32:45.899896,21:32:47.675747,1,1.0
9,21:32:45.899896,21:32:47.950791,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,21:32:47.979619,21:32:48.474341,1,1.0
