Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:57:54.525320,21:57:57.024291,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:57:57.045133,21:57:58.508637,1,1.0
2,21:57:57.045133,21:57:58.919731,1,1.0
2,21:57:57.045133,21:57:59.292428,1,1.0
2,21:57:57.045133,21:57:59.614336,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,21:57:59.643080,21:58:00.638670,-1,1.0
3,21:57:59.643080,21:58:01.010787,-1,1.0
3,21:57:59.643080,21:58:01.323236,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,21:58:02.692034,21:58:03.410810,1,1.0
4,21:58:02.692034,21:58:04.001209,1,1.0
4,21:58:02.692034,21:58:04.435682,-1,1.0
4,21:58:02.692034,21:58:04.809535,-1,1.0
4,21:58:02.692034,21:58:04.956335,-1,1.0
4,21:58:02.692034,21:58:05.133418,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,21:58:05.165981,21:58:06.428763,1,1.0
5,21:58:05.165981,21:58:06.626889,1,1.0
5,21:58:05.165981,21:58:06.816886,1,1.0
5,21:58:05.165981,21:58:06.968340,1,1.0
5,21:58:05.165981,21:58:07.219314,-1,1.0
5,21:58:05.165981,21:58:07.397157,-1,1.0
5,21:58:05.165981,21:58:07.567643,-1,1.0
5,21:58:05.165981,21:58:07.734017,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,21:58:07.756726,21:58:08.721675,1,1.0
6,21:58:07.756726,21:58:08.910635,1,1.0
6,21:58:07.756726,21:58:09.098823,1,1.0
6,21:58:07.756726,21:58:09.349252,-1,1.0
6,21:58:07.756726,21:58:09.515421,-1,1.0
6,21:58:07.756726,21:58:09.683298,-1,1.0
6,21:58:07.756726,21:58:09.848498,-1,1.0
6,21:58:07.756726,21:58:10.047620,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,21:58:13.074759,21:58:14.277077,-1,1.0
8,21:58:13.074759,21:58:14.528291,-1,1.0
8,21:58:13.074759,21:58:14.693970,-1,1.0
8,21:58:13.074759,21:58:15.015907,1,1.0
8,21:58:13.074759,21:58:15.216630,1,1.0
8,21:58:13.074759,21:58:15.407345,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,21:58:15.441547,21:58:16.483746,1,1.0
9,21:58:15.441547,21:58:16.681991,1,1.0
9,21:58:15.441547,21:58:16.912963,1,1.0
9,21:58:15.441547,21:58:17.207511,-1,1.0
9,21:58:15.441547,21:58:17.396736,-1,1.0
9,21:58:15.441547,21:58:17.543120,-1,1.0
9,21:58:15.441547,21:58:17.718258,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,21:58:17.738609,21:58:18.540870,1,1.0
10,21:58:17.738609,21:58:18.769994,1,1.0
10,21:58:17.738609,21:58:18.936733,1,1.0
10,21:58:17.738609,21:58:19.268501,-1,1.0
10,21:58:17.738609,21:58:19.455930,-1,1.0
10,21:58:17.738609,21:58:19.684348,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,21:58:19.711201,21:58:20.497298,-1,1.0
11,21:58:19.711201,21:58:21.055677,-1,1.0
11,21:58:19.711201,21:58:21.294074,1,1.0
11,21:58:19.711201,21:58:21.575740,1,1.0
11,21:58:19.711201,21:58:21.754038,1,1.0
11,21:58:19.711201,21:58:21.930030,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,21:58:21.950076,21:58:22.824742,1,1.0
12,21:58:21.950076,21:58:23.003340,1,1.0
12,21:58:21.950076,21:58:23.203141,1,1.0
12,21:58:21.950076,21:58:23.734136,1,1.0
12,21:58:21.950076,21:58:23.900645,-1,1.0
12,21:58:21.950076,21:58:24.163632,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,21:58:24.184363,21:58:26.111804,1,1.0
13,21:58:24.184363,21:58:26.545026,-1,1.0
13,21:58:24.184363,21:58:27.060992,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,21:58:27.086495,21:58:28.009092,1,1.0
14,21:58:27.086495,21:58:28.570933,-1,1.0
14,21:58:27.086495,21:58:28.804700,-1,1.0
14,21:58:27.086495,21:58:29.080908,-1,1.0
14,21:58:27.086495,21:58:29.176748,1,1.0
14,21:58:27.086495,21:58:29.344642,1,1.0
14,21:58:27.086495,21:58:29.500150,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
15,21:58:29.521735,21:58:30.629122,1,1.0
15,21:58:29.521735,21:58:31.004993,-1,1.0
15,21:58:29.521735,21:58:31.244936,-1,1.0
15,21:58:29.521735,21:58:31.622026,1,1.0
15,21:58:29.521735,21:58:31.777439,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
16,21:58:31.800662,21:58:33.510266,-1,1.0
16,21:58:31.800662,21:58:34.499645,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
17,21:58:34.529399,21:58:36.164538,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
18,21:58:37.881007,21:58:39.878070,-1,1.0
18,21:58:37.881007,21:58:40.180914,-1,1.0
18,21:58:37.881007,21:58:40.401297,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
19,21:58:40.419628,21:58:41.530887,1,1.0
19,21:58:40.419628,21:58:41.907394,1,1.0
19,21:58:40.419628,21:58:42.165399,1,1.0
19,21:58:40.419628,21:58:42.429267,-1,1.0
19,21:58:40.419628,21:58:42.670490,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
20,21:58:43.031558,21:58:44.164196,1,1.0
20,21:58:43.031558,21:58:44.539016,-1,1.0
20,21:58:43.031558,21:58:44.726741,-1,1.0
20,21:58:43.031558,21:58:44.893462,-1,1.0
20,21:58:43.031558,21:58:45.072702,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
21,21:58:45.454653,21:58:46.694882,1,1.0
21,21:58:45.454653,21:58:47.110560,-1,1.0
21,21:58:45.454653,21:58:47.319524,-1,1.0
21,21:58:45.454653,21:58:47.487205,-1,1.0
21,21:58:45.454653,21:58:47.655827,-1,1.0
21,21:58:45.454653,21:58:47.896089,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
22,21:58:47.919512,21:58:48.786898,-1,1.0
22,21:58:47.919512,21:58:49.059945,1,1.0
22,21:58:47.919512,21:58:49.215710,1,1.0
22,21:58:47.919512,21:58:49.401254,1,1.0
22,21:58:47.919512,21:58:49.673862,1,1.0
22,21:58:47.919512,21:58:49.860552,1,1.0
22,21:58:47.919512,21:58:50.121822,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
23,21:58:50.159934,21:58:51.161916,1,1.0
23,21:58:50.159934,21:58:51.537275,1,1.0
23,21:58:50.159934,21:58:51.861020,1,1.0
23,21:58:50.159934,21:58:52.143371,-1,1.0
23,21:58:50.159934,21:58:52.324446,-1,1.0
23,21:58:50.159934,21:58:52.481005,-1,1.0
23,21:58:50.159934,21:58:52.618191,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
24,21:58:52.658113,21:58:53.846211,-1,1.0
24,21:58:52.658113,21:58:54.159754,-1,1.0
24,21:58:52.658113,21:58:54.284231,1,1.0
24,21:58:52.658113,21:58:54.492959,1,1.0
24,21:58:52.658113,21:58:54.680830,1,1.0
