Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:37:50.729037,00:37:53.231884,1,0.7442997528047783
1,00:37:50.729037,00:37:53.646796,1,0.5168871773164199
1,00:37:50.729037,00:37:53.946331,1,0.2520644450980001
1,00:37:50.729037,00:37:54.268390,1,-0.039315681576312045
1,00:37:50.729037,00:37:54.569410,1,-0.34039550362163595
1,00:37:50.729037,00:37:54.905604,1,-0.632068816002402
1,00:37:50.729037,00:37:55.257817,1,-0.8973794047358297
1,00:37:50.729037,00:37:55.570958,1,-1.1254033714878062
1,00:37:50.729037,00:37:55.902174,1,-1.311911254910541
1,00:37:50.729037,00:37:56.209962,1,-1.4579140940105617
1,00:37:50.729037,00:37:56.517187,1,-1.5675770848307025
1,00:37:50.729037,00:37:56.828506,1,-1.6463716619390993
1,00:37:50.729037,00:37:57.159773,1,-1.699655120747991
1,00:37:50.729037,00:37:57.491742,1,-1.7323058768687076
1,00:37:50.729037,00:37:58.485271,1,-1.7513572994329536
1,00:37:50.729037,00:37:58.807214,1,-1.7436842693645644
1,00:37:50.729037,00:37:59.553048,1,-1.7045254961372223
1,00:37:50.729037,00:37:59.905496,1,-1.675991764337823
1,00:37:50.729037,00:38:00.207258,1,-1.7250409494029952
1,00:37:50.729037,00:38:00.524518,1,-1.6044651174965168
1,00:37:50.729037,00:38:00.825797,1,-1.5645378712786737
1,00:37:50.729037,00:38:01.113995,1,-1.5220842629271942
1,00:37:50.729037,00:38:01.530833,1,-1.4775035736603002
1,00:37:50.729037,00:38:01.800636,1,-1.431121088091345
1,00:37:50.729037,00:38:02.027810,1,-1.3832735316945275
1,00:37:50.729037,00:38:02.226021,1,-1.3341199458536153
1,00:37:50.729037,00:38:02.399487,1,-1.2838845463572284
1,00:37:50.729037,00:38:02.592205,1,-1.232746937316648
1,00:37:50.729037,00:38:02.788106,1,-1.180785772742837
1,00:37:50.729037,00:38:02.952790,1,-1.128171874734619
1,00:37:50.729037,00:38:03.128007,1,-1.0749640033116634
1,00:37:50.729037,00:38:03.312815,1,-1.0212324472061596
1,00:37:50.729037,00:38:03.499226,1,-0.9671364307541523
1,00:37:50.729037,00:38:03.721700,1,-0.9126625890763194
1,00:37:50.729037,00:38:03.897801,1,-0.8578533063261489
1,00:37:50.729037,00:38:04.610736,-1,-0.7476154170566929
1,00:37:50.729037,00:38:04.828933,-1,-0.6922304929109089
1,00:37:50.729037,00:38:05.068895,-1,-0.6367317587017283
1,00:37:50.729037,00:38:05.254559,-1,-0.5811798161676336
1,00:37:50.729037,00:38:05.493188,-1,-0.5255702328947791
1,00:37:50.729037,00:38:05.733805,-1,-0.46997723634686395
1,00:37:50.729037,00:38:05.974357,-1,-0.41447839658070507
1,00:37:50.729037,00:38:06.177046,-1,-0.35904895464625497
1,00:37:50.729037,00:38:06.404884,-1,-0.30382785849619154
1,00:37:50.729037,00:38:06.612540,-1,-0.2487664148954707
1,00:37:50.729037,00:38:06.821587,-1,-0.6161537832813042
1,00:37:50.729037,00:38:07.149089,-1,2.687911562610833
