Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:35:10.491301,10:35:11.333699,-1,1.0
1,10:35:10.491301,10:35:11.770308,1,1.0
1,10:35:10.491301,10:35:12.146733,1,1.0
1,10:35:10.491301,10:35:12.482371,1,1.0
1,10:35:10.491301,10:35:13.075415,-1,1.0
1,10:35:10.491301,10:35:13.458713,-1,1.0
1,10:35:10.491301,10:35:13.750867,-1,1.0
1,10:35:10.491301,10:35:14.088178,-1,1.0
1,10:35:10.491301,10:35:14.405814,-1,1.0
1,10:35:10.491301,10:35:14.716017,-1,1.0
1,10:35:10.491301,10:35:15.031142,-1,1.0
1,10:35:10.491301,10:35:15.347942,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:35:15.385439,10:35:16.110910,1,1.0
2,10:35:15.385439,10:35:16.663070,-1,1.0
2,10:35:15.385439,10:35:16.987210,-1,1.0
2,10:35:15.385439,10:35:17.300172,-1,1.0
2,10:35:15.385439,10:35:17.719220,-1,1.0
2,10:35:15.385439,10:35:18.013443,-1,1.0
2,10:35:15.385439,10:35:18.308550,-1,1.0
2,10:35:15.385439,10:35:18.616680,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,10:35:18.642752,10:35:19.372985,-1,1.0
3,10:35:18.642752,10:35:19.749881,-1,1.0
3,10:35:18.642752,10:35:20.126424,1,1.0
3,10:35:18.642752,10:35:20.366413,1,1.0
3,10:35:18.642752,10:35:20.741870,1,1.0
3,10:35:18.642752,10:35:21.068875,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,10:35:21.442747,10:35:22.399426,1,1.0
4,10:35:21.442747,10:35:22.734336,1,1.0
4,10:35:21.442747,10:35:23.039657,1,1.0
4,10:35:21.442747,10:35:23.348632,1,1.0
4,10:35:21.442747,10:35:23.733510,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,10:35:23.752658,10:35:24.507798,-1,1.0
5,10:35:23.752658,10:35:24.812477,-1,1.0
5,10:35:23.752658,10:35:25.107200,-1,1.0
5,10:35:23.752658,10:35:25.411942,-1,1.0
5,10:35:23.752658,10:35:25.700487,-1,1.0
5,10:35:23.752658,10:35:25.978961,-1,1.0
5,10:35:23.752658,10:35:26.274604,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,10:35:26.312335,10:35:26.881832,-1,1.0
6,10:35:26.312335,10:35:27.193306,-1,1.0
6,10:35:26.312335,10:35:27.897965,-1,1.0
6,10:35:26.312335,10:35:28.131562,-1,1.0
6,10:35:26.312335,10:35:28.269638,1,1.0
6,10:35:26.312335,10:35:28.536061,1,1.0
6,10:35:26.312335,10:35:28.805723,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,10:35:28.857515,10:35:29.384221,1,1.0
7,10:35:28.857515,10:35:29.693765,1,1.0
7,10:35:28.857515,10:35:30.076096,-1,1.0
7,10:35:28.857515,10:35:30.361558,1,1.0
7,10:35:28.857515,10:35:30.660674,1,1.0
7,10:35:28.857515,10:35:30.859058,1,1.0
7,10:35:28.857515,10:35:31.045414,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,10:35:31.413191,10:35:32.022169,1,1.0
