Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:33:16.211037,10:33:17.418602,1,1.0
1,10:33:16.211037,10:33:18.014301,1,1.0
1,10:33:16.211037,10:33:18.262766,-1,1.0
1,10:33:16.211037,10:33:18.557847,-1,1.0
1,10:33:16.211037,10:33:18.812092,-1,1.0
1,10:33:16.211037,10:33:19.050068,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:33:19.075164,10:33:19.782972,-1,1.0
2,10:33:19.075164,10:33:20.074717,1,1.0
2,10:33:19.075164,10:33:20.364906,1,1.0
2,10:33:19.075164,10:33:20.647742,-1,1.0
2,10:33:19.075164,10:33:20.933194,-1,1.0
2,10:33:19.075164,10:33:21.198931,-1,1.0
2,10:33:19.075164,10:33:21.464502,1,1.0
2,10:33:19.075164,10:33:21.728408,1,1.0
2,10:33:19.075164,10:33:22.036335,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,10:33:22.107669,10:33:22.813622,1,1.0
3,10:33:22.107669,10:33:23.397772,-1,1.0
3,10:33:22.107669,10:33:23.805139,-1,1.0
3,10:33:22.107669,10:33:23.996385,-1,1.0
3,10:33:22.107669,10:33:24.332309,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,10:33:24.693597,10:33:25.369640,1,1.0
4,10:33:24.693597,10:33:26.073332,1,1.0
4,10:33:24.693597,10:33:26.333431,-1,1.0
4,10:33:24.693597,10:33:26.819319,-1,1.0
4,10:33:24.693597,10:33:27.200131,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,10:33:27.555408,10:33:28.250975,1,1.0
5,10:33:27.555408,10:33:28.696660,1,1.0
5,10:33:27.555408,10:33:29.089450,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,10:33:29.445076,10:33:30.679946,-1,1.0
6,10:33:29.445076,10:33:31.109606,1,1.0
6,10:33:29.445076,10:33:31.419971,1,1.0
6,10:33:29.445076,10:33:31.725480,1,1.0
6,10:33:29.445076,10:33:32.210109,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,10:33:32.231392,10:33:33.036106,1,1.0
7,10:33:32.231392,10:33:33.361800,1,1.0
7,10:33:32.231392,10:33:33.631103,-1,1.0
7,10:33:32.231392,10:33:33.964555,-1,1.0
7,10:33:32.231392,10:33:34.271074,-1,1.0
7,10:33:32.231392,10:33:34.599157,-1,1.0
7,10:33:32.231392,10:33:34.863283,-1,1.0
7,10:33:32.231392,10:33:35.132247,-1,1.0
7,10:33:32.231392,10:33:35.437353,-1,1.0
7,10:33:32.231392,10:33:35.692488,-1,1.0
7,10:33:32.231392,10:33:36.018566,-1,1.0
7,10:33:32.231392,10:33:36.492157,1,1.0
7,10:33:32.231392,10:33:36.868271,1,1.0
7,10:33:32.231392,10:33:37.172841,1,1.0
7,10:33:32.231392,10:33:37.466852,1,1.0
7,10:33:32.231392,10:33:37.845855,1,1.0
7,10:33:32.231392,10:33:38.222496,1,1.0
7,10:33:32.231392,10:33:38.618892,-1,1.0
7,10:33:32.231392,10:33:38.785349,-1,1.0
7,10:33:32.231392,10:33:39.113210,-1,1.0
7,10:33:32.231392,10:33:39.274423,-1,1.0
7,10:33:32.231392,10:33:39.689836,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,10:33:39.707313,10:33:40.591252,1,1.0
8,10:33:39.707313,10:33:40.964087,-1,1.0
8,10:33:39.707313,10:33:41.246250,-1,1.0
8,10:33:39.707313,10:33:41.531411,-1,1.0
8,10:33:39.707313,10:33:42.035887,-1,1.0
8,10:33:39.707313,10:33:42.451891,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,10:33:42.479182,10:33:43.282391,-1,1.0
9,10:33:42.479182,10:33:43.533651,1,1.0
9,10:33:42.479182,10:33:43.869263,1,1.0
9,10:33:42.479182,10:33:44.123347,-1,1.0
9,10:33:42.479182,10:33:44.433037,-1,1.0
9,10:33:42.479182,10:33:44.564629,-1,1.0
9,10:33:42.479182,10:33:44.881124,-1,1.0
9,10:33:42.479182,10:33:45.134864,-1,1.0
9,10:33:42.479182,10:33:45.364948,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,10:33:45.396412,10:33:46.215193,-1,1.0
10,10:33:45.396412,10:33:46.475516,1,1.0
10,10:33:45.396412,10:33:46.786443,1,1.0
10,10:33:45.396412,10:33:47.039620,-1,1.0
10,10:33:45.396412,10:33:47.306626,-1,1.0
10,10:33:45.396412,10:33:47.497920,-1,1.0
10,10:33:45.396412,10:33:47.752208,-1,1.0
10,10:33:45.396412,10:33:48.018616,-1,1.0
