Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:31:42.892717,21:31:44.478672,1,1.0
1,21:31:42.892717,21:31:44.761538,1,1.0
1,21:31:42.892717,21:31:44.955355,1,1.0
1,21:31:42.892717,21:31:45.131264,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:31:45.162660,21:31:45.947312,1,1.0
2,21:31:45.162660,21:31:46.221266,1,1.0
2,21:31:45.162660,21:31:46.437187,-1,1.0
2,21:31:45.162660,21:31:46.601589,-1,1.0
2,21:31:45.162660,21:31:46.791527,-1,1.0
2,21:31:45.162660,21:31:46.966424,-1,1.0
2,21:31:45.162660,21:31:47.127976,-1,1.0
2,21:31:45.162660,21:31:47.332552,-1,1.0
2,21:31:45.162660,21:31:47.457247,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,21:31:47.484812,21:31:48.473640,1,1.0
3,21:31:47.484812,21:31:48.792642,1,1.0
3,21:31:47.484812,21:31:49.042994,1,1.0
3,21:31:47.484812,21:31:49.460573,-1,1.0
3,21:31:47.484812,21:31:49.632900,-1,1.0
3,21:31:47.484812,21:31:49.797167,-1,1.0
3,21:31:47.484812,21:31:49.941686,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,21:31:49.975127,21:31:51.124268,1,1.0
4,21:31:49.975127,21:31:51.337302,1,1.0
4,21:31:49.975127,21:31:51.553375,1,1.0
4,21:31:49.975127,21:31:51.862804,-1,1.0
4,21:31:49.975127,21:31:52.026292,-1,1.0
4,21:31:49.975127,21:31:52.192510,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,21:31:52.233910,21:31:52.883324,1,1.0
5,21:31:52.233910,21:31:53.058737,1,1.0
5,21:31:52.233910,21:31:53.264708,1,1.0
5,21:31:52.233910,21:31:53.513249,-1,1.0
5,21:31:52.233910,21:31:53.613884,-1,1.0
5,21:31:52.233910,21:31:53.746629,-1,1.0
5,21:31:52.233910,21:31:53.909033,-1,1.0
5,21:31:52.233910,21:31:54.082124,-1,1.0
5,21:31:52.233910,21:31:54.332137,-1,1.0
5,21:31:52.233910,21:31:54.528114,-1,1.0
5,21:31:52.233910,21:31:54.735707,-1,1.0
