Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:32:54.557430,10:32:55.485550,1,1.0
1,10:32:54.557430,10:32:55.856216,-1,1.0
1,10:32:54.557430,10:32:56.231760,-1,1.0
1,10:32:54.557430,10:32:56.498497,-1,1.0
1,10:32:54.557430,10:32:56.808752,-1,1.0
1,10:32:54.557430,10:32:57.049545,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:32:57.077593,10:32:57.918271,1,1.0
2,10:32:57.077593,10:32:58.231361,-1,1.0
2,10:32:57.077593,10:32:58.401058,-1,1.0
2,10:32:57.077593,10:32:58.674246,-1,1.0
2,10:32:57.077593,10:32:58.944023,-1,1.0
2,10:32:57.077593,10:32:59.252457,1,1.0
2,10:32:57.077593,10:32:59.498747,1,1.0
2,10:32:57.077593,10:32:59.659773,1,1.0
2,10:32:57.077593,10:32:59.886922,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,10:32:59.919921,10:33:00.627061,1,1.0
3,10:32:59.919921,10:33:00.906683,1,1.0
3,10:32:59.919921,10:33:01.299696,-1,1.0
3,10:32:59.919921,10:33:01.447999,-1,1.0
3,10:32:59.919921,10:33:01.856790,1,1.0
3,10:32:59.919921,10:33:02.136794,1,1.0
3,10:32:59.919921,10:33:02.621769,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,10:33:02.643165,10:33:03.460351,1,1.0
4,10:33:02.643165,10:33:03.981159,1,1.0
4,10:33:02.643165,10:33:04.511928,-1,1.0
4,10:33:02.643165,10:33:04.951446,-1,1.0
4,10:33:02.643165,10:33:05.350636,-1,1.0
4,10:33:02.643165,10:33:05.743768,-1,1.0
4,10:33:02.643165,10:33:06.161737,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,10:33:06.189246,10:33:07.027067,1,1.0
5,10:33:06.189246,10:33:07.604395,-1,1.0
5,10:33:06.189246,10:33:07.982831,-1,1.0
5,10:33:06.189246,10:33:08.379496,1,1.0
5,10:33:06.189246,10:33:08.749758,1,1.0
