Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:29:13.911422,12:29:15.787151,1,1.0
1,12:29:13.911422,12:29:16.166676,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:29:16.546809,12:29:17.656411,-1,1.0
2,12:29:16.546809,12:29:18.044078,-1,1.0
2,12:29:16.546809,12:29:18.424522,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:29:18.442449,12:29:19.507314,-1,1.0
3,12:29:18.442449,12:29:19.984742,1,1.0
3,12:29:18.442449,12:29:20.262569,1,1.0
3,12:29:18.442449,12:29:20.766640,1,1.0
3,12:29:18.442449,12:29:22.144800,1,1.0
3,12:29:18.442449,12:29:22.427629,-1,1.0
3,12:29:18.442449,12:29:22.808796,-1,1.0
3,12:29:18.442449,12:29:23.133548,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:29:23.162944,12:29:24.232050,1,1.0
4,12:29:23.162944,12:29:24.743471,-1,1.0
4,12:29:23.162944,12:29:25.216304,-1,1.0
4,12:29:23.162944,12:29:25.493115,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,12:29:25.862853,12:29:26.776149,1,1.0
5,12:29:25.862853,12:29:27.318073,1,1.0
5,12:29:25.862853,12:29:27.695915,-1,1.0
5,12:29:25.862853,12:29:28.124711,-1,1.0
5,12:29:25.862853,12:29:28.386497,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,12:29:28.756224,12:29:29.734959,-1,1.0
6,12:29:28.756224,12:29:30.160712,-1,1.0
6,12:29:28.756224,12:29:30.486547,-1,1.0
6,12:29:28.756224,12:29:30.865796,-1,1.0
6,12:29:28.756224,12:29:31.105466,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,12:29:31.124734,12:29:32.048545,1,1.0
7,12:29:31.124734,12:29:32.419171,1,1.0
7,12:29:31.124734,12:29:32.794282,1,1.0
7,12:29:31.124734,12:29:33.173653,1,1.0
7,12:29:31.124734,12:29:33.481661,-1,1.0
7,12:29:31.124734,12:29:33.765523,-1,1.0
7,12:29:31.124734,12:29:34.104021,-1,1.0
7,12:29:31.124734,12:29:34.408636,-1,1.0
7,12:29:31.124734,12:29:34.726782,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,12:29:34.762829,12:29:35.745093,1,1.0
8,12:29:34.762829,12:29:36.453639,1,1.0
8,12:29:34.762829,12:29:36.920007,-1,1.0
8,12:29:34.762829,12:29:37.300980,-1,1.0
8,12:29:34.762829,12:29:37.695286,1,1.0
8,12:29:34.762829,12:29:38.071978,-1,1.0
