Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:25:54.533268,12:25:57.844644,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:25:57.864526,12:25:59.175658,1,1.0
2,12:25:57.864526,12:25:59.742497,-1,1.0
2,12:25:57.864526,12:25:59.920899,-1,1.0
2,12:25:57.864526,12:26:00.074066,-1,1.0
2,12:25:57.864526,12:26:00.245930,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:26:00.271845,12:26:02.316066,-1,1.0
3,12:26:00.271845,12:26:02.605426,-1,1.0
3,12:26:00.271845,12:26:02.878778,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:26:03.257831,12:26:04.726666,1,1.0
4,12:26:03.257831,12:26:05.044353,-1,1.0
4,12:26:03.257831,12:26:05.226184,-1,1.0
4,12:26:03.257831,12:26:05.365224,-1,1.0
4,12:26:03.257831,12:26:05.609426,-1,1.0
4,12:26:03.257831,12:26:05.887544,-1,1.0
4,12:26:03.257831,12:26:06.047659,-1,1.0
4,12:26:03.257831,12:26:06.197265,-1,1.0
4,12:26:03.257831,12:26:06.356601,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,12:26:06.409587,12:26:08.286256,-1,1.0
5,12:26:06.409587,12:26:08.446110,-1,1.0
5,12:26:06.409587,12:26:08.596632,-1,1.0
5,12:26:06.409587,12:26:08.724577,-1,1.0
5,12:26:06.409587,12:26:08.874225,-1,1.0
5,12:26:06.409587,12:26:09.013153,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,12:26:09.048091,12:26:10.658518,1,1.0
6,12:26:09.048091,12:26:11.184500,1,1.0
6,12:26:09.048091,12:26:11.771946,1,1.0
6,12:26:09.048091,12:26:12.057539,-1,1.0
6,12:26:09.048091,12:26:12.216728,-1,1.0
6,12:26:09.048091,12:26:12.367451,-1,1.0
6,12:26:09.048091,12:26:12.526473,-1,1.0
6,12:26:09.048091,12:26:12.665876,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,12:26:13.036334,12:26:14.708972,-1,1.0
7,12:26:13.036334,12:26:14.856752,-1,1.0
7,12:26:13.036334,12:26:15.007031,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,12:26:16.054195,12:26:18.537608,-1,1.0
8,12:26:16.054195,12:26:18.717099,-1,1.0
8,12:26:16.054195,12:26:18.888117,-1,1.0
8,12:26:16.054195,12:26:19.039654,-1,1.0
8,12:26:16.054195,12:26:19.296968,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,12:26:19.663313,12:26:21.089806,-1,1.0
9,12:26:19.663313,12:26:21.803848,-1,1.0
9,12:26:19.663313,12:26:21.940466,-1,1.0
9,12:26:19.663313,12:26:22.392371,-1,1.0
9,12:26:19.663313,12:26:22.648180,-1,1.0
9,12:26:19.663313,12:26:22.797407,-1,1.0
9,12:26:19.663313,12:26:23.116729,-1,1.0
9,12:26:19.663313,12:26:23.762622,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,12:26:24.130102,12:26:25.840866,-1,1.0
10,12:26:24.130102,12:26:26.093377,-1,1.0
10,12:26:24.130102,12:26:26.242706,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,12:26:26.276300,12:26:27.312138,-1,1.0
11,12:26:26.276300,12:26:27.603576,-1,1.0
11,12:26:26.276300,12:26:27.824063,-1,1.0
11,12:26:26.276300,12:26:27.970617,-1,1.0
11,12:26:26.276300,12:26:29.106984,-1,1.0
