Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,20:33:05.485625,20:33:07.008580,-1,1.0
1,20:33:05.485625,20:33:07.346386,1,1.0
1,20:33:05.485625,20:33:07.667987,1,1.0
1,20:33:05.485625,20:33:07.943846,1,1.0
1,20:33:05.485625,20:33:08.231024,1,1.0
1,20:33:05.485625,20:33:08.497420,1,1.0
1,20:33:05.485625,20:33:08.717888,1,1.0
1,20:33:05.485625,20:33:08.919314,1,1.0
1,20:33:05.485625,20:33:09.183771,1,1.0
1,20:33:05.485625,20:33:09.459698,1,1.0
1,20:33:05.485625,20:33:10.772532,-1,1.0
1,20:33:05.485625,20:33:11.397562,-1,1.0
1,20:33:05.485625,20:33:11.786079,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,20:33:11.811329,20:33:12.666253,1,1.0
2,20:33:11.811329,20:33:13.283402,1,1.0
2,20:33:11.811329,20:33:13.546076,-1,1.0
2,20:33:11.811329,20:33:13.926772,-1,1.0
2,20:33:11.811329,20:33:14.179035,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,20:33:14.205416,20:33:15.353606,1,1.0
3,20:33:14.205416,20:33:15.533397,1,1.0
3,20:33:14.205416,20:33:15.925181,-1,1.0
3,20:33:14.205416,20:33:16.430933,-1,1.0
3,20:33:14.205416,20:33:16.719532,-1,1.0
3,20:33:14.205416,20:33:17.047287,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,20:33:17.070322,20:33:17.850741,-1,1.0
4,20:33:17.070322,20:33:18.334500,-1,1.0
4,20:33:17.070322,20:33:18.628685,1,1.0
4,20:33:17.070322,20:33:18.938314,1,1.0
4,20:33:17.070322,20:33:19.210945,1,1.0
4,20:33:17.070322,20:33:19.486449,1,1.0
4,20:33:17.070322,20:33:19.715678,1,1.0
4,20:33:17.070322,20:33:19.974722,1,1.0
4,20:33:17.070322,20:33:20.217782,1,1.0
4,20:33:17.070322,20:33:20.492400,-1,1.0
4,20:33:17.070322,20:33:21.538109,1,1.0
4,20:33:17.070322,20:33:22.042983,1,1.0
4,20:33:17.070322,20:33:22.467487,1,1.0
4,20:33:17.070322,20:33:22.779955,1,1.0
4,20:33:17.070322,20:33:23.162762,1,1.0
4,20:33:17.070322,20:33:23.394162,1,1.0
4,20:33:17.070322,20:33:23.710994,1,1.0
4,20:33:17.070322,20:33:24.018491,1,1.0
4,20:33:17.070322,20:33:24.323589,1,1.0
4,20:33:17.070322,20:33:24.632637,1,1.0
4,20:33:17.070322,20:33:25.085854,1,1.0
4,20:33:17.070322,20:33:25.746919,-1,1.0
4,20:33:17.070322,20:33:26.275065,-1,1.0
4,20:33:17.070322,20:33:26.536446,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,20:33:26.897786,20:33:27.827108,1,1.0
5,20:33:26.897786,20:33:28.246413,1,1.0
5,20:33:26.897786,20:33:28.698806,-1,1.0
5,20:33:26.897786,20:33:29.096385,-1,1.0
5,20:33:26.897786,20:33:29.477445,-1,1.0
5,20:33:26.897786,20:33:29.739158,-1,1.0
5,20:33:26.897786,20:33:30.058643,-1,1.0
5,20:33:26.897786,20:33:30.367204,-1,1.0
5,20:33:26.897786,20:33:30.744456,-1,1.0
5,20:33:26.897786,20:33:31.012655,-1,1.0
5,20:33:26.897786,20:33:31.281347,-1,1.0
5,20:33:26.897786,20:33:31.654498,1,1.0
5,20:33:26.897786,20:33:31.873112,1,1.0
5,20:33:26.897786,20:33:32.111336,1,1.0
5,20:33:26.897786,20:33:32.352439,1,1.0
5,20:33:26.897786,20:33:32.592696,1,1.0
5,20:33:26.897786,20:33:32.801322,1,1.0
5,20:33:26.897786,20:33:33.444818,-1,1.0
5,20:33:26.897786,20:33:33.737132,-1,1.0
5,20:33:26.897786,20:33:34.043309,-1,1.0
5,20:33:26.897786,20:33:34.288291,-1,1.0
5,20:33:26.897786,20:33:34.513699,-1,1.0
5,20:33:26.897786,20:33:34.820098,-1,1.0
5,20:33:26.897786,20:33:35.120829,-1,1.0
5,20:33:26.897786,20:33:35.367129,-1,1.0
5,20:33:26.897786,20:33:35.676601,-1,1.0
5,20:33:26.897786,20:33:35.910189,-1,1.0
5,20:33:26.897786,20:33:36.125400,-1,1.0
5,20:33:26.897786,20:33:36.580305,-1,1.0
5,20:33:26.897786,20:33:36.797414,-1,1.0
5,20:33:26.897786,20:33:37.071200,-1,1.0
5,20:33:26.897786,20:33:37.307618,-1,1.0
5,20:33:26.897786,20:33:37.585732,1,1.0
5,20:33:26.897786,20:33:37.892517,1,1.0
5,20:33:26.897786,20:33:38.115583,1,1.0
5,20:33:26.897786,20:33:38.334142,1,1.0
5,20:33:26.897786,20:33:39.540950,-1,1.0
5,20:33:26.897786,20:33:39.924063,-1,1.0
5,20:33:26.897786,20:33:40.217514,-1,1.0
5,20:33:26.897786,20:33:40.452295,-1,1.0
5,20:33:26.897786,20:33:40.643586,-1,1.0
5,20:33:26.897786,20:33:40.943148,-1,1.0
5,20:33:26.897786,20:33:41.114590,-1,1.0
5,20:33:26.897786,20:33:41.312186,-1,1.0
5,20:33:26.897786,20:33:41.575097,-1,1.0
5,20:33:26.897786,20:33:42.398076,-1,1.0
5,20:33:26.897786,20:33:44.116664,1,1.0
5,20:33:26.897786,20:33:44.569596,-1,1.0
5,20:33:26.897786,20:33:44.865220,-1,1.0
5,20:33:26.897786,20:33:45.189508,-1,1.0
5,20:33:26.897786,20:33:45.607316,-1,1.0
5,20:33:26.897786,20:33:45.884109,-1,1.0
5,20:33:26.897786,20:33:46.192038,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,20:33:46.218364,20:33:47.985188,1,1.0
6,20:33:46.218364,20:33:48.249495,1,1.0
6,20:33:46.218364,20:33:48.632915,1,1.0
6,20:33:46.218364,20:33:48.958763,1,1.0
6,20:33:46.218364,20:33:49.171601,1,1.0
6,20:33:46.218364,20:33:49.565056,1,1.0
6,20:33:46.218364,20:33:49.987638,1,1.0
6,20:33:46.218364,20:33:50.359765,1,1.0
6,20:33:46.218364,20:33:50.670059,-1,1.0
6,20:33:46.218364,20:33:50.931295,-1,1.0
6,20:33:46.218364,20:33:51.088172,-1,1.0
6,20:33:46.218364,20:33:51.350425,-1,1.0
6,20:33:46.218364,20:33:51.612324,-1,1.0
6,20:33:46.218364,20:33:51.818945,-1,1.0
6,20:33:46.218364,20:33:52.043587,-1,1.0
6,20:33:46.218364,20:33:52.232857,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,20:33:52.246096,20:33:53.254173,1,1.0
7,20:33:52.246096,20:33:53.632721,1,1.0
7,20:33:52.246096,20:33:53.916712,-1,1.0
7,20:33:52.246096,20:33:54.173384,-1,1.0
7,20:33:52.246096,20:33:54.550961,-1,1.0
7,20:33:52.246096,20:33:54.832449,-1,1.0
7,20:33:52.246096,20:33:55.106192,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,20:33:55.139704,20:33:56.352789,1,1.0
8,20:33:55.139704,20:33:56.797605,1,1.0
8,20:33:55.139704,20:33:57.185990,1,1.0
8,20:33:55.139704,20:33:57.500189,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,20:33:57.534401,20:33:58.590446,1,1.0
9,20:33:57.534401,20:33:59.202947,1,1.0
9,20:33:57.534401,20:33:59.586465,1,1.0
9,20:33:57.534401,20:33:59.808481,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,20:33:59.831115,20:34:00.620960,-1,1.0
10,20:33:59.831115,20:34:00.935895,-1,1.0
10,20:33:59.831115,20:34:01.135874,-1,1.0
10,20:33:59.831115,20:34:01.516718,1,1.0
10,20:33:59.831115,20:34:01.751793,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,20:34:01.786376,20:34:02.495566,1,1.0
11,20:34:01.786376,20:34:02.745858,1,1.0
11,20:34:01.786376,20:34:03.019515,1,1.0
11,20:34:01.786376,20:34:03.325728,1,1.0
11,20:34:01.786376,20:34:03.598821,1,1.0
11,20:34:01.786376,20:34:03.876819,-1,1.0
11,20:34:01.786376,20:34:04.132914,-1,1.0
11,20:34:01.786376,20:34:04.322742,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,20:34:04.344773,20:34:05.208742,-1,1.0
12,20:34:04.344773,20:34:05.523051,-1,1.0
12,20:34:04.344773,20:34:05.798055,1,1.0
12,20:34:04.344773,20:34:06.094804,1,1.0
12,20:34:04.344773,20:34:06.546577,1,1.0
12,20:34:04.344773,20:34:06.767795,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,20:34:07.138175,20:34:08.008536,1,1.0
13,20:34:07.138175,20:34:08.228545,1,1.0
13,20:34:07.138175,20:34:08.425916,1,1.0
13,20:34:07.138175,20:34:08.674410,1,1.0
13,20:34:07.138175,20:34:08.938470,-1,1.0
13,20:34:07.138175,20:34:09.175146,-1,1.0
13,20:34:07.138175,20:34:09.495602,-1,1.0
13,20:34:07.138175,20:34:09.732206,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,20:34:09.772923,20:34:10.735191,1,1.0
14,20:34:09.772923,20:34:11.049412,1,1.0
14,20:34:09.772923,20:34:11.379898,1,1.0
14,20:34:09.772923,20:34:11.762222,1,1.0
14,20:34:09.772923,20:34:12.023417,1,1.0
14,20:34:09.772923,20:34:12.298722,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
15,20:34:12.322574,20:34:13.257035,1,1.0
15,20:34:12.322574,20:34:13.633654,1,1.0
15,20:34:12.322574,20:34:13.896514,1,1.0
15,20:34:12.322574,20:34:14.161910,-1,1.0
15,20:34:12.322574,20:34:14.473980,-1,1.0
15,20:34:12.322574,20:34:14.679553,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
16,20:34:15.045699,20:34:15.787705,1,1.0
16,20:34:15.045699,20:34:16.089971,1,1.0
16,20:34:15.045699,20:34:16.395687,1,1.0
16,20:34:15.045699,20:34:16.669504,1,1.0
16,20:34:15.045699,20:34:16.913064,1,1.0
16,20:34:15.045699,20:34:17.295515,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
17,20:34:17.659678,20:34:18.707682,1,1.0
17,20:34:17.659678,20:34:19.033120,-1,1.0
17,20:34:17.659678,20:34:19.474995,-1,1.0
17,20:34:17.659678,20:34:19.855820,-1,1.0
17,20:34:17.659678,20:34:20.159139,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
18,20:34:20.190985,20:34:20.999257,-1,1.0
18,20:34:20.190985,20:34:21.617912,-1,1.0
18,20:34:20.190985,20:34:21.802969,1,1.0
18,20:34:20.190985,20:34:22.118805,1,1.0
18,20:34:20.190985,20:34:22.405912,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
19,20:34:22.760967,20:34:23.581452,1,1.0
19,20:34:22.760967,20:34:24.086792,-1,1.0
19,20:34:22.760967,20:34:24.341003,-1,1.0
19,20:34:22.760967,20:34:24.524339,-1,1.0
19,20:34:22.760967,20:34:24.737800,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
20,20:34:24.761016,20:34:25.917538,1,1.0
20,20:34:24.761016,20:34:26.203316,1,1.0
