Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:17:32.296603,21:17:33.153493,-1,1.0
1,21:17:32.296603,21:17:33.492786,-1,1.0
1,21:17:32.296603,21:17:33.758675,1,1.0
1,21:17:32.296603,21:17:34.086565,1,1.0
1,21:17:32.296603,21:17:34.299279,1,1.0
1,21:17:32.296603,21:17:34.683450,1,1.0
1,21:17:32.296603,21:17:34.986476,1,1.0
1,21:17:32.296603,21:17:35.772274,-1,1.0
1,21:17:32.296603,21:17:36.107484,-1,1.0
1,21:17:32.296603,21:17:36.482948,-1,1.0
1,21:17:32.296603,21:17:37.027734,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:17:37.068309,21:17:37.963763,1,1.0
2,21:17:37.068309,21:17:38.229592,1,1.0
2,21:17:37.068309,21:17:38.543507,1,1.0
2,21:17:37.068309,21:17:38.829479,1,1.0
2,21:17:37.068309,21:17:39.082224,1,1.0
2,21:17:37.068309,21:17:39.347099,1,1.0
2,21:17:37.068309,21:17:39.656640,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,21:17:40.022051,21:17:40.829329,-1,1.0
3,21:17:40.022051,21:17:41.142308,-1,1.0
3,21:17:40.022051,21:17:41.375026,1,1.0
3,21:17:40.022051,21:17:41.645739,1,1.0
3,21:17:40.022051,21:17:41.835669,1,1.0
3,21:17:40.022051,21:17:42.126394,1,1.0
3,21:17:40.022051,21:17:42.376868,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,21:17:42.391630,21:17:43.125863,1,1.0
4,21:17:42.391630,21:17:43.428759,1,1.0
4,21:17:42.391630,21:17:43.678511,1,1.0
4,21:17:42.391630,21:17:43.856811,-1,1.0
4,21:17:42.391630,21:17:44.055588,-1,1.0
4,21:17:42.391630,21:17:44.244696,-1,1.0
4,21:17:42.391630,21:17:44.393795,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,21:17:44.423638,21:17:45.062059,1,1.0
5,21:17:44.423638,21:17:45.305083,1,1.0
5,21:17:44.423638,21:17:45.569417,-1,1.0
5,21:17:44.423638,21:17:45.843791,-1,1.0
5,21:17:44.423638,21:17:46.044747,-1,1.0
5,21:17:44.423638,21:17:46.329562,-1,1.0
5,21:17:44.423638,21:17:46.534034,-1,1.0
5,21:17:44.423638,21:17:46.813798,1,1.0
5,21:17:44.423638,21:17:47.062529,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,21:17:47.116284,21:17:47.835033,1,1.0
6,21:17:47.116284,21:17:48.096869,1,1.0
6,21:17:47.116284,21:17:48.378923,1,1.0
6,21:17:47.116284,21:17:48.667015,-1,1.0
6,21:17:47.116284,21:17:48.914897,-1,1.0
6,21:17:47.116284,21:17:49.106726,-1,1.0
6,21:17:47.116284,21:17:49.290647,-1,1.0
6,21:17:47.116284,21:17:49.450743,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,21:17:49.479732,21:17:50.197611,-1,1.0
7,21:17:49.479732,21:17:50.469277,1,1.0
7,21:17:49.479732,21:17:50.667091,1,1.0
7,21:17:49.479732,21:17:50.872947,1,1.0
7,21:17:49.479732,21:17:51.069135,1,1.0
7,21:17:49.479732,21:17:51.253933,1,1.0
7,21:17:49.479732,21:17:51.476738,1,1.0
7,21:17:49.479732,21:17:51.698499,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,21:17:52.077309,21:17:53.058171,1,1.0
8,21:17:52.077309,21:17:53.437571,1,1.0
8,21:17:52.077309,21:17:53.586426,1,1.0
8,21:17:52.077309,21:17:53.825214,-1,1.0
8,21:17:52.077309,21:17:53.989896,-1,1.0
8,21:17:52.077309,21:17:54.142459,-1,1.0
8,21:17:52.077309,21:17:54.306012,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,21:17:54.334984,21:17:54.962421,-1,1.0
9,21:17:54.334984,21:17:55.177632,-1,1.0
9,21:17:54.334984,21:17:55.343588,-1,1.0
9,21:17:54.334984,21:17:55.620087,1,1.0
9,21:17:54.334984,21:17:55.782596,1,1.0
9,21:17:54.334984,21:17:56.009538,1,1.0
9,21:17:54.334984,21:17:56.183675,1,1.0
9,21:17:54.334984,21:17:56.502055,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,21:17:56.536699,21:17:57.215201,-1,1.0
10,21:17:56.536699,21:17:57.397470,-1,1.0
10,21:17:56.536699,21:17:57.560248,-1,1.0
10,21:17:56.536699,21:17:57.785090,1,1.0
10,21:17:56.536699,21:17:57.953279,1,1.0
10,21:17:56.536699,21:17:58.146853,1,1.0
10,21:17:56.536699,21:17:58.329181,1,1.0
10,21:17:56.536699,21:17:58.514590,1,1.0
10,21:17:56.536699,21:17:58.697061,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,21:17:58.735139,21:17:59.450593,-1,1.0
11,21:17:58.735139,21:17:59.706947,-1,1.0
11,21:17:58.735139,21:17:59.876785,-1,1.0
11,21:17:58.735139,21:18:00.080120,-1,1.0
11,21:17:58.735139,21:18:00.337187,1,1.0
11,21:17:58.735139,21:18:00.624471,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,21:18:00.667938,21:18:01.388239,1,1.0
12,21:18:00.667938,21:18:01.644045,1,1.0
12,21:18:00.667938,21:18:01.817090,1,1.0
12,21:18:00.667938,21:18:02.081554,-1,1.0
12,21:18:00.667938,21:18:02.300536,-1,1.0
12,21:18:00.667938,21:18:02.472434,-1,1.0
12,21:18:00.667938,21:18:02.645993,-1,1.0
12,21:18:00.667938,21:18:02.861601,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,21:18:02.899387,21:18:03.555050,-1,1.0
13,21:18:02.899387,21:18:03.762688,-1,1.0
13,21:18:02.899387,21:18:04.012632,1,1.0
13,21:18:02.899387,21:18:04.217593,1,1.0
13,21:18:02.899387,21:18:04.401009,1,1.0
13,21:18:02.899387,21:18:04.576385,1,1.0
13,21:18:02.899387,21:18:04.767780,1,1.0
13,21:18:02.899387,21:18:04.972971,1,1.0
13,21:18:02.899387,21:18:05.190640,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,21:18:05.225350,21:18:06.040493,1,1.0
14,21:18:05.225350,21:18:06.285586,1,1.0
14,21:18:05.225350,21:18:06.543292,-1,1.0
14,21:18:05.225350,21:18:06.756366,-1,1.0
14,21:18:05.225350,21:18:06.916261,-1,1.0
14,21:18:05.225350,21:18:07.081773,-1,1.0
14,21:18:05.225350,21:18:07.253510,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
15,21:18:07.306958,21:18:07.933182,-1,1.0
15,21:18:07.306958,21:18:08.265966,-1,1.0
15,21:18:07.306958,21:18:08.575278,-1,1.0
15,21:18:07.306958,21:18:08.813218,1,1.0
15,21:18:07.306958,21:18:09.123265,1,1.0
15,21:18:07.306958,21:18:09.348932,1,1.0
15,21:18:07.306958,21:18:09.565552,1,1.0
15,21:18:07.306958,21:18:09.766111,1,1.0
15,21:18:07.306958,21:18:09.962194,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
16,21:18:10.007401,21:18:10.628517,1,1.0
16,21:18:10.007401,21:18:10.968443,1,1.0
16,21:18:10.007401,21:18:11.235355,1,1.0
16,21:18:10.007401,21:18:11.558705,1,1.0
16,21:18:10.007401,21:18:11.866841,-1,1.0
16,21:18:10.007401,21:18:12.125020,-1,1.0
16,21:18:10.007401,21:18:12.318135,-1,1.0
16,21:18:10.007401,21:18:12.596514,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
17,21:18:12.634105,21:18:13.388683,-1,1.0
17,21:18:12.634105,21:18:13.679012,-1,1.0
17,21:18:12.634105,21:18:13.954182,-1,1.0
17,21:18:12.634105,21:18:14.188231,1,1.0
17,21:18:12.634105,21:18:14.393798,1,1.0
17,21:18:12.634105,21:18:14.589041,1,1.0
17,21:18:12.634105,21:18:14.813600,1,1.0
17,21:18:12.634105,21:18:15.051356,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
18,21:18:15.427158,21:18:16.231939,1,1.0
18,21:18:15.427158,21:18:16.559844,1,1.0
18,21:18:15.427158,21:18:16.877784,1,1.0
18,21:18:15.427158,21:18:17.149328,1,1.0
18,21:18:15.427158,21:18:17.625269,1,1.0
