Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:36:13.440991,10:36:13.885041,1,1.0
1,10:36:13.440991,10:36:14.439027,1,1.0
1,10:36:13.440991,10:36:15.080124,-1,1.0
1,10:36:13.440991,10:36:15.585711,-1,1.0
1,10:36:13.440991,10:36:16.040881,-1,1.0
1,10:36:13.440991,10:36:16.457115,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:36:16.477385,10:36:17.210275,1,1.0
2,10:36:16.477385,10:36:17.782918,1,1.0
2,10:36:16.477385,10:36:18.330251,1,1.0
2,10:36:16.477385,10:36:18.814344,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,10:36:19.169346,10:36:20.290329,-1,1.0
3,10:36:19.169346,10:36:20.667321,-1,1.0
3,10:36:19.169346,10:36:21.104508,-1,1.0
3,10:36:19.169346,10:36:21.476601,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,10:36:21.503450,10:36:22.148526,-1,1.0
4,10:36:21.503450,10:36:22.762809,-1,1.0
4,10:36:21.503450,10:36:23.153890,-1,1.0
4,10:36:21.503450,10:36:23.578366,-1,1.0
4,10:36:21.503450,10:36:23.949557,-1,1.0
4,10:36:21.503450,10:36:24.260623,1,1.0
4,10:36:21.503450,10:36:24.599970,1,1.0
4,10:36:21.503450,10:36:25.003310,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,10:36:25.348319,10:36:26.042156,-1,1.0
5,10:36:25.348319,10:36:26.623587,-1,1.0
5,10:36:25.348319,10:36:27.016265,-1,1.0
5,10:36:25.348319,10:36:27.397336,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,10:36:27.743334,10:36:28.949918,-1,1.0
6,10:36:27.743334,10:36:29.396086,-1,1.0
6,10:36:27.743334,10:36:29.783187,-1,1.0
6,10:36:27.743334,10:36:30.080682,-1,1.0
6,10:36:27.743334,10:36:30.343117,1,1.0
6,10:36:27.743334,10:36:30.730110,1,1.0
6,10:36:27.743334,10:36:31.045241,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,10:36:31.067287,10:36:31.788320,-1,1.0
7,10:36:31.067287,10:36:32.245935,-1,1.0
7,10:36:31.067287,10:36:32.676306,1,1.0
7,10:36:31.067287,10:36:33.056206,1,1.0
7,10:36:31.067287,10:36:33.432080,1,1.0
7,10:36:31.067287,10:36:33.757146,1,1.0
7,10:36:31.067287,10:36:33.989490,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,10:36:34.019340,10:36:34.843767,-1,1.0
8,10:36:34.019340,10:36:35.404717,-1,1.0
8,10:36:34.019340,10:36:35.689420,1,1.0
8,10:36:34.019340,10:36:36.125070,1,1.0
8,10:36:34.019340,10:36:36.429477,1,1.0
8,10:36:34.019340,10:36:36.526142,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,10:36:36.543620,10:36:37.279944,1,1.0
9,10:36:36.543620,10:36:37.655733,-1,1.0
9,10:36:36.543620,10:36:38.029863,-1,1.0
9,10:36:36.543620,10:36:38.321810,-1,1.0
9,10:36:36.543620,10:36:38.642291,-1,1.0
