Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:19:05.688670,10:19:07.837445,-1,1.0
1,10:19:05.688670,10:19:08.108371,-1,1.0
1,10:19:05.688670,10:19:08.409826,-1,1.0
1,10:19:05.688670,10:19:08.724102,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:19:08.740139,10:19:10.839194,1,1.0
2,10:19:08.740139,10:19:11.078037,1,1.0
2,10:19:08.740139,10:19:11.182063,1,1.0
2,10:19:08.740139,10:19:11.366272,1,1.0
2,10:19:08.740139,10:19:11.591052,1,1.0
2,10:19:08.740139,10:19:11.758531,-1,1.0
2,10:19:08.740139,10:19:11.941113,-1,1.0
2,10:19:08.740139,10:19:12.094778,-1,1.0
2,10:19:08.740139,10:19:12.226834,-1,1.0
2,10:19:08.740139,10:19:12.383317,-1,1.0
2,10:19:08.740139,10:19:12.609851,-1,1.0
2,10:19:08.740139,10:19:12.804361,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,10:19:12.826091,10:19:13.604715,1,1.0
3,10:19:12.826091,10:19:13.790359,1,1.0
3,10:19:12.826091,10:19:13.945452,1,1.0
3,10:19:12.826091,10:19:14.098341,1,1.0
3,10:19:12.826091,10:19:14.250208,-1,1.0
3,10:19:12.826091,10:19:14.423400,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,10:19:14.444308,10:19:15.219549,-1,1.0
4,10:19:14.444308,10:19:15.471238,-1,1.0
4,10:19:14.444308,10:19:15.607139,-1,1.0
4,10:19:14.444308,10:19:15.782468,-1,1.0
4,10:19:14.444308,10:19:15.996786,-1,1.0
4,10:19:14.444308,10:19:16.170037,-1,1.0
4,10:19:14.444308,10:19:16.342494,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,10:19:17.388729,10:19:18.803336,-1,1.0
5,10:19:17.388729,10:19:19.107384,-1,1.0
5,10:19:17.388729,10:19:19.375220,1,1.0
5,10:19:17.388729,10:19:19.600173,1,1.0
5,10:19:17.388729,10:19:19.751465,1,1.0
5,10:19:17.388729,10:19:20.041389,1,1.0
5,10:19:17.388729,10:19:20.290436,1,1.0
5,10:19:17.388729,10:19:20.547346,1,1.0
5,10:19:17.388729,10:19:20.702440,1,1.0
5,10:19:17.388729,10:19:21.255720,1,1.0
5,10:19:17.388729,10:19:21.531625,1,1.0
5,10:19:17.388729,10:19:21.694346,1,1.0
5,10:19:17.388729,10:19:21.983749,1,1.0
5,10:19:17.388729,10:19:22.269753,1,1.0
5,10:19:17.388729,10:19:22.455112,-1,1.0
5,10:19:17.388729,10:19:22.725186,-1,1.0
5,10:19:17.388729,10:19:22.971194,-1,1.0
5,10:19:17.388729,10:19:23.091149,-1,1.0
5,10:19:17.388729,10:19:23.325448,-1,1.0
5,10:19:17.388729,10:19:23.446752,-1,1.0
5,10:19:17.388729,10:19:23.699670,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,10:19:23.731070,10:19:25.386149,1,1.0
6,10:19:23.731070,10:19:25.670402,1,1.0
6,10:19:23.731070,10:19:25.906777,1,1.0
6,10:19:23.731070,10:19:26.049179,1,1.0
6,10:19:23.731070,10:19:26.276110,1,1.0
6,10:19:23.731070,10:19:26.410979,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,10:19:26.445765,10:19:27.302662,1,1.0
7,10:19:26.445765,10:19:27.556413,-1,1.0
7,10:19:26.445765,10:19:27.754099,-1,1.0
