Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:39:38.893918,21:39:40.166271,-1,1.0
1,21:39:38.893918,21:39:40.552071,-1,1.0
1,21:39:38.893918,21:39:40.673359,-1,1.0
1,21:39:38.893918,21:39:40.950518,1,1.0
1,21:39:38.893918,21:39:41.182238,1,1.0
1,21:39:38.893918,21:39:41.347112,1,1.0
1,21:39:38.893918,21:39:41.563471,1,1.0
1,21:39:38.893918,21:39:41.718910,1,1.0
1,21:39:38.893918,21:39:41.967144,1,1.0
1,21:39:38.893918,21:39:42.138307,1,1.0
1,21:39:38.893918,21:39:42.418514,1,1.0
1,21:39:38.893918,21:39:42.668759,-1,1.0
1,21:39:38.893918,21:39:42.939099,-1,1.0
1,21:39:38.893918,21:39:43.071372,-1,1.0
1,21:39:38.893918,21:39:43.318540,-1,1.0
1,21:39:38.893918,21:39:43.460801,-1,1.0
1,21:39:38.893918,21:39:43.709158,-1,1.0
1,21:39:38.893918,21:39:43.843282,-1,1.0
1,21:39:38.893918,21:39:44.100696,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:39:44.140083,21:39:44.813419,1,1.0
2,21:39:44.140083,21:39:45.041070,1,1.0
2,21:39:44.140083,21:39:45.183780,1,1.0
2,21:39:44.140083,21:39:45.418137,1,1.0
2,21:39:44.140083,21:39:45.574603,1,1.0
2,21:39:44.140083,21:39:45.821059,-1,1.0
2,21:39:44.140083,21:39:46.060652,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,21:39:46.430148,21:39:49.064647,1,1.0
3,21:39:46.430148,21:39:49.253032,1,1.0
3,21:39:46.430148,21:39:49.543991,1,1.0
3,21:39:46.430148,21:39:49.771279,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,21:39:52.532638,21:39:52.762292,1,1.0
5,21:39:52.532638,21:39:52.977472,1,1.0
5,21:39:52.532638,21:39:53.162774,1,1.0
5,21:39:52.532638,21:39:53.390524,-1,1.0
5,21:39:52.532638,21:39:54.972022,1,1.0
5,21:39:52.532638,21:39:55.212620,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,21:39:55.243588,21:39:55.974144,-1,1.0
6,21:39:55.243588,21:39:56.221333,-1,1.0
6,21:39:55.243588,21:39:56.471522,-1,1.0
6,21:39:55.243588,21:39:56.791804,1,1.0
6,21:39:55.243588,21:39:56.993819,1,1.0
6,21:39:55.243588,21:39:57.224868,1,1.0
6,21:39:55.243588,21:39:57.410299,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,21:39:57.439228,21:39:58.161826,1,1.0
7,21:39:57.439228,21:39:58.422763,1,1.0
7,21:39:57.439228,21:39:58.618139,-1,1.0
7,21:39:57.439228,21:39:58.862826,-1,1.0
7,21:39:57.439228,21:39:59.050254,-1,1.0
7,21:39:57.439228,21:39:59.222790,-1,1.0
7,21:39:57.439228,21:39:59.535408,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,21:39:59.912925,21:40:00.221390,-1,1.0
8,21:39:59.912925,21:40:00.518416,-1,1.0
8,21:39:59.912925,21:40:00.818751,1,1.0
8,21:39:59.912925,21:40:01.006184,1,1.0
8,21:39:59.912925,21:40:01.178406,1,1.0
8,21:39:59.912925,21:40:01.367668,1,1.0
8,21:39:59.912925,21:40:01.574133,-1,1.0
8,21:39:59.912925,21:40:01.760945,-1,1.0
8,21:39:59.912925,21:40:01.906424,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,21:40:02.279631,21:40:03.049777,-1,1.0
9,21:40:02.279631,21:40:03.240201,-1,1.0
9,21:40:02.279631,21:40:03.504073,1,1.0
9,21:40:02.279631,21:40:03.696729,1,1.0
9,21:40:02.279631,21:40:03.860521,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,21:40:04.576860,21:40:05.312447,1,1.0
10,21:40:04.576860,21:40:05.493265,1,1.0
10,21:40:04.576860,21:40:05.664623,1,1.0
10,21:40:04.576860,21:40:05.896248,-1,1.0
10,21:40:04.576860,21:40:06.067892,-1,1.0
10,21:40:04.576860,21:40:06.233870,-1,1.0
10,21:40:04.576860,21:40:06.501171,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,21:40:06.533268,21:40:07.158999,1,1.0
11,21:40:06.533268,21:40:07.320891,1,1.0
11,21:40:06.533268,21:40:07.652701,-1,1.0
11,21:40:06.533268,21:40:07.868202,-1,1.0
11,21:40:06.533268,21:40:08.089602,-1,1.0
11,21:40:06.533268,21:40:08.379469,1,1.0
11,21:40:06.533268,21:40:08.563870,1,1.0
11,21:40:06.533268,21:40:09.238746,-1,1.0
11,21:40:06.533268,21:40:09.509768,-1,1.0
11,21:40:06.533268,21:40:09.822331,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,21:40:09.857492,21:40:10.464527,1,1.0
12,21:40:09.857492,21:40:10.668822,1,1.0
12,21:40:09.857492,21:40:10.840143,1,1.0
12,21:40:09.857492,21:40:11.117915,1,1.0
12,21:40:09.857492,21:40:11.367320,1,1.0
12,21:40:09.857492,21:40:11.553900,-1,1.0
12,21:40:09.857492,21:40:11.739354,-1,1.0
12,21:40:09.857492,21:40:11.882367,-1,1.0
12,21:40:09.857492,21:40:12.024795,-1,1.0
12,21:40:09.857492,21:40:12.179564,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,21:40:12.208055,21:40:12.788394,1,1.0
13,21:40:12.208055,21:40:12.905056,1,1.0
13,21:40:12.208055,21:40:13.155516,1,1.0
13,21:40:12.208055,21:40:13.353743,-1,1.0
13,21:40:12.208055,21:40:13.549324,-1,1.0
13,21:40:12.208055,21:40:13.724949,-1,1.0
13,21:40:12.208055,21:40:13.874894,-1,1.0
13,21:40:12.208055,21:40:14.599017,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,21:40:14.618310,21:40:15.539748,1,1.0
14,21:40:14.618310,21:40:15.684994,1,1.0
14,21:40:14.618310,21:40:15.846735,1,1.0
14,21:40:14.618310,21:40:16.053089,1,1.0
14,21:40:14.618310,21:40:16.271818,-1,1.0
14,21:40:14.618310,21:40:16.447365,-1,1.0
14,21:40:14.618310,21:40:16.590276,-1,1.0
14,21:40:14.618310,21:40:16.890079,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
15,21:40:17.244385,21:40:17.538109,1,1.0
15,21:40:17.244385,21:40:17.734199,1,1.0
15,21:40:17.244385,21:40:17.907086,1,1.0
15,21:40:17.244385,21:40:18.190660,-1,1.0
15,21:40:17.244385,21:40:18.368717,-1,1.0
15,21:40:17.244385,21:40:18.528435,-1,1.0
15,21:40:17.244385,21:40:18.791769,-1,1.0
15,21:40:17.244385,21:40:18.993958,1,1.0
15,21:40:17.244385,21:40:19.470592,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
16,21:40:19.493024,21:40:20.186141,1,1.0
16,21:40:19.493024,21:40:20.345361,1,1.0
16,21:40:19.493024,21:40:20.514713,1,1.0
16,21:40:19.493024,21:40:20.678803,1,1.0
16,21:40:19.493024,21:40:20.841171,1,1.0
16,21:40:19.493024,21:40:21.064649,-1,1.0
16,21:40:19.493024,21:40:21.242897,-1,1.0
16,21:40:19.493024,21:40:21.392931,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
17,21:40:21.428387,21:40:22.041505,1,1.0
17,21:40:21.428387,21:40:22.216104,1,1.0
17,21:40:21.428387,21:40:22.380088,1,1.0
17,21:40:21.428387,21:40:22.561071,1,1.0
17,21:40:21.428387,21:40:22.817103,-1,1.0
17,21:40:21.428387,21:40:23.014182,-1,1.0
17,21:40:21.428387,21:40:23.200617,-1,1.0
17,21:40:21.428387,21:40:23.394954,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
18,21:40:23.764719,21:40:26.027112,1,1.0
18,21:40:23.764719,21:40:26.262664,1,1.0
18,21:40:23.764719,21:40:26.440107,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
19,21:40:26.469840,21:40:27.296338,-1,1.0
19,21:40:26.469840,21:40:27.475723,-1,1.0
19,21:40:26.469840,21:40:27.666306,-1,1.0
19,21:40:26.469840,21:40:27.973239,1,1.0
19,21:40:26.469840,21:40:28.170771,1,1.0
19,21:40:26.469840,21:40:28.357002,1,1.0
19,21:40:26.469840,21:40:28.658548,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
20,21:40:28.682585,21:40:29.278517,-1,1.0
20,21:40:28.682585,21:40:29.494132,-1,1.0
20,21:40:28.682585,21:40:29.693605,-1,1.0
20,21:40:28.682585,21:40:29.983419,1,1.0
20,21:40:28.682585,21:40:30.166680,1,1.0
20,21:40:28.682585,21:40:30.377421,1,1.0
20,21:40:28.682585,21:40:30.640100,1,1.0
20,21:40:28.682585,21:40:30.878317,1,1.0
