Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:37:11.700208,00:37:12.533070,1,0.15734795738339358
1,00:37:11.700208,00:37:12.850391,1,-0.016986680572159685
1,00:37:11.700208,00:37:13.098095,1,-0.20096769605609666
1,00:37:11.700208,00:37:13.333688,1,-0.38804691977077255
1,00:37:11.700208,00:37:13.593622,1,-0.5720610402141233
1,00:37:11.700208,00:37:13.845269,1,-0.7471351500996377
1,00:37:11.700208,00:37:14.112117,1,-0.9084767731513352
1,00:37:11.700208,00:37:14.352859,1,-1.0526747892418484
1,00:37:11.700208,00:37:14.601363,1,-1.1779230640067908
1,00:37:11.700208,00:37:14.840173,1,-1.283618791537549
1,00:37:11.700208,00:37:15.080636,1,-1.3703636429262929
1,00:37:11.700208,00:37:15.359376,1,-1.439326750316809
1,00:37:11.700208,00:37:15.616157,1,-1.4921497395932874
1,00:37:11.700208,00:37:15.873886,1,-1.5305533266748341
1,00:37:11.700208,00:37:16.124683,1,-1.5563221716103328
1,00:37:11.700208,00:37:16.385259,1,-1.571121102405499
1,00:37:11.700208,00:37:16.635909,1,-1.5764150655623155
1,00:37:11.700208,00:37:16.905416,1,-1.5735730581178302
1,00:37:11.700208,00:37:17.164307,1,-1.5637011417414044
1,00:37:11.700208,00:37:17.405249,1,-1.5478685796469165
1,00:37:11.700208,00:37:17.668477,1,-1.5268545246482859
1,00:37:11.700208,00:37:17.911024,1,-1.5014720234698018
1,00:37:11.700208,00:37:18.165450,1,-1.4722842500580384
1,00:37:11.700208,00:37:18.405493,1,-1.5169398784329928
1,00:37:11.700208,00:37:18.597374,1,-1.4028268477148629
1,00:37:11.700208,00:37:18.765837,1,-1.365106265092777
1,00:37:11.700208,00:37:18.923477,1,-1.3252652537382517
1,00:37:11.700208,00:37:19.093786,1,-1.2836056171190933
1,00:37:11.700208,00:37:19.243146,1,-1.240394266403996
1,00:37:11.700208,00:37:19.411611,1,-1.1957901209584634
1,00:37:11.700208,00:37:19.568136,1,-1.1500142964757742
1,00:37:11.700208,00:37:19.725553,1,-1.103210444885974
1,00:37:11.700208,00:37:19.881631,1,-1.0555112753104368
1,00:37:11.700208,00:37:20.028291,1,-1.0070626014422999
1,00:37:11.700208,00:37:20.174035,1,-0.9579358857735087
1,00:37:11.700208,00:37:20.341358,1,-0.9082868657505117
1,00:37:11.700208,00:37:20.498691,1,-0.8581543484375516
1,00:37:11.700208,00:37:20.664937,1,-0.8076713568672176
1,00:37:11.700208,00:37:20.829074,1,-0.7569251102466126
1,00:37:11.700208,00:37:20.974123,1,-0.705922235393956
1,00:37:11.700208,00:37:21.140453,1,-0.6548388727414931
1,00:37:11.700208,00:37:21.308380,1,-0.603671308039111
1,00:37:11.700208,00:37:21.463681,1,-0.5526010145116516
1,00:37:11.700208,00:37:21.611311,1,-0.5015703050214313
1,00:37:11.700208,00:37:21.778889,1,-0.45080068854790056
1,00:37:11.700208,00:37:21.934344,1,-0.40035100671727264
1,00:37:11.700208,00:37:22.100977,1,-0.3503449701286456
1,00:37:11.700208,00:37:22.907996,1,-0.25214686168601474
1,00:37:11.700208,00:37:23.075745,1,-0.2042921635818402
1,00:37:11.700208,00:37:23.243300,1,-0.15758609904725063
1,00:37:11.700208,00:37:23.548290,-1,-0.11226086014073644
1,00:37:11.700208,00:37:23.848928,-1,-0.06864837499603027
1,00:37:11.700208,00:37:23.953047,-1,-0.0271331603594831
1,00:37:11.700208,00:37:24.213974,-1,0.011704011345841536
1,00:37:11.700208,00:37:26.197812,-1,0.12397936949315636
1,00:37:11.700208,00:37:26.513116,-1,0.13437359134809412
1,00:37:11.700208,00:37:26.636972,-1,0.13313940915185185
1,00:37:11.700208,00:37:27.082743,-1,0.11632207107035697
1,00:37:11.700208,00:37:27.554713,-1,0.07847447257145745
1,00:37:11.700208,00:37:28.033914,-1,-0.39665017999385443
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:37:32.409009,00:37:35.226378,1,-1.4350039939373858
2,00:37:32.409009,00:37:35.420285,1,-1.4576422078486075
2,00:37:32.409009,00:37:35.698494,1,-1.4715149360849864
2,00:37:32.409009,00:37:35.968782,1,-1.4775524100172106
2,00:37:32.409009,00:37:36.239022,1,-1.4766393336398096
2,00:37:32.409009,00:37:36.501075,1,-1.4695706362480507
2,00:37:32.409009,00:37:36.750820,1,-1.4570700602262718
2,00:37:32.409009,00:37:37.001648,1,-1.4397942064614142
2,00:37:32.409009,00:37:37.231180,-1,-1.418329361171402
2,00:37:32.409009,00:37:37.491339,-1,-1.3931311195817386
2,00:37:32.409009,00:37:37.744787,-1,-1.3647389760807016
2,00:37:32.409009,00:37:37.980682,-1,-1.3334423131298934
2,00:37:32.409009,00:37:38.198097,-1,-1.2996310741815478
2,00:37:32.409009,00:37:38.411736,-1,-1.2636000259951743
2,00:37:32.409009,00:37:38.584106,-1,-1.225627808136096
2,00:37:32.409009,00:37:38.779741,-1,-1.185927264195584
2,00:37:32.409009,00:37:38.956997,-1,-1.1447330833156286
2,00:37:32.409009,00:37:39.121683,-1,-1.102183182749883
2,00:37:32.409009,00:37:39.257674,-1,4.335015811771098
