Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,20:40:41.288101,20:40:43.082218,1,-0.5078612406504988
1,20:40:41.288101,20:40:43.378435,1,-0.6765368625982262
1,20:40:41.288101,20:40:43.624652,1,-0.8345786924670335
1,20:40:41.288101,20:40:43.868540,1,-0.9784544411207605
1,20:40:41.288101,20:40:44.126076,1,-1.1058135390638029
1,20:40:41.288101,20:40:44.340107,1,-1.2155941388786857
1,20:40:41.288101,20:40:44.563910,1,-1.3076772180067735
1,20:40:41.288101,20:40:44.785084,1,-1.3828205880276982
1,20:40:41.288101,20:40:44.986314,1,-1.4421479297977555
1,20:40:41.288101,20:40:45.198932,1,-1.4870856391125358
1,20:40:41.288101,20:40:45.413936,1,-1.519233827578205
1,20:40:41.288101,20:40:45.635389,1,-1.5400540384306396
1,20:40:41.288101,20:40:45.848056,1,-1.5510121035758004
1,20:40:41.288101,20:40:46.044306,1,-1.5533624285468193
1,20:40:41.288101,20:40:46.237044,1,-1.5483062062695865
1,20:40:41.288101,20:40:46.429152,1,-1.5368080836584852
1,20:40:41.288101,20:40:46.641604,1,-1.5197559721677862
1,20:40:41.288101,20:40:46.857138,1,-1.497960518820264
1,20:40:41.288101,20:40:47.061894,1,-1.4720341535940804
1,20:40:41.288101,20:40:47.254359,1,-1.4424917796364412
1,20:40:41.288101,20:40:47.468387,1,-1.4098964741561133
1,20:40:41.288101,20:40:47.660319,1,-1.451994079669305
1,20:40:41.288101,20:40:47.885654,1,-1.3351661566344433
1,20:40:41.288101,20:40:48.066356,1,-1.2955250168599264
1,20:40:41.288101,20:40:48.238926,1,-1.2540916221065572
1,20:40:41.288101,20:40:48.756011,1,-1.2111773062823659
1,20:40:41.288101,20:40:48.917115,1,-1.1668940662747787
1,20:40:41.288101,20:40:49.073591,1,-1.121498928135935
1,20:40:41.288101,20:40:49.247029,1,-1.0750906815014503
1,20:40:41.288101,20:40:49.423931,1,-1.0278059752663466
1,20:40:41.288101,20:40:49.593076,1,-0.9798064668356403
1,20:40:41.288101,20:40:49.784291,1,-0.9311506759328552
1,20:40:41.288101,20:40:49.944162,1,-0.8819769428226323
1,20:40:41.288101,20:40:50.114203,1,-0.8323691048607884
1,20:40:41.288101,20:40:50.293945,1,-0.782425887434897
1,20:40:41.288101,20:40:50.473883,1,-0.7322326412334519
1,20:40:41.288101,20:40:50.702535,1,-0.6818591836025973
1,20:40:41.288101,20:40:50.852516,1,-0.6313834243184147
1,20:40:41.288101,20:40:51.055043,1,-0.580910401063619
1,20:40:41.288101,20:40:51.239536,1,-0.5305232539441533
1,20:40:41.288101,20:40:51.401187,1,-0.48036036403101434
1,20:40:41.288101,20:40:51.605545,1,-0.43044804711078655
1,20:40:41.288101,20:40:51.767635,1,-0.3809593050155513
1,20:40:41.288101,20:40:51.931214,1,-0.3320260157834696
1,20:40:41.288101,20:40:52.145482,1,-0.2837312649135697
1,20:40:41.288101,20:40:52.312473,1,-0.23637287141553998
1,20:40:41.288101,20:40:52.534014,1,-0.19009785895789832
1,20:40:41.288101,20:40:52.734316,1,-0.14517687966090875
1,20:40:41.288101,20:40:52.902463,1,-0.10191088573424167
1,20:40:41.288101,20:40:53.229060,1,-0.06075213270128188
1,20:40:41.288101,20:40:53.422945,1,-0.022194464904430333
1,20:40:41.288101,20:40:53.625644,1,0.013152905544927762
1,20:40:41.288101,20:40:53.805994,1,0.044454518021524336
1,20:40:41.288101,20:40:53.976936,1,0.07059598717290783
1,20:40:41.288101,20:40:54.181545,1,0.09014997729602214
1,20:40:41.288101,20:40:54.372897,1,0.1011669450973045
1,20:40:41.288101,20:40:54.573470,1,0.10106624108186679
1,20:40:41.288101,20:40:54.762173,1,0.08615868248455172
1,20:40:41.288101,20:40:54.964491,1,0.051427422386638
1,20:40:41.288101,20:40:55.173694,1,-0.010296755794399814
1,20:40:41.288101,20:40:55.364433,1,-0.10897254320769889
1,20:40:41.288101,20:40:55.565418,1,-0.2586642021687169
1,20:40:41.288101,20:40:55.743587,1,-0.4783381644006397
1,20:40:41.288101,20:40:55.932843,1,-0.7918661166353331
1,20:40:41.288101,20:40:56.114606,1,-1.2246999260560472
1,20:40:41.288101,20:40:56.306241,1,8.206067830995835
1,20:40:41.288101,20:40:56.490515,1,8.32024087807298
1,20:40:41.288101,20:40:56.672566,1,-100
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,20:40:56.699586,20:40:59.424871,-1,-1.1960774438517205
2,20:40:56.699586,20:40:59.529320,-1,-1.1917812061455209
2,20:40:56.699586,20:40:59.689345,-1,-1.1849628228163454
2,20:40:56.699586,20:40:59.847421,-1,-1.1757249570760564
2,20:40:56.699586,20:40:59.976312,-1,-1.1642420660130028
2,20:40:56.699586,20:41:00.138429,-1,-1.1506459639302875
2,20:40:56.699586,20:41:00.310968,-1,-1.135049603866321
2,20:40:56.699586,20:41:00.462440,-1,-1.1176198575135459
2,20:40:56.699586,20:41:00.626019,-1,-1.098460325897122
2,20:40:56.699586,20:41:00.792431,-1,-1.0777688436823212
2,20:40:56.699586,20:41:00.973537,-1,-1.0556328106640933
2,20:40:56.699586,20:41:01.142559,-1,-1.0322120556605228
2,20:40:56.699586,20:41:01.302253,-1,-1.0076440870668364
2,20:40:56.699586,20:41:01.464322,-1,-0.9821006044827811
2,20:40:56.699586,20:41:01.668121,-1,-0.9557022250448881
2,20:40:56.699586,20:41:01.858424,-1,-2.047839973911094
2,20:40:56.699586,20:41:02.029440,-1,0.1007650198238082
