Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:23:44.101013,10:23:45.506807,1,1.0
1,10:23:44.101013,10:23:46.018915,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:23:46.403945,10:23:47.448800,-1,1.0
2,10:23:46.403945,10:23:48.055646,1,1.0
2,10:23:46.403945,10:23:48.633158,1,1.0
2,10:23:46.403945,10:23:49.519530,1,1.0
2,10:23:46.403945,10:23:50.496403,1,1.0
2,10:23:46.403945,10:23:51.795435,-1,1.0
2,10:23:46.403945,10:23:52.592697,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,10:23:52.983586,10:23:54.025754,1,1.0
3,10:23:52.983586,10:23:54.609712,-1,1.0
3,10:23:52.983586,10:23:55.128155,-1,1.0
3,10:23:52.983586,10:23:55.606551,1,1.0
3,10:23:52.983586,10:23:55.950586,1,1.0
