Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,23:27:56.301850,23:28:03.347431,1,-1.2926137598052208
1,23:27:56.301850,23:28:03.813525,1,-1.3124213257216581
1,23:27:56.301850,23:28:04.262664,1,-1.326449128570431
1,23:27:56.301850,23:28:04.645199,1,-1.3351013035040467
1,23:27:56.301850,23:28:05.630526,1,-1.3376269846903028
1,23:27:56.301850,23:28:05.983489,-1,-1.332218654610756
1,23:27:56.301850,23:28:06.347178,-1,-1.3228668884081003
1,23:27:56.301850,23:28:06.472977,-1,-1.3098826200038616
1,23:27:56.301850,23:28:08.051406,-1,-1.2522982124845612
1,23:27:56.301850,23:28:08.403466,-1,-2.108481359681632
1,23:27:56.301850,23:28:09.025456,1,-0.6478100088875067
1,23:27:56.301850,23:28:09.337715,1,0.8013206359376397
1,23:27:56.301850,23:28:10.925514,1,2.355639138272818
1,23:27:56.301850,23:28:11.313506,1,1.1102880142809795
1,23:27:56.301850,23:28:11.751722,1,-1.7161846732352501
1,23:27:56.301850,23:28:12.134508,-1,-1.5038344430639825
1,23:27:56.301850,23:28:12.354493,-1,0.44219178018822164
1,23:27:56.301850,23:28:12.506572,-1,-0.34992704972335104
1,23:27:56.301850,23:28:12.668311,-1,0.985244778199285
