Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:29:05.972334,00:29:06.928114,1,-1.5048730883135306
1,00:29:05.972334,00:29:07.268612,1,-1.454144126856761
1,00:29:05.972334,00:29:07.576434,1,-1.4025023619498427
1,00:29:05.972334,00:29:07.900745,1,-1.3500023359636373
1,00:29:05.972334,00:29:08.231199,1,-1.2966645950020563
1,00:29:05.972334,00:29:08.540549,1,-1.242621472310077
1,00:29:05.972334,00:29:08.831812,1,-1.1879494443625163
1,00:29:05.972334,00:29:09.131792,1,-1.1327956241266008
1,00:29:05.972334,00:29:09.444646,1,-1.0771272697510597
1,00:29:05.972334,00:29:09.771398,1,-1.0211363059352152
1,00:29:05.972334,00:29:10.002360,1,-0.964778847525281
1,00:29:05.972334,00:29:10.282353,1,-0.9081291443697523
1,00:29:05.972334,00:29:10.561556,1,-0.851216395281142
1,00:29:05.972334,00:29:10.814628,1,-0.794091757737192
1,00:29:05.972334,00:29:11.062850,1,-0.7367753874859773
1,00:29:05.972334,00:29:11.288920,1,-0.679307705489407
1,00:29:05.972334,00:29:11.533573,1,-0.621671597485772
1,00:29:05.972334,00:29:11.730470,1,-0.5639485136908888
1,00:29:05.972334,00:29:11.969318,1,-0.5060941378305586
1,00:29:05.972334,00:29:12.198335,1,-0.4481944276500087
1,00:29:05.972334,00:29:12.449545,1,-0.39019027000682627
1,00:29:05.972334,00:29:12.686407,1,-0.3321841187564587
1,00:29:05.972334,00:29:14.118538,1,-0.0397909465615669
1,00:29:05.972334,00:29:14.507089,1,0.07578540118726096
1,00:29:05.972334,00:29:14.700362,1,0.13338194731892372
1,00:29:05.972334,00:29:15.137697,1,0.2478566459033118
1,00:29:05.972334,00:29:15.437641,1,0.30470619254217013
1,00:29:05.972334,00:29:15.643244,1,0.3610936651298857
1,00:29:05.972334,00:29:15.901821,1,0.41697637255279574
1,00:29:05.972334,00:29:16.119373,1,0.47216700950451695
1,00:29:05.972334,00:29:16.359224,1,0.5264785521076192
1,00:29:05.972334,00:29:16.584169,1,0.5796264528329118
1,00:29:05.972334,00:29:16.809438,1,0.6311784444858688
1,00:29:05.972334,00:29:17.038567,1,0.6806010908516953
1,00:29:05.972334,00:29:17.268159,1,0.7269972088006398
1,00:29:05.972334,00:29:17.496762,1,0.7689725723021468
1,00:29:05.972334,00:29:17.692543,1,0.8044013556466609
1,00:29:05.972334,00:29:17.888657,1,0.8296088057857958
1,00:29:05.972334,00:29:18.073116,1,0.8379623612046885
1,00:29:05.972334,00:29:18.259916,1,0.8169734992143844
1,00:29:05.972334,00:29:18.456665,1,0.7405871686671901
1,00:29:05.972334,00:29:18.672641,1,0.5501734939441576
1,00:29:05.972334,00:29:18.901055,1,0.10524863112365779
1,00:29:05.972334,00:29:19.384635,1,17.290331733380953
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:29:19.756813,00:29:22.159621,1,-1.2655299153700525
2,00:29:19.756813,00:29:22.431419,1,-1.2848898628114966
2,00:29:19.756813,00:29:22.700267,1,-1.2989320133451088
2,00:29:19.756813,00:29:22.972607,1,-1.3079001296431159
2,00:29:19.756813,00:29:23.263329,1,-1.3121340079715935
2,00:29:19.756813,00:29:23.520230,1,-1.3119295231699653
2,00:29:19.756813,00:29:23.767907,1,-1.3075667046640262
2,00:29:19.756813,00:29:24.027443,1,-1.2994145652450584
2,00:29:19.756813,00:29:24.263662,1,-1.2877368375501703
2,00:29:19.756813,00:29:24.533132,1,-1.2728423617977
2,00:29:19.756813,00:29:24.762241,1,-1.2549647864592544
2,00:29:19.756813,00:29:25.020731,-1,-1.2344281918681759
2,00:29:19.756813,00:29:25.278764,-1,-1.2113924263100273
2,00:29:19.756813,00:29:25.526581,-1,-1.1861849825554884
2,00:29:19.756813,00:29:26.137444,-1,-1.1299398460298278
2,00:29:19.756813,00:29:26.386965,-1,-1.0992868395634048
2,00:29:19.756813,00:29:26.553131,-1,-1.133142047092747
2,00:29:19.756813,00:29:26.701594,-1,-1.0318007941972382
2,00:29:19.756813,00:29:26.853615,-1,-0.9974518476360572
2,00:29:19.756813,00:29:27.008396,-1,-0.9621965106508128
2,00:29:19.756813,00:29:27.151808,-1,-0.9261622179181472
2,00:29:19.756813,00:29:27.478019,-1,-0.8895020791414652
2,00:29:19.756813,00:29:27.767902,-1,-0.8523521493132478
2,00:29:19.756813,00:29:28.026932,-1,-0.8149074872733877
2,00:29:19.756813,00:29:28.276547,-1,-0.7772972332275572
2,00:29:19.756813,00:29:28.418039,-1,0.0593973530109804
2,00:29:19.756813,00:29:28.574864,-1,4.6336942625060376
