Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:18:34.493495,21:18:35.485589,-1,1.0
1,21:18:34.493495,21:18:35.870266,-1,1.0
1,21:18:34.493495,21:18:36.201717,-1,1.0
1,21:18:34.493495,21:18:36.524572,1,1.0
1,21:18:34.493495,21:18:36.830178,1,1.0
1,21:18:34.493495,21:18:37.130131,1,1.0
1,21:18:34.493495,21:18:37.924062,1,1.0
1,21:18:34.493495,21:18:38.502565,-1,1.0
1,21:18:34.493495,21:18:38.793827,-1,1.0
1,21:18:34.493495,21:18:39.202719,-1,1.0
1,21:18:34.493495,21:18:39.471865,-1,1.0
1,21:18:34.493495,21:18:39.675542,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:18:40.052943,21:18:41.665851,1,1.0
2,21:18:40.052943,21:18:41.957259,1,1.0
2,21:18:40.052943,21:18:42.215891,-1,1.0
2,21:18:40.052943,21:18:42.498302,-1,1.0
2,21:18:40.052943,21:18:42.729753,-1,1.0
2,21:18:40.052943,21:18:43.108765,-1,1.0
2,21:18:40.052943,21:18:43.346643,-1,1.0
2,21:18:40.052943,21:18:43.613018,-1,1.0
2,21:18:40.052943,21:18:43.867525,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,21:18:43.907646,21:18:44.983056,-1,1.0
3,21:18:43.907646,21:18:45.250582,1,1.0
3,21:18:43.907646,21:18:45.508323,1,1.0
3,21:18:43.907646,21:18:45.716773,1,1.0
3,21:18:43.907646,21:18:45.950027,1,1.0
3,21:18:43.907646,21:18:46.222268,1,1.0
3,21:18:43.907646,21:18:46.435172,1,1.0
3,21:18:43.907646,21:18:46.957055,1,1.0
3,21:18:43.907646,21:18:47.675786,1,1.0
3,21:18:43.907646,21:18:48.144891,1,1.0
3,21:18:43.907646,21:18:48.434019,-1,1.0
3,21:18:43.907646,21:18:48.763607,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,21:18:48.806790,21:18:49.937186,-1,1.0
4,21:18:48.806790,21:18:50.316963,-1,1.0
4,21:18:48.806790,21:18:50.586407,-1,1.0
4,21:18:48.806790,21:18:50.774327,1,1.0
4,21:18:48.806790,21:18:51.069115,1,1.0
4,21:18:48.806790,21:18:51.308944,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,21:18:51.342497,21:18:54.159051,-1,1.0
5,21:18:51.342497,21:18:54.468407,-1,1.0
