Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,21:33:33.127447,21:33:33.613784,-1,1.0
1,21:33:33.127447,21:33:34.146284,1,1.0
1,21:33:33.127447,21:33:34.945003,-1,1.0
1,21:33:33.127447,21:33:35.655692,1,1.0
1,21:33:33.127447,21:33:36.039718,1,1.0
1,21:33:33.127447,21:33:36.459901,1,1.0
1,21:33:33.127447,21:33:36.842397,-1,1.0
1,21:33:33.127447,21:33:37.062384,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,21:33:37.421305,21:33:38.491455,-1,1.0
2,21:33:37.421305,21:33:38.876546,1,1.0
2,21:33:37.421305,21:33:39.257508,1,1.0
2,21:33:37.421305,21:33:39.488823,1,1.0
2,21:33:37.421305,21:33:40.241264,-1,1.0
2,21:33:37.421305,21:33:40.620105,-1,1.0
2,21:33:37.421305,21:33:40.926667,-1,1.0
2,21:33:37.421305,21:33:41.224560,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,21:33:41.601425,21:33:42.504063,1,1.0
3,21:33:41.601425,21:33:42.898350,1,1.0
3,21:33:41.601425,21:33:43.434419,1,1.0
3,21:33:41.601425,21:33:43.844873,-1,1.0
3,21:33:41.601425,21:33:44.138692,-1,1.0
3,21:33:41.601425,21:33:44.901887,-1,1.0
3,21:33:41.601425,21:33:45.439983,-1,1.0
3,21:33:41.601425,21:33:46.963093,-1,1.0
3,21:33:41.601425,21:33:47.338784,-1,1.0
3,21:33:41.601425,21:33:47.654288,-1,1.0
3,21:33:41.601425,21:33:47.975742,-1,1.0
3,21:33:41.601425,21:33:48.313553,-1,1.0
3,21:33:41.601425,21:33:48.695525,-1,1.0
3,21:33:41.601425,21:33:49.160129,-1,1.0
3,21:33:41.601425,21:33:49.380804,-1,1.0
3,21:33:41.601425,21:33:49.537492,-1,1.0
3,21:33:41.601425,21:33:49.698080,-1,1.0
3,21:33:41.601425,21:33:49.933255,-1,1.0
3,21:33:41.601425,21:33:50.208832,-1,1.0
3,21:33:41.601425,21:33:50.390118,-1,1.0
3,21:33:41.601425,21:33:50.595757,-1,1.0
3,21:33:41.601425,21:33:50.872351,-1,1.0
3,21:33:41.601425,21:33:51.030387,-1,1.0
3,21:33:41.601425,21:33:51.265724,-1,1.0
3,21:33:41.601425,21:33:51.447573,-1,1.0
3,21:33:41.601425,21:33:51.729986,-1,1.0
3,21:33:41.601425,21:33:51.955706,-1,1.0
3,21:33:41.601425,21:33:52.241265,-1,1.0
3,21:33:41.601425,21:33:52.451825,-1,1.0
3,21:33:41.601425,21:33:52.605486,-1,1.0
3,21:33:41.601425,21:33:52.821258,-1,1.0
3,21:33:41.601425,21:33:52.982124,-1,1.0
3,21:33:41.601425,21:33:53.157752,-1,1.0
3,21:33:41.601425,21:33:53.327672,-1,1.0
3,21:33:41.601425,21:33:53.635581,-1,1.0
3,21:33:41.601425,21:33:53.890030,-1,1.0
3,21:33:41.601425,21:33:54.070154,-1,1.0
3,21:33:41.601425,21:33:54.371215,-1,1.0
3,21:33:41.601425,21:33:54.690822,-1,1.0
3,21:33:41.601425,21:33:54.981824,-1,1.0
3,21:33:41.601425,21:33:55.143068,-1,1.0
3,21:33:41.601425,21:33:55.356839,-1,1.0
3,21:33:41.601425,21:33:55.527447,-1,1.0
3,21:33:41.601425,21:33:55.679096,-1,1.0
3,21:33:41.601425,21:33:55.842037,-1,1.0
3,21:33:41.601425,21:33:55.991021,-1,1.0
3,21:33:41.601425,21:33:56.148899,-1,1.0
3,21:33:41.601425,21:33:56.330155,-1,1.0
3,21:33:41.601425,21:33:56.504809,-1,1.0
3,21:33:41.601425,21:33:56.676246,-1,1.0
3,21:33:41.601425,21:33:56.837985,-1,1.0
3,21:33:41.601425,21:33:57.073013,-1,1.0
3,21:33:41.601425,21:33:57.224614,-1,1.0
3,21:33:41.601425,21:33:57.383322,-1,1.0
3,21:33:41.601425,21:33:57.556646,-1,1.0
3,21:33:41.601425,21:33:57.751777,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,21:33:57.778289,21:33:59.252726,-1,1.0
4,21:33:57.778289,21:33:59.591498,-1,1.0
4,21:33:57.778289,21:33:59.815863,-1,1.0
4,21:33:57.778289,21:34:00.028937,-1,1.0
4,21:33:57.778289,21:34:00.285232,-1,1.0
4,21:33:57.778289,21:34:00.516537,-1,1.0
4,21:33:57.778289,21:34:00.700904,-1,1.0
4,21:33:57.778289,21:34:00.929681,-1,1.0
4,21:33:57.778289,21:34:01.120057,-1,1.0
4,21:33:57.778289,21:34:01.363618,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,21:34:01.379660,21:34:02.041293,-1,1.0
5,21:34:01.379660,21:34:02.339548,-1,1.0
5,21:34:01.379660,21:34:02.485015,-1,1.0
5,21:34:01.379660,21:34:02.756706,-1,1.0
5,21:34:01.379660,21:34:03.017679,-1,1.0
5,21:34:01.379660,21:34:03.188690,-1,1.0
5,21:34:01.379660,21:34:03.403532,-1,1.0
5,21:34:01.379660,21:34:03.552156,-1,1.0
5,21:34:01.379660,21:34:03.713604,-1,1.0
5,21:34:01.379660,21:34:03.873226,-1,1.0
5,21:34:01.379660,21:34:04.071211,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,21:34:04.095286,21:34:04.742408,-1,1.0
6,21:34:04.095286,21:34:04.910026,-1,1.0
6,21:34:04.095286,21:34:05.119763,-1,1.0
6,21:34:04.095286,21:34:05.299982,-1,1.0
6,21:34:04.095286,21:34:05.493663,-1,1.0
6,21:34:04.095286,21:34:05.656678,-1,1.0
6,21:34:04.095286,21:34:06.080561,1,1.0
6,21:34:04.095286,21:34:06.250994,1,1.0
6,21:34:04.095286,21:34:06.410975,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,21:34:06.445529,21:34:07.028053,-1,1.0
7,21:34:06.445529,21:34:07.299669,-1,1.0
7,21:34:06.445529,21:34:07.499211,-1,1.0
7,21:34:06.445529,21:34:07.676990,-1,1.0
7,21:34:06.445529,21:34:07.887328,-1,1.0
7,21:34:06.445529,21:34:08.163935,-1,1.0
7,21:34:06.445529,21:34:08.316768,-1,1.0
7,21:34:06.445529,21:34:08.561905,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,21:34:08.589443,21:34:09.308691,1,1.0
8,21:34:08.589443,21:34:09.581691,1,1.0
8,21:34:08.589443,21:34:09.831953,1,1.0
8,21:34:08.589443,21:34:10.204977,-1,1.0
8,21:34:08.589443,21:34:10.392338,-1,1.0
8,21:34:08.589443,21:34:10.591815,-1,1.0
