Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:30:19.672353,14:30:21.431819,1,-1.7684504453783063
1,14:30:19.672353,14:30:21.750593,1,-1.7086034748317331
1,14:30:19.672353,14:30:21.997079,1,-1.6489752797933477
1,14:30:19.672353,14:30:22.246301,1,-1.5893418228308178
1,14:30:19.672353,14:30:22.471324,1,-1.5296670943316144
1,14:30:19.672353,14:30:22.611322,1,-1.4699036460428658
1,14:30:19.672353,14:30:22.781986,1,-1.4101380747731298
1,14:30:19.672353,14:30:22.977871,1,-1.3503336387095146
1,14:30:19.672353,14:30:23.087612,1,-1.2905123552105522
1,14:30:19.672353,14:30:23.229517,1,-1.2306484771621626
1,14:30:19.672353,14:30:23.401423,1,-1.170800943284405
1,14:30:19.672353,14:30:23.562373,1,-1.1109067056674462
1,14:30:19.672353,14:30:23.718413,1,-1.051026731117588
1,14:30:19.672353,14:30:23.875087,1,-0.9911093938417821
1,14:30:19.672353,14:30:24.035171,1,-0.9311937604830405
1,14:30:19.672353,14:30:24.187180,1,-0.8712761668422786
1,14:30:19.672353,14:30:24.321113,1,-0.8113321131450562
1,14:30:19.672353,14:30:24.486391,1,-0.7514152201840716
1,14:30:19.672353,14:30:24.628089,1,-0.6914580508773156
1,14:30:19.672353,14:30:24.781272,1,-0.6315266696080073
1,14:30:19.672353,14:30:24.914910,1,-0.5715855501460396
1,14:30:19.672353,14:30:25.058074,1,-0.511624656254611
1,14:30:19.672353,14:30:25.209913,1,-0.5448436174207814
1,14:30:19.672353,14:30:25.352054,1,-0.38934624651830063
1,14:30:19.672353,14:30:25.506414,1,-0.3293984919256445
1,14:30:19.672353,14:30:25.648898,1,-0.2694633600602856
1,14:30:19.672353,14:30:25.812900,1,-0.2094864054666914
1,14:30:19.672353,14:30:25.964257,1,-0.14953603544438465
1,14:30:19.672353,14:30:26.115381,1,-0.08958696136102162
1,14:30:19.672353,14:30:26.259631,1,-0.02962321078638297
1,14:30:19.672353,14:30:26.422778,1,0.03030785600842023
1,14:30:19.672353,14:30:26.562372,1,0.09026737154974285
1,14:30:19.672353,14:30:26.714022,1,0.15022568054280327
1,14:30:19.672353,14:30:26.866508,1,0.21016332020721507
1,14:30:19.672353,14:30:27.018799,1,0.270081880885499
1,14:30:19.672353,14:30:27.181535,1,0.330025508589074
1,14:30:19.672353,14:30:27.869133,1,0.4498684608215626
1,14:30:19.672353,14:30:28.011204,1,0.509768428478452
1,14:30:19.672353,14:30:28.171404,1,0.5696480968739479
1,14:30:19.672353,14:30:28.325005,1,0.6295216995123667
1,14:30:19.672353,14:30:28.477431,1,0.689347642523245
1,14:30:19.672353,14:30:28.629933,1,0.749146749208137
1,14:30:19.672353,14:30:28.794987,1,0.8089007136813109
1,14:30:19.672353,14:30:28.967170,1,0.8685576329190781
1,14:30:19.672353,14:30:29.133262,1,0.9281188261538205
1,14:30:19.672353,14:30:29.317369,1,0.9875155040760148
1,14:30:19.672353,14:30:29.504214,1,1.0466384006913074
1,14:30:19.672353,14:30:30.009942,1,1.105319071999162
1,14:30:19.672353,14:30:30.163701,1,1.1631715490655665
1,14:30:19.672353,14:30:30.348387,1,1.2193082200323602
1,14:30:19.672353,14:30:30.592249,1,1.2712746724743056
1,14:30:19.672353,14:30:30.817807,1,1.3097092986527343
1,14:30:19.672353,14:30:31.078375,1,1.2675429955515938
1,14:30:19.672353,14:30:31.620433,1,18.977186758269795
1,14:30:19.672353,14:30:32.115298,1,-100
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,14:30:32.157391,14:30:35.625978,-1,2.308508155625532
2,14:30:32.157391,14:30:35.821338,-1,2.2818255652216806
2,14:30:32.157391,14:30:35.930690,-1,2.1231488839030987
2,14:30:32.157391,14:30:36.066509,-1,1.494086308101089
2,14:30:32.157391,14:30:36.210921,-1,-0.19567286369496628
2,14:30:32.157391,14:30:36.373566,-1,-1.6955494036251366
2,14:30:32.157391,14:30:36.580100,-1,-2.1842501120534905
2,14:30:32.157391,14:30:36.720660,-1,-2.3042639216687917
2,14:30:32.157391,14:30:36.843356,-1,-2.318753413258321
2,14:30:32.157391,14:30:36.989164,-1,-2.2958122592730206
2,14:30:32.157391,14:30:37.141629,-1,-2.2567609442361345
2,14:30:32.157391,14:30:37.293106,-1,-2.20965502170003
2,14:30:32.157391,14:30:37.457186,-1,-2.1581771408905297
2,14:30:32.157391,14:30:37.733905,1,-2.1040727267396164
2,14:30:32.157391,14:30:37.939128,1,-2.0483426025222684
2,14:30:32.157391,14:30:38.092143,1,-1.9915053833342427
2,14:30:32.157391,14:30:38.295909,1,-1.9339257389340219
2,14:30:32.157391,14:30:38.470745,1,-1.8758233787417282
2,14:30:32.157391,14:30:38.632752,1,-1.8173344693313425
2,14:30:32.157391,14:30:38.798663,1,-1.8514007731864126
2,14:30:32.157391,14:30:38.961815,1,-1.6972421346697502
2,14:30:32.157391,14:30:39.106295,1,-1.6380491666619719
2,14:30:32.157391,14:30:39.269302,1,-1.5787575556243496
2,14:30:32.157391,14:30:39.436555,1,-1.5193755884101563
2,14:30:32.157391,14:30:39.598745,1,-1.4598643778033988
2,14:30:32.157391,14:30:40.247099,1,-1.4003285302107997
2,14:30:32.157391,14:30:41.147256,1,-1.2810567913414275
2,14:30:32.157391,14:30:41.318358,1,-1.2213665031614767
