Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,14:31:31.081807,14:31:32.706891,1,-0.8813303420228635
1,14:31:31.081807,14:31:33.001633,1,-0.9373211975155868
1,14:31:31.081807,14:31:33.224655,1,-0.9900411321285674
1,14:31:31.081807,14:31:33.421110,1,-1.0389251127760986
1,14:31:31.081807,14:31:33.585830,1,-1.0836889169430606
1,14:31:31.081807,14:31:33.748493,1,-1.1240746948067795
1,14:31:31.081807,14:31:33.889736,1,-1.1598757754427993
1,14:31:31.081807,14:31:34.040740,1,-1.1910716955904945
1,14:31:31.081807,14:31:34.194531,1,-1.2176020699972128
1,14:31:31.081807,14:31:34.335213,1,-1.2395119522057598
1,14:31:31.081807,14:31:34.477170,1,-1.2569203807276779
1,14:31:31.081807,14:31:34.619898,1,-1.2699269725279976
1,14:31:31.081807,14:31:34.766154,1,-1.2787548468211298
1,14:31:31.081807,14:31:34.910354,1,-1.2835622949021683
1,14:31:31.081807,14:31:35.053489,1,-1.2845850776013776
1,14:31:31.081807,14:31:35.195418,1,-1.2820077941155148
1,14:31:31.081807,14:31:35.317332,1,-1.276086163849584
1,14:31:31.081807,14:31:35.459155,1,-1.2670236328001465
1,14:31:31.081807,14:31:35.602122,1,-1.255114269086306
1,14:31:31.081807,14:31:35.756833,1,-1.2405008586929682
1,14:31:31.081807,14:31:35.923079,1,-1.2234398068325731
1,14:31:31.081807,14:31:36.252341,1,-1.2041344837398356
1,14:31:31.081807,14:31:36.394312,1,-1.2336180779487904
1,14:31:31.081807,14:31:36.538680,1,-1.2035926929894458
1,14:31:31.081807,14:31:36.669743,1,-1.132711159300868
1,14:31:31.081807,14:31:36.833199,1,-1.1064116643848365
1,14:31:31.081807,14:31:36.965762,1,-1.0788403491033591
1,14:31:31.081807,14:31:37.161595,1,-1.0501362821333942
1,14:31:31.081807,14:31:37.333883,1,-1.0204434994751068
1,14:31:31.081807,14:31:38.143168,-1,-0.9589324594439006
1,14:31:31.081807,14:31:38.506021,-1,-0.9274378011239719
1,14:31:31.081807,14:31:38.896277,-1,-0.8956243784959952
1,14:31:31.081807,14:31:39.194248,-1,-0.8637485686478215
1,14:31:31.081807,14:31:39.524384,-1,-0.8319547788287309
1,14:31:31.081807,14:31:39.810821,-1,-0.8004773786495605
1,14:31:31.081807,14:31:40.055567,-1,-0.7695137664324534
1,14:31:31.081807,14:31:40.314738,-1,-0.7393236223656174
1,14:31:31.081807,14:31:40.527181,-1,-0.7101323351458007
1,14:31:31.081807,14:31:40.698047,-1,-0.6822697720358519
1,14:31:31.081807,14:31:40.848009,-1,0.09576290645068866
1,14:31:31.081807,14:31:40.988087,-1,2.669077426389504
