Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:32:32.894592,10:32:34.893600,-1,1.0
1,10:32:32.894592,10:32:35.834591,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:32:36.183905,10:32:37.489213,-1,1.0
2,10:32:36.183905,10:32:38.419031,-1,1.0
2,10:32:36.183905,10:32:39.176430,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,10:32:39.542006,10:32:40.538852,1,1.0
3,10:32:39.542006,10:32:41.180609,1,1.0
3,10:32:39.542006,10:32:41.456441,-1,1.0
3,10:32:39.542006,10:32:42.000775,-1,1.0
3,10:32:39.542006,10:32:42.586878,-1,1.0
