Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,20:32:00.893514,20:32:03.101094,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,20:32:03.459692,20:32:04.538146,1,1.0
3,20:32:03.459692,20:32:05.041297,1,1.0
3,20:32:03.459692,20:32:05.360135,-1,1.0
3,20:32:03.459692,20:32:05.689171,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,20:32:06.383044,20:32:07.190315,-1,1.0
4,20:32:06.383044,20:32:07.505319,1,1.0
4,20:32:06.383044,20:32:07.830065,1,1.0
4,20:32:06.383044,20:32:08.134711,1,1.0
4,20:32:06.383044,20:32:08.416469,-1,1.0
4,20:32:06.383044,20:32:08.753294,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,20:32:08.784109,20:32:09.651291,1,1.0
5,20:32:08.784109,20:32:10.035095,1,1.0
5,20:32:08.784109,20:32:10.338181,-1,1.0
5,20:32:08.784109,20:32:10.611434,-1,1.0
5,20:32:08.784109,20:32:10.847544,-1,1.0
5,20:32:08.784109,20:32:11.063025,-1,1.0
5,20:32:08.784109,20:32:11.355876,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,20:32:11.394431,20:32:12.348498,1,1.0
6,20:32:11.394431,20:32:12.685594,1,1.0
6,20:32:11.394431,20:32:13.022088,1,1.0
6,20:32:11.394431,20:32:13.278963,-1,1.0
6,20:32:11.394431,20:32:13.658284,-1,1.0
6,20:32:11.394431,20:32:14.034277,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,20:32:14.047419,20:32:14.900241,-1,1.0
7,20:32:14.047419,20:32:15.349803,-1,1.0
7,20:32:14.047419,20:32:16.335522,-1,1.0
7,20:32:14.047419,20:32:16.671005,-1,1.0
7,20:32:14.047419,20:32:16.999286,-1,1.0
7,20:32:14.047419,20:32:17.305601,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,20:32:17.327584,20:32:18.082682,-1,1.0
8,20:32:17.327584,20:32:18.457560,-1,1.0
8,20:32:17.327584,20:32:18.773596,-1,1.0
8,20:32:17.327584,20:32:19.035794,-1,1.0
8,20:32:17.327584,20:32:19.414494,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,20:32:19.432143,20:32:20.332217,-1,1.0
9,20:32:19.432143,20:32:20.670350,-1,1.0
9,20:32:19.432143,20:32:20.956089,-1,1.0
9,20:32:19.432143,20:32:21.198789,-1,1.0
9,20:32:19.432143,20:32:21.496718,-1,1.0
9,20:32:19.432143,20:32:21.773508,-1,1.0
9,20:32:19.432143,20:32:22.447014,-1,1.0
9,20:32:19.432143,20:32:22.824355,-1,1.0
9,20:32:19.432143,20:32:23.084059,-1,1.0
9,20:32:19.432143,20:32:23.365530,-1,1.0
9,20:32:19.432143,20:32:23.595170,-1,1.0
9,20:32:19.432143,20:32:23.897932,-1,1.0
9,20:32:19.432143,20:32:24.148868,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,20:32:24.166267,20:32:25.004015,-1,1.0
10,20:32:24.166267,20:32:25.468692,1,1.0
10,20:32:24.166267,20:32:25.919065,1,1.0
10,20:32:24.166267,20:32:26.247656,-1,1.0
10,20:32:24.166267,20:32:26.752501,1,1.0
10,20:32:24.166267,20:32:27.130223,-1,1.0
10,20:32:24.166267,20:32:27.424296,-1,1.0
10,20:32:24.166267,20:32:27.708869,-1,1.0
10,20:32:24.166267,20:32:27.911001,-1,1.0
10,20:32:24.166267,20:32:28.185553,-1,1.0
10,20:32:24.166267,20:32:28.446689,-1,1.0
10,20:32:24.166267,20:32:28.711520,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,20:32:28.725544,20:32:30.032702,1,1.0
11,20:32:28.725544,20:32:30.409493,1,1.0
11,20:32:28.725544,20:32:30.545172,-1,1.0
11,20:32:28.725544,20:32:30.766042,-1,1.0
11,20:32:28.725544,20:32:31.008764,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,20:32:31.033115,20:32:31.948911,-1,1.0
12,20:32:31.033115,20:32:32.263354,1,1.0
12,20:32:31.033115,20:32:32.603107,1,1.0
12,20:32:31.033115,20:32:32.876389,1,1.0
12,20:32:31.033115,20:32:33.119219,1,1.0
12,20:32:31.033115,20:32:33.448107,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,20:32:33.798693,20:32:34.629377,-1,1.0
13,20:32:33.798693,20:32:35.017516,-1,1.0
13,20:32:33.798693,20:32:35.345564,-1,1.0
13,20:32:33.798693,20:32:35.630830,1,1.0
13,20:32:33.798693,20:32:35.886207,1,1.0
13,20:32:33.798693,20:32:36.139653,1,1.0
13,20:32:33.798693,20:32:36.443969,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,20:32:36.795124,20:32:38.827776,1,1.0
14,20:32:36.795124,20:32:39.077580,-1,1.0
