Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:12:12.393031,00:12:18.905912,1,-1.0227434775338224
1,00:12:12.393031,00:12:19.255932,1,-0.992362051347186
1,00:12:12.393031,00:12:19.555466,1,-0.9607258726387613
1,00:12:12.393031,00:12:19.899740,1,-0.9280022996877619
1,00:12:12.393031,00:12:20.162020,1,-0.8942590274137956
1,00:12:12.393031,00:12:20.472245,1,-0.8597167977538049
1,00:12:12.393031,00:12:20.763580,1,-0.8244416801066166
1,00:12:12.393031,00:12:21.073690,1,-0.7886203054308965
1,00:12:12.393031,00:12:21.345703,1,-0.7523215513955677
1,00:12:12.393031,00:12:21.584790,1,-0.7157866505309585
1,00:12:12.393031,00:12:21.748562,1,-0.6790488279586668
1,00:12:12.393031,00:12:21.913583,1,-0.6423542273327882
1,00:12:12.393031,00:12:22.098653,1,-0.6750210995906514
1,00:12:12.393031,00:12:22.261393,1,-0.5670308042793977
1,00:12:12.393031,00:12:22.407511,1,-0.5314948128323067
1,00:12:12.393031,00:12:22.627594,1,-0.49671869672945945
1,00:12:12.393031,00:12:22.814819,1,-0.46297276415404554
1,00:12:12.393031,00:12:22.993596,1,-0.4305783176289424
1,00:12:12.393031,00:12:23.147576,1,-0.3998288651231974
1,00:12:12.393031,00:12:23.304106,1,-0.3711866492994318
1,00:12:12.393031,00:12:23.466951,1,-0.34509677745415956
1,00:12:12.393031,00:12:23.631606,1,-0.3221628828410985
1,00:12:12.393031,00:12:23.788453,1,-0.3031310846812971
1,00:12:12.393031,00:12:23.953543,1,-0.28881569601415435
1,00:12:12.393031,00:12:24.127548,1,-0.28030424881751514
1,00:12:12.393031,00:12:24.292651,1,-0.27897368524074295
1,00:12:12.393031,00:12:24.466271,1,-0.2864796082902501
1,00:12:12.393031,00:12:24.640653,1,-0.3049458812683383
1,00:12:12.393031,00:12:24.837217,1,-0.33705701881100936
1,00:12:12.393031,00:12:25.003194,1,-0.3862215559701099
1,00:12:12.393031,00:12:25.178652,1,-0.45665694000621215
1,00:12:12.393031,00:12:25.362249,1,-0.5537514492312141
1,00:12:12.393031,00:12:25.528158,1,-0.6840336468940222
1,00:12:12.393031,00:12:25.723782,1,-0.8553087634886083
1,00:12:12.393031,00:12:26.022509,1,-1.0762900725755173
1,00:12:12.393031,00:12:26.323690,1,-1.3558557282862296
1,00:12:12.393031,00:12:26.614086,1,-1.7012610728938569
1,00:12:12.393031,00:12:26.883160,1,-2.1155064374253243
1,00:12:12.393031,00:12:27.817104,1,6.876987149332081
1,00:12:12.393031,00:12:28.243912,1,-100
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:12:28.299302,00:12:30.938146,-1,-0.515819593115026
2,00:12:28.299302,00:12:31.144131,-1,-0.5349637854733089
2,00:12:28.299302,00:12:31.444185,-1,-0.5568025369877887
2,00:12:28.299302,00:12:31.766923,-1,-0.5812379727111932
2,00:12:28.299302,00:12:31.928728,-1,-0.608167993508971
2,00:12:28.299302,00:12:32.103427,-1,-0.6374074851254363
2,00:12:28.299302,00:12:32.267596,-1,-0.6687586332243995
2,00:12:28.299302,00:12:32.443729,-1,-0.7019873055754999
2,00:12:28.299302,00:12:32.600163,-1,-0.7368459011792652
2,00:12:28.299302,00:12:32.761957,-1,-0.7730158977847452
2,00:12:28.299302,00:12:32.924386,-1,-1.7508617804172946
2,00:12:28.299302,00:12:33.090517,-1,-2.6449750878901623
