Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:26:48.074061,12:26:49.529380,1,1.0
1,12:26:48.074061,12:26:49.857171,-1,1.0
1,12:26:48.074061,12:26:50.016538,-1,1.0
1,12:26:48.074061,12:26:50.157556,-1,1.0
1,12:26:48.074061,12:26:50.295778,-1,1.0
1,12:26:48.074061,12:26:50.433739,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:26:50.804646,12:26:52.438791,-1,1.0
2,12:26:50.804646,12:26:52.590102,-1,1.0
2,12:26:50.804646,12:26:53.386348,1,1.0
2,12:26:50.804646,12:26:53.959837,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:26:54.317721,12:26:55.625165,-1,1.0
3,12:26:54.317721,12:26:56.002148,-1,1.0
3,12:26:54.317721,12:26:56.596382,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:26:56.621189,12:26:57.819096,1,1.0
4,12:26:56.621189,12:26:58.354680,-1,1.0
4,12:26:56.621189,12:26:58.535267,-1,1.0
4,12:26:56.621189,12:26:58.673962,-1,1.0
4,12:26:56.621189,12:26:59.056143,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,12:26:59.077777,12:27:00.143250,-1,1.0
5,12:26:59.077777,12:27:00.518871,1,1.0
5,12:26:59.077777,12:27:00.685313,1,1.0
5,12:26:59.077777,12:27:00.856944,1,1.0
5,12:26:59.077777,12:27:01.235437,1,1.0
5,12:26:59.077777,12:27:01.488450,-1,1.0
5,12:26:59.077777,12:27:02.008631,1,1.0
5,12:26:59.077777,12:27:02.189336,1,1.0
5,12:26:59.077777,12:27:02.592553,1,1.0
5,12:26:59.077777,12:27:02.899945,-1,1.0
5,12:26:59.077777,12:27:03.117576,-1,1.0
5,12:26:59.077777,12:27:03.255402,-1,1.0
5,12:26:59.077777,12:27:03.405517,-1,1.0
5,12:26:59.077777,12:27:03.544903,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,12:27:03.590494,12:27:04.742685,1,1.0
6,12:27:03.590494,12:27:05.064954,1,1.0
6,12:27:03.590494,12:27:05.351180,1,1.0
6,12:27:03.590494,12:27:05.638548,1,1.0
6,12:27:03.590494,12:27:05.893255,1,1.0
6,12:27:03.590494,12:27:06.168440,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,12:27:06.205987,12:27:07.753846,1,1.0
7,12:27:06.205987,12:27:08.039926,-1,1.0
7,12:27:06.205987,12:27:08.618726,-1,1.0
7,12:27:06.205987,12:27:09.190133,-1,1.0
7,12:27:06.205987,12:27:09.329955,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,12:27:09.369350,12:27:10.621043,1,1.0
8,12:27:09.369350,12:27:10.997327,-1,1.0
8,12:27:09.369350,12:27:11.166316,-1,1.0
8,12:27:09.369350,12:27:11.305286,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,12:27:11.680929,12:27:12.658558,-1,1.0
9,12:27:11.680929,12:27:12.972605,1,1.0
9,12:27:11.680929,12:27:13.182534,1,1.0
9,12:27:11.680929,12:27:13.352644,1,1.0
9,12:27:11.680929,12:27:13.544690,1,1.0
9,12:27:11.680929,12:27:13.723769,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,12:27:14.088846,12:27:16.643143,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,12:27:16.683828,12:27:17.737671,1,1.0
11,12:27:16.683828,12:27:18.344963,1,1.0
11,12:27:16.683828,12:27:18.905179,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,12:27:19.273188,12:27:20.317616,-1,1.0
12,12:27:19.273188,12:27:20.691634,-1,1.0
12,12:27:19.273188,12:27:20.809585,-1,1.0
12,12:27:19.273188,12:27:21.085369,-1,1.0
12,12:27:19.273188,12:27:21.256400,-1,1.0
12,12:27:19.273188,12:27:21.417679,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,12:27:21.448942,12:27:22.448061,1,1.0
13,12:27:21.448942,12:27:22.742357,1,1.0
13,12:27:21.448942,12:27:22.910216,1,1.0
13,12:27:21.448942,12:27:23.197950,1,1.0
13,12:27:21.448942,12:27:23.359531,1,1.0
13,12:27:21.448942,12:27:23.591845,-1,1.0
13,12:27:21.448942,12:27:23.750810,-1,1.0
13,12:27:21.448942,12:27:23.899609,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,12:27:23.934062,12:27:24.642116,-1,1.0
14,12:27:23.934062,12:27:24.808420,-1,1.0
14,12:27:23.934062,12:27:24.965273,-1,1.0
14,12:27:23.934062,12:27:25.133006,-1,1.0
14,12:27:23.934062,12:27:25.415220,1,1.0
14,12:27:23.934062,12:27:25.607211,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
15,12:27:25.648926,12:27:27.156993,1,1.0
15,12:27:25.648926,12:27:27.387391,-1,1.0
15,12:27:25.648926,12:27:27.580863,-1,1.0
15,12:27:25.648926,12:27:27.782222,-1,1.0
