Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:25:10.417533,00:25:20.286941,1,-1.734822049506846
1,00:25:10.417533,00:25:20.694627,1,-1.7146371398273743
1,00:25:10.417533,00:25:21.035853,1,-1.6883689056224966
1,00:25:10.417533,00:25:21.387684,1,-1.6571404490461532
1,00:25:10.417533,00:25:21.657596,1,-1.62189868906205
1,00:25:10.417533,00:25:22.003225,1,-1.5833010199880277
1,00:25:10.417533,00:25:26.675366,-1,-1.1502347003570037
1,00:25:10.417533,00:25:40.425136,1,0.24918595006246846
1,00:25:10.417533,00:25:40.743111,1,0.29332550726698514
1,00:25:10.417533,00:25:41.176034,1,0.33420920276159904
1,00:25:10.417533,00:25:41.613707,1,0.3708023209465523
1,00:25:10.417533,00:25:42.086580,1,0.40163692546488505
1,00:25:10.417533,00:25:42.542093,1,0.42461750401412246
1,00:25:10.417533,00:25:43.019808,1,0.43660026029598953
1,00:25:10.417533,00:25:43.438724,1,0.43292795076118296
1,00:25:10.417533,00:25:43.846135,1,0.4062064992673129
1,00:25:10.417533,00:25:44.329160,1,0.3446135814961906
1,00:25:10.417533,00:25:44.795010,1,0.2288858145254835
1,00:25:10.417533,00:25:45.264584,1,0.027070107479289618
1,00:25:10.417533,00:25:45.765738,1,-0.3119420594020994
1,00:25:10.417533,00:25:46.249041,1,-0.8604343246329904
1,00:25:10.417533,00:25:46.706970,1,-1.685190950592812
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:25:47.822379,00:25:51.405412,1,-1.2000277616147628
2,00:25:47.822379,00:25:51.821614,1,-1.190972498466408
2,00:25:47.822379,00:25:52.216987,1,-1.1793971110829489
2,00:25:47.822379,00:25:52.647182,1,-1.1654316168354342
2,00:25:47.822379,00:25:53.352376,-1,-1.1309797585931847
2,00:25:47.822379,00:25:53.805675,-1,-1.1108198454942908
2,00:25:47.822379,00:25:54.229236,-1,-1.0889157184623457
2,00:25:47.822379,00:25:54.656984,-1,-1.065404604864483
2,00:25:47.822379,00:25:55.074351,-1,-1.0404503394790368
2,00:25:47.822379,00:25:55.481463,-1,-1.0141723760527839
2,00:25:47.822379,00:25:55.771292,-1,-0.9867393570560239
2,00:25:47.822379,00:25:55.926313,-1,-0.9582920054984356
2,00:25:47.822379,00:25:56.082572,-1,-0.9289948191483859
2,00:25:47.822379,00:25:56.229294,-1,-0.898934318544093
2,00:25:47.822379,00:25:56.402588,-1,-1.8198911521824062
2,00:25:47.822379,00:25:58.536965,-1,1.242140333574764
