Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,22:00:32.258859,22:00:35.842576,1,-1.4188988822360784
1,22:00:32.258859,22:00:36.132834,1,-1.3829119139392674
1,22:00:32.258859,22:00:36.460674,1,-1.3444905535457679
1,22:00:32.258859,22:00:36.784051,1,-1.3039708123850744
1,22:00:32.258859,22:00:37.096376,1,-1.2616361330219945
1,22:00:32.258859,22:00:37.382815,1,-1.2176822765802058
1,22:00:32.258859,22:00:37.697375,1,-1.172363811324459
1,22:00:32.258859,22:00:38.003099,1,-1.125789869465848
1,22:00:32.258859,22:00:38.329270,1,-1.0781786564049014
1,22:00:32.258859,22:00:38.752384,1,-1.0295968647338611
1,22:00:32.258859,22:00:39.379324,1,-0.9802099758716167
1,22:00:32.258859,22:00:39.883178,-1,-0.9300988608188447
1,22:00:32.258859,22:00:40.225794,-1,-0.8793507804714409
1,22:00:32.258859,22:00:40.516144,-1,-0.8280703755900163
1,22:00:32.258859,22:00:40.809384,-1,-0.7763348130398242
1,22:00:32.258859,22:00:41.043506,-1,-0.724170052449125
1,22:00:32.258859,22:00:41.304440,-1,-0.6716875921678707
1,22:00:32.258859,22:00:41.547195,-1,-0.618914683771095
1,22:00:32.258859,22:00:41.873713,-1,0.06663570308268277
1,22:00:32.258859,22:00:42.134408,-1,3.243787372890279
