Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:31:33.573408,10:31:36.079072,1,1.0
1,10:31:33.573408,10:31:37.335557,-1,1.0
1,10:31:33.573408,10:31:38.837605,1,1.0
1,10:31:33.573408,10:31:39.325982,1,1.0
1,10:31:33.573408,10:31:40.314165,1,1.0
1,10:31:33.573408,10:31:42.618599,-1,1.0
1,10:31:33.573408,10:31:51.523881,1,1.0
1,10:31:33.573408,10:31:53.468096,-1,1.0
1,10:31:33.573408,10:31:54.936452,1,1.0
1,10:31:33.573408,10:31:56.335747,1,1.0
1,10:31:33.573408,10:31:57.319078,1,1.0
1,10:31:33.573408,10:32:04.233631,1,1.0
1,10:31:33.573408,10:32:05.326507,1,1.0
1,10:31:33.573408,10:32:06.919548,1,1.0
1,10:31:33.573408,10:32:08.667849,1,1.0
1,10:31:33.573408,10:32:10.211161,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,10:32:12.125442,10:32:17.220314,1,1.0
2,10:32:12.125442,10:32:18.209393,1,1.0
2,10:32:12.125442,10:32:18.826478,1,1.0
2,10:32:12.125442,10:32:19.932973,-1,1.0
2,10:32:12.125442,10:32:20.285220,1,1.0
2,10:32:12.125442,10:32:21.007268,-1,1.0
2,10:32:12.125442,10:32:21.545218,1,1.0
2,10:32:12.125442,10:32:22.431775,1,1.0
2,10:32:12.125442,10:32:23.581361,1,1.0
2,10:32:12.125442,10:32:26.803929,1,1.0
2,10:32:12.125442,10:32:29.027071,1,1.0
2,10:32:12.125442,10:32:30.318269,1,1.0
2,10:32:12.125442,10:32:32.630496,1,1.0
2,10:32:12.125442,10:32:33.205755,-1,1.0
2,10:32:12.125442,10:32:33.874665,1,1.0
2,10:32:12.125442,10:32:37.467904,-1,1.0
2,10:32:12.125442,10:32:38.230717,1,1.0
2,10:32:12.125442,10:32:39.071060,1,1.0
2,10:32:12.125442,10:32:40.061894,1,1.0
2,10:32:12.125442,10:32:40.810573,-1,1.0
2,10:32:12.125442,10:32:41.519786,1,1.0
2,10:32:12.125442,10:32:48.870696,1,1.0
2,10:32:12.125442,10:32:49.774528,1,1.0
2,10:32:12.125442,10:32:52.114395,1,1.0
2,10:32:12.125442,10:32:54.611555,1,1.0
2,10:32:12.125442,10:32:55.907332,1,1.0
2,10:32:12.125442,10:32:58.155946,1,1.0
2,10:32:12.125442,10:33:01.343402,1,1.0
2,10:32:12.125442,10:33:02.925319,1,1.0
2,10:32:12.125442,10:33:04.548061,1,1.0
2,10:32:12.125442,10:33:06.769258,1,1.0
2,10:32:12.125442,10:33:08.052520,1,1.0
2,10:32:12.125442,10:33:09.514848,1,1.0
2,10:32:12.125442,10:33:11.139491,1,1.0
2,10:32:12.125442,10:33:12.719620,1,1.0
2,10:32:12.125442,10:33:14.117211,1,1.0
2,10:32:12.125442,10:33:15.460252,1,1.0
2,10:32:12.125442,10:33:16.120390,1,1.0
2,10:32:12.125442,10:33:19.540557,1,1.0
2,10:32:12.125442,10:33:21.777518,1,1.0
2,10:32:12.125442,10:33:22.412944,1,1.0
2,10:32:12.125442,10:33:22.975872,-1,1.0
2,10:32:12.125442,10:33:23.713456,1,1.0
2,10:32:12.125442,10:33:24.383832,1,1.0
2,10:32:12.125442,10:33:25.185645,1,1.0
2,10:32:12.125442,10:33:25.979016,1,1.0
2,10:32:12.125442,10:33:26.552793,1,1.0
2,10:32:12.125442,10:33:26.979486,1,1.0
2,10:32:12.125442,10:33:27.372888,1,1.0
2,10:32:12.125442,10:33:27.730583,1,1.0
2,10:32:12.125442,10:33:28.092602,1,1.0
2,10:32:12.125442,10:33:28.455451,1,1.0
2,10:32:12.125442,10:33:28.782459,1,1.0
2,10:32:12.125442,10:33:31.992280,-1,1.0
2,10:32:12.125442,10:33:32.260146,-1,1.0
2,10:32:12.125442,10:33:32.518181,-1,1.0
2,10:32:12.125442,10:33:32.801882,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,10:33:32.818462,10:33:42.543701,1,1.0
3,10:33:32.818462,10:33:43.578945,1,1.0
3,10:33:32.818462,10:33:44.238007,1,1.0
3,10:33:32.818462,10:33:47.240042,-1,1.0
3,10:33:32.818462,10:33:48.100299,-1,1.0
3,10:33:32.818462,10:33:49.113837,1,1.0
3,10:33:32.818462,10:33:49.801053,1,1.0
3,10:33:32.818462,10:33:51.072763,1,1.0
3,10:33:32.818462,10:33:55.879465,1,1.0
3,10:33:32.818462,10:33:59.953421,1,1.0
3,10:33:32.818462,10:34:00.763674,1,1.0
3,10:33:32.818462,10:34:01.428490,1,1.0
3,10:33:32.818462,10:34:01.980266,-1,1.0
3,10:33:32.818462,10:34:02.603282,1,1.0
3,10:33:32.818462,10:34:03.483368,1,1.0
3,10:33:32.818462,10:34:04.557344,1,1.0
3,10:33:32.818462,10:34:08.654394,1,1.0
3,10:33:32.818462,10:34:09.394882,-1,1.0
3,10:33:32.818462,10:34:10.155527,1,1.0
3,10:33:32.818462,10:34:11.324165,1,1.0
3,10:33:32.818462,10:34:13.407917,1,1.0
3,10:33:32.818462,10:34:14.857629,-1,1.0
3,10:33:32.818462,10:34:15.497836,1,1.0
3,10:33:32.818462,10:34:15.979284,1,1.0
3,10:33:32.818462,10:34:16.387537,1,1.0
3,10:33:32.818462,10:34:16.808652,1,1.0
3,10:33:32.818462,10:34:17.206827,1,1.0
3,10:33:32.818462,10:34:17.631054,1,1.0
3,10:33:32.818462,10:34:18.052189,1,1.0
3,10:33:32.818462,10:34:18.394772,1,1.0
3,10:33:32.818462,10:34:18.968778,1,1.0
3,10:33:32.818462,10:34:19.740007,-1,1.0
3,10:33:32.818462,10:34:20.474862,1,1.0
3,10:33:32.818462,10:34:23.538639,-1,1.0
3,10:33:32.818462,10:34:24.583345,1,1.0
3,10:33:32.818462,10:34:25.031817,1,1.0
3,10:33:32.818462,10:34:25.466518,1,1.0
3,10:33:32.818462,10:34:26.546435,-1,1.0
3,10:33:32.818462,10:34:28.563896,-1,1.0
3,10:33:32.818462,10:34:30.688961,1,1.0
3,10:33:32.818462,10:34:31.082917,-1,1.0
3,10:33:32.818462,10:34:31.691859,1,1.0
3,10:33:32.818462,10:34:32.010883,-1,1.0
3,10:33:32.818462,10:34:32.541529,1,1.0
3,10:33:32.818462,10:34:32.891491,1,1.0
3,10:33:32.818462,10:34:33.349779,1,1.0
3,10:33:32.818462,10:34:34.992316,1,1.0
3,10:33:32.818462,10:34:35.376812,1,1.0
3,10:33:32.818462,10:34:35.973825,-1,1.0
3,10:33:32.818462,10:34:36.489284,1,1.0
3,10:33:32.818462,10:34:37.006271,1,1.0
3,10:33:32.818462,10:34:37.560366,1,1.0
3,10:33:32.818462,10:34:45.378099,1,1.0
3,10:33:32.818462,10:34:59.115678,1,1.0
3,10:33:32.818462,10:35:01.357038,1,1.0
3,10:33:32.818462,10:35:02.091514,1,1.0
3,10:33:32.818462,10:35:02.791345,1,1.0
3,10:33:32.818462,10:35:03.416229,1,1.0
3,10:33:32.818462,10:35:04.067816,1,1.0
3,10:33:32.818462,10:35:04.910935,-1,1.0
3,10:33:32.818462,10:35:05.400723,-1,1.0
3,10:33:32.818462,10:35:05.822622,1,1.0
3,10:33:32.818462,10:35:06.250056,1,1.0
3,10:33:32.818462,10:35:06.666963,1,1.0
3,10:33:32.818462,10:35:06.980907,1,1.0
3,10:33:32.818462,10:35:07.281217,1,1.0
3,10:33:32.818462,10:35:07.619649,1,1.0
3,10:33:32.818462,10:35:07.965299,1,1.0
3,10:33:32.818462,10:35:08.280279,1,1.0
3,10:33:32.818462,10:35:08.581737,1,1.0
3,10:33:32.818462,10:35:08.937136,1,1.0
3,10:33:32.818462,10:35:09.281912,1,1.0
3,10:33:32.818462,10:35:09.698181,1,1.0
3,10:33:32.818462,10:35:11.639306,-1,1.0
3,10:33:32.818462,10:35:14.273796,1,1.0
3,10:33:32.818462,10:35:15.016600,1,1.0
3,10:33:32.818462,10:35:17.130458,-1,1.0
3,10:33:32.818462,10:35:18.131011,1,1.0
3,10:33:32.818462,10:35:18.865162,-1,1.0
3,10:33:32.818462,10:35:22.869242,1,1.0
3,10:33:32.818462,10:35:23.995558,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
