Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,10:46:32.871382,10:46:36.568025,-1,1.0
1,10:46:32.871382,10:46:37.067735,1,1.0
1,10:46:32.871382,10:46:37.724240,1,1.0
1,10:46:32.871382,10:46:38.205390,1,1.0
1,10:46:32.871382,10:46:38.697893,1,1.0
1,10:46:32.871382,10:46:39.302085,1,1.0
1,10:46:32.871382,10:46:39.801544,1,1.0
1,10:46:32.871382,10:46:40.497712,-1,1.0
1,10:46:32.871382,10:46:42.237808,-1,1.0
1,10:46:32.871382,10:46:43.169587,-1,1.0
1,10:46:32.871382,10:46:43.826548,1,1.0
1,10:46:32.871382,10:46:44.374734,1,1.0
1,10:46:32.871382,10:46:44.870285,1,1.0
1,10:46:32.871382,10:46:45.378379,1,1.0
1,10:46:32.871382,10:46:45.930073,1,1.0
1,10:46:32.871382,10:46:46.439952,1,1.0
1,10:46:32.871382,10:46:46.945969,1,1.0
1,10:46:32.871382,10:46:47.511541,1,1.0
1,10:46:32.871382,10:46:47.945137,1,1.0
1,10:46:32.871382,10:46:48.446206,1,1.0
1,10:46:32.871382,10:46:52.092586,-1,1.0
1,10:46:32.871382,10:46:55.498426,1,1.0
1,10:46:32.871382,10:46:56.197719,-1,1.0
1,10:46:32.871382,10:46:56.795969,1,1.0
1,10:46:32.871382,10:47:39.477553,1,1.0
1,10:46:32.871382,10:47:49.062815,1,1.0
1,10:46:32.871382,10:47:50.027519,1,1.0
1,10:46:32.871382,10:47:52.405679,-1,1.0
1,10:46:32.871382,10:47:52.957621,1,1.0
1,10:46:32.871382,10:47:53.415536,1,1.0
1,10:46:32.871382,10:47:53.788843,1,1.0
1,10:46:32.871382,10:47:54.139711,1,1.0
1,10:46:32.871382,10:47:54.499074,1,1.0
1,10:46:32.871382,10:47:54.789667,1,1.0
1,10:46:32.871382,10:47:55.150121,1,1.0
1,10:46:32.871382,10:47:55.561552,1,1.0
1,10:46:32.871382,10:47:56.364719,-1,1.0
1,10:46:32.871382,10:47:56.897581,1,1.0
1,10:46:32.871382,10:47:57.655795,1,1.0
1,10:46:32.871382,10:47:58.312836,1,1.0
1,10:46:32.871382,10:47:59.251516,-1,1.0
1,10:46:32.871382,10:47:59.561757,1,1.0
1,10:46:32.871382,10:47:59.883448,-1,1.0
1,10:46:32.871382,10:48:00.298203,1,1.0
1,10:46:32.871382,10:48:00.745000,1,1.0
1,10:46:32.871382,10:48:02.059742,-1,1.0
1,10:46:32.871382,10:48:02.457700,1,1.0
1,10:46:32.871382,10:48:03.260495,1,1.0
1,10:46:32.871382,10:48:06.733441,-1,1.0
1,10:46:32.871382,10:48:10.731635,-1,1.0
1,10:46:32.871382,10:48:11.094241,1,1.0
1,10:46:32.871382,10:48:11.574442,1,1.0
1,10:46:32.871382,10:48:12.429745,1,1.0
1,10:46:32.871382,10:48:14.732952,1,1.0
1,10:46:32.871382,10:48:21.905867,1,1.0
1,10:46:32.871382,10:48:22.630942,-1,1.0
1,10:46:32.871382,10:48:23.029214,1,1.0
1,10:46:32.871382,10:48:25.509288,1,1.0
1,10:46:32.871382,10:48:30.272209,-1,1.0
1,10:46:32.871382,10:48:30.932555,-1,1.0
1,10:46:32.871382,10:48:31.367933,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
