Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:28:02.981597,00:28:04.973742,1,0.26893053770365327
1,00:28:02.981597,00:28:05.261266,1,0.09790902658423306
1,00:28:02.981597,00:28:05.539967,1,-0.08565529684449302
1,00:28:02.981597,00:28:05.788623,1,-0.2761995026873194
1,00:28:02.981597,00:28:06.045486,1,-0.4672795443952964
1,00:28:02.981597,00:28:06.294737,1,-0.6524302768441146
1,00:28:02.981597,00:28:06.552666,1,-0.8258112925773844
1,00:28:02.981597,00:28:06.820179,1,-0.9830781220654785
1,00:28:02.981597,00:28:07.066365,1,-1.1214520126482626
1,00:28:02.981597,00:28:07.334688,1,-1.2396533477370895
1,00:28:02.981597,00:28:07.585328,1,-1.3378193592779724
1,00:28:02.981597,00:28:07.790085,-1,-1.4168930491699427
1,00:28:02.981597,00:28:08.006641,-1,-1.4784865777054392
1,00:28:02.981597,00:28:08.257070,-1,-1.5243712388781319
1,00:28:02.981597,00:28:08.801807,1,-1.5764941968785138
1,00:28:02.981597,00:28:09.017245,1,-1.5861627092273807
1,00:28:02.981597,00:28:09.213120,1,-1.5869324426865887
1,00:28:02.981597,00:28:09.376575,1,-1.5800730047887726
1,00:28:02.981597,00:28:09.561783,1,-1.6383198798094156
1,00:28:02.981597,00:28:09.741979,1,-1.5466423456895768
1,00:28:02.981597,00:28:09.936558,1,-1.522833272231253
1,00:28:02.981597,00:28:10.153190,1,-1.4949827915575042
1,00:28:02.981597,00:28:10.381787,1,-1.463630106206125
1,00:28:02.981597,00:28:10.870245,1,-1.3923794388980184
1,00:28:02.981597,00:28:11.120631,1,-1.3532177722657934
1,00:28:02.981597,00:28:11.360178,1,-1.3121428516761284
1,00:28:02.981597,00:28:11.609015,1,-1.2694022324189689
1,00:28:02.981597,00:28:11.888107,-1,-1.2252035032012998
1,00:28:02.981597,00:28:12.166432,-1,-1.1797651753091145
1,00:28:02.981597,00:28:12.491714,-1,-1.1332454209045864
1,00:28:02.981597,00:28:12.772181,-1,-1.0857648776455164
1,00:28:02.981597,00:28:13.010438,-1,-1.0375233432131665
1,00:28:02.981597,00:28:13.261083,-1,-0.9885836365169212
1,00:28:02.981597,00:28:13.490484,-1,-0.9390336454343924
1,00:28:02.981597,00:28:13.729654,-1,-0.8890457148055191
1,00:28:02.981597,00:28:13.979499,-1,-0.8386345240963919
1,00:28:02.981597,00:28:14.207756,-1,-1.333235194587984
1,00:28:02.981597,00:28:14.448725,-1,4.605347142870852
