Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:17:43.038981,12:17:45.471066,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:17:45.828863,12:17:47.646913,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:17:51.445337,12:17:53.549124,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,12:17:54.627366,12:17:55.007573,-1,1.0
5,12:17:54.627366,12:17:55.151436,-1,1.0
5,12:17:54.627366,12:17:55.388422,-1,1.0
5,12:17:54.627366,12:17:55.657816,1,1.0
5,12:17:54.627366,12:17:55.797607,1,1.0
5,12:17:54.627366,12:17:55.969975,1,1.0
5,12:17:54.627366,12:17:56.099330,1,1.0
5,12:17:54.627366,12:17:56.209897,1,1.0
5,12:17:54.627366,12:17:57.456734,-1,1.0
5,12:17:54.627366,12:17:57.557948,-1,1.0
5,12:17:54.627366,12:17:57.939550,-1,1.0
5,12:17:54.627366,12:17:58.046336,-1,1.0
5,12:17:54.627366,12:17:58.167863,-1,1.0
5,12:17:54.627366,12:17:58.300358,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,12:17:58.357867,12:17:59.979685,1,1.0
6,12:17:58.357867,12:18:00.125264,1,1.0
6,12:17:58.357867,12:18:00.289319,-1,1.0
6,12:17:58.357867,12:18:00.454508,-1,1.0
6,12:17:58.357867,12:18:00.586025,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,12:18:00.625407,12:18:02.347251,1,1.0
7,12:18:00.625407,12:18:02.575792,1,1.0
7,12:18:00.625407,12:18:02.725870,1,1.0
7,12:18:00.625407,12:18:03.105909,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,12:18:03.138356,12:18:05.533344,1,1.0
8,12:18:03.138356,12:18:05.673907,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,12:18:06.031614,12:18:07.976089,-1,1.0
9,12:18:06.031614,12:18:08.131536,-1,1.0
9,12:18:06.031614,12:18:08.309211,-1,1.0
9,12:18:06.031614,12:18:08.480751,-1,1.0
9,12:18:06.031614,12:18:08.700223,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,12:18:08.759109,12:18:10.333045,-1,1.0
10,12:18:08.759109,12:18:10.497146,-1,1.0
10,12:18:08.759109,12:18:10.639349,-1,1.0
10,12:18:08.759109,12:18:10.729367,-1,1.0
10,12:18:08.759109,12:18:10.893153,-1,1.0
10,12:18:08.759109,12:18:10.964309,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,12:18:10.996902,12:18:12.386933,-1,1.0
11,12:18:10.996902,12:18:12.804007,-1,1.0
11,12:18:10.996902,12:18:13.124743,-1,1.0
11,12:18:10.996902,12:18:13.286642,-1,1.0
11,12:18:10.996902,12:18:13.452003,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,12:18:13.486510,12:18:15.154954,-1,1.0
12,12:18:13.486510,12:18:15.318335,-1,1.0
12,12:18:13.486510,12:18:15.496761,-1,1.0
12,12:18:13.486510,12:18:15.654994,-1,1.0
12,12:18:13.486510,12:18:16.796555,-1,1.0
12,12:18:13.486510,12:18:16.955521,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,12:18:16.994333,12:18:18.488643,-1,1.0
13,12:18:16.994333,12:18:18.810913,-1,1.0
13,12:18:16.994333,12:18:19.081497,-1,1.0
13,12:18:16.994333,12:18:19.237537,-1,1.0
13,12:18:16.994333,12:18:19.493156,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,12:18:19.556481,12:18:20.849408,-1,1.0
14,12:18:19.556481,12:18:21.064832,-1,1.0
14,12:18:19.556481,12:18:21.228751,-1,1.0
14,12:18:19.556481,12:18:21.384348,-1,1.0
14,12:18:19.556481,12:18:21.545921,-1,1.0
14,12:18:19.556481,12:18:21.891579,-1,1.0
14,12:18:19.556481,12:18:22.299109,-1,1.0
14,12:18:19.556481,12:18:22.798810,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
15,12:18:22.837779,12:18:23.554544,-1,1.0
15,12:18:22.837779,12:18:23.834140,-1,1.0
15,12:18:22.837779,12:18:24.049011,-1,1.0
15,12:18:22.837779,12:18:24.255933,-1,1.0
15,12:18:22.837779,12:18:24.431728,-1,1.0
15,12:18:22.837779,12:18:24.605775,-1,1.0
15,12:18:22.837779,12:18:24.769227,-1,1.0
15,12:18:22.837779,12:18:24.920303,-1,1.0
15,12:18:22.837779,12:18:25.086292,-1,1.0
15,12:18:22.837779,12:18:25.230209,-1,1.0
15,12:18:22.837779,12:18:25.395148,-1,1.0
15,12:18:22.837779,12:18:25.537367,-1,1.0
15,12:18:22.837779,12:18:25.693239,-1,1.0
15,12:18:22.837779,12:18:25.850163,-1,1.0
15,12:18:22.837779,12:18:26.012421,-1,1.0
15,12:18:22.837779,12:18:26.154943,-1,1.0
15,12:18:22.837779,12:18:26.308826,-1,1.0
15,12:18:22.837779,12:18:26.460558,-1,1.0
15,12:18:22.837779,12:18:26.617889,-1,1.0
15,12:18:22.837779,12:18:26.717962,-1,1.0
15,12:18:22.837779,12:18:27.039551,-1,1.0
15,12:18:22.837779,12:18:27.236152,-1,1.0
15,12:18:22.837779,12:18:27.388083,-1,1.0
