Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:33:52.657277,00:33:55.222765,-1,1.0
1,00:33:52.657277,00:33:55.692784,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:33:55.735882,00:33:57.595728,1,1.0
2,00:33:55.735882,00:33:57.981635,1,1.0
2,00:33:55.735882,00:33:58.188380,1,1.0
2,00:33:55.735882,00:33:58.531812,-1,1.0
2,00:33:55.735882,00:33:58.917342,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,00:33:59.289768,00:34:00.346258,1,1.0
3,00:33:59.289768,00:34:00.631878,1,1.0
3,00:33:59.289768,00:34:00.876603,-1,1.0
3,00:33:59.289768,00:34:01.103271,-1,1.0
3,00:33:59.289768,00:34:01.267310,-1,1.0
3,00:33:59.289768,00:34:01.588572,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,00:34:01.628321,00:34:02.576366,1,1.0
4,00:34:01.628321,00:34:02.849829,1,1.0
4,00:34:01.628321,00:34:02.976210,-1,1.0
4,00:34:01.628321,00:34:03.139166,-1,1.0
4,00:34:01.628321,00:34:03.278807,-1,1.0
4,00:34:01.628321,00:34:03.451165,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,00:34:03.484238,00:34:04.283607,-1,1.0
5,00:34:03.484238,00:34:04.600149,-1,1.0
5,00:34:03.484238,00:34:05.155872,-1,1.0
5,00:34:03.484238,00:34:05.498213,1,1.0
5,00:34:03.484238,00:34:05.778075,1,1.0
5,00:34:03.484238,00:34:05.953050,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,00:34:06.668135,00:34:07.618745,1,1.0
6,00:34:06.668135,00:34:07.883908,1,1.0
6,00:34:06.668135,00:34:08.064734,1,1.0
6,00:34:06.668135,00:34:08.302579,1,1.0
6,00:34:06.668135,00:34:08.466257,1,1.0
6,00:34:06.668135,00:34:08.853525,-1,1.0
6,00:34:06.668135,00:34:09.049742,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,00:34:09.088317,00:34:09.933409,-1,1.0
7,00:34:09.088317,00:34:10.189122,-1,1.0
7,00:34:09.088317,00:34:10.340088,1,1.0
7,00:34:09.088317,00:34:10.532785,1,1.0
7,00:34:09.088317,00:34:10.708899,1,1.0
7,00:34:09.088317,00:34:10.882054,1,1.0
7,00:34:09.088317,00:34:11.060091,1,1.0
7,00:34:09.088317,00:34:11.244135,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,00:34:11.287553,00:34:11.955848,1,1.0
8,00:34:11.287553,00:34:12.282483,1,1.0
8,00:34:11.287553,00:34:12.590415,1,1.0
8,00:34:11.287553,00:34:12.814145,1,1.0
8,00:34:11.287553,00:34:13.065291,1,1.0
8,00:34:11.287553,00:34:13.300273,-1,1.0
8,00:34:11.287553,00:34:13.550808,-1,1.0
8,00:34:11.287553,00:34:13.661546,-1,1.0
8,00:34:11.287553,00:34:13.803988,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,00:34:13.837354,00:34:14.558262,1,1.0
9,00:34:13.837354,00:34:14.852538,1,1.0
9,00:34:13.837354,00:34:15.235570,-1,1.0
9,00:34:13.837354,00:34:15.461685,-1,1.0
9,00:34:13.837354,00:34:15.644505,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,00:34:16.353932,00:34:17.469020,1,1.0
10,00:34:16.353932,00:34:17.754132,1,1.0
10,00:34:16.353932,00:34:18.066005,1,1.0
10,00:34:16.353932,00:34:18.301342,-1,1.0
10,00:34:16.353932,00:34:18.495968,-1,1.0
