Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:13:37.188277,00:13:45.052208,1,-1.777459417350883
1,00:13:37.188277,00:13:56.315468,1,-1.088576379899223
1,00:13:37.188277,00:13:56.752192,1,-1.0327167793282115
1,00:13:37.188277,00:13:57.177971,1,-0.9765219755507246
1,00:13:37.188277,00:13:57.553718,1,-0.9200971171742083
1,00:13:37.188277,00:13:57.958584,1,-0.8634488696687015
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:14:18.516917,00:14:23.524971,1,-0.37406688128822907
2,00:14:18.516917,00:14:23.711508,1,-0.4078468251190088
2,00:14:18.516917,00:14:23.940166,1,-0.4448747934847006
2,00:14:18.516917,00:14:24.117500,1,-0.4849589199533
2,00:14:18.516917,00:14:24.304321,1,-0.5277615896338546
2,00:14:18.516917,00:14:24.480204,1,-0.5729529614222884
2,00:14:18.516917,00:14:24.662086,1,-0.6201017154981514
2,00:14:18.516917,00:14:24.826953,1,-0.6688152721374365
2,00:14:18.516917,00:14:25.014427,1,-0.718575364978534
2,00:14:18.516917,00:14:25.189658,1,-0.7688809217581536
2,00:14:18.516917,00:14:25.376797,1,-0.8192450507184219
2,00:14:18.516917,00:14:25.530804,1,-0.8691315190094429
2,00:14:18.516917,00:14:25.728067,1,-0.9180306702200483
2,00:14:18.516917,00:14:25.914188,1,-0.965506504988781
2,00:14:18.516917,00:14:26.102928,1,-1.0111127057678573
2,00:14:18.516917,00:14:26.278534,1,-1.069282369725812
2,00:14:18.516917,00:14:26.450926,1,-1.1177693825051165
2,00:14:18.516917,00:14:26.636854,1,-1.1325666460413686
2,00:14:18.516917,00:14:26.812932,1,-1.1672614534689103
2,00:14:18.516917,00:14:26.995926,1,-1.1986215744908293
2,00:14:18.516917,00:14:27.184401,1,-1.2265553803160287
2,00:14:18.516917,00:14:27.380588,1,-1.2509796356199558
2,00:14:18.516917,00:14:27.577655,1,-1.2718496859576192
2,00:14:18.516917,00:14:27.744577,1,-1.2892214900705596
2,00:14:18.516917,00:14:27.928229,1,-1.3031208219692303
2,00:14:18.516917,00:14:28.115602,1,-1.3136510803768147
2,00:14:18.516917,00:14:28.416740,-1,-1.3209171697785393
2,00:14:18.516917,00:14:28.623931,-1,-1.325044141005037
2,00:14:18.516917,00:14:28.787871,-1,-1.326196110865851
2,00:14:18.516917,00:14:28.976031,-1,-1.3245036332004076
2,00:14:18.516917,00:14:29.162341,-1,-1.3201441809669632
2,00:14:18.516917,00:14:29.327838,-1,-1.3133177657652482
2,00:14:18.516917,00:14:29.543480,-1,-1.304143632948069
2,00:14:18.516917,00:14:29.701750,-1,-1.2928776026930109
2,00:14:18.516917,00:14:29.874302,-1,-1.279625528207248
2,00:14:18.516917,00:14:30.039082,-1,-1.2645821623190727
2,00:14:18.516917,00:14:30.214803,-1,-1.2479669662022843
2,00:14:18.516917,00:14:30.387920,-1,-1.2299039516961443
2,00:14:18.516917,00:14:30.555036,-1,-0.42801317719729925
2,00:14:18.516917,00:14:30.710576,-1,-0.31271655466001674
