Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,12:12:59.839019,12:13:03.084849,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,12:13:12.609777,12:13:14.908827,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,12:13:15.610647,12:13:17.463479,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,12:13:26.066206,12:13:28.474943,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
15,12:13:28.836682,12:13:30.902352,-1,1.0
