Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,00:11:03.073835,00:11:12.567835,-1,2.5773059406752736
1,00:11:03.073835,00:11:24.701965,1,-6.674591113602644
1,00:11:03.073835,00:11:26.575220,1,-7.188487008672296
1,00:11:03.073835,00:11:27.823879,1,-7.834395635274546
1,00:11:03.073835,00:11:30.951336,1,-8.981230216741976
1,00:11:03.073835,00:11:31.581852,1,-9.142991732622276
1,00:11:03.073835,00:11:37.012976,1,-10.738134017495012
1,00:11:03.073835,00:11:37.309207,1,-10.753064171792884
1,00:11:03.073835,00:11:37.507695,1,-10.819148775854414
1,00:11:03.073835,00:11:37.693841,1,-10.810775808136013
1,00:11:03.073835,00:11:37.861909,1,-10.934419593721968
1,00:11:03.073835,00:11:38.028310,1,-10.982783265176776
1,00:11:03.073835,00:11:38.212585,1,-10.991207507440349
1,00:11:03.073835,00:11:38.378507,1,-11.034494744053431
1,00:11:03.073835,00:11:38.564730,1,-11.060344391507924
1,00:11:03.073835,00:11:38.743520,1,-11.179400898820317
1,00:11:03.073835,00:11:38.960636,1,-11.249737778631724
1,00:11:03.073835,00:11:39.157920,1,-11.380077033952288
1,00:11:03.073835,00:11:39.407492,1,-11.638357336588937
1,00:11:03.073835,00:11:39.677939,1,-12.002800637398336
1,00:11:03.073835,00:11:39.916440,1,-12.181020163550697
1,00:11:03.073835,00:11:40.115025,1,-12.396706160178864
1,00:11:03.073835,00:11:40.318724,1,-12.832683818658237
1,00:11:03.073835,00:11:40.544773,1,-13.395716411489529
1,00:11:03.073835,00:11:41.311575,1,-5.3589371593506305
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,00:11:41.882107,00:11:44.327716,-1,-2.565656323670082
2,00:11:41.882107,00:11:45.355880,-1,-2.966811829685439
2,00:11:41.882107,00:11:47.896577,-1,-4.665688463134784
2,00:11:41.882107,00:11:48.294444,-1,-4.89747561779265
2,00:11:41.882107,00:11:48.730887,-1,-5.272872934831553
2,00:11:41.882107,00:11:49.127420,-1,-5.194165601163234
2,00:11:41.882107,00:11:49.539352,-1,-5.661348896524344
2,00:11:41.882107,00:11:49.945754,-1,-5.446855665107619
2,00:11:41.882107,00:11:50.320234,-1,-8.531328844926282
