Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
1,12:18:39.321556,12:18:42.136626,-1,1.0
1,12:18:39.321556,12:18:42.407001,-1,1.0
1,12:18:39.321556,12:18:42.557275,-1,1.0
1,12:18:39.321556,12:18:42.710154,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
2,12:18:42.752572,12:18:44.406373,-1,1.0
2,12:18:42.752572,12:18:44.780691,-1,1.0
2,12:18:42.752572,12:18:45.155111,-1,1.0
2,12:18:42.752572,12:18:45.526912,-1,1.0
2,12:18:42.752572,12:18:46.429070,-1,1.0
2,12:18:42.752572,12:18:46.917467,-1,1.0
2,12:18:42.752572,12:18:47.314292,1,1.0
2,12:18:42.752572,12:18:47.510369,1,1.0
2,12:18:42.752572,12:18:47.687778,1,1.0
2,12:18:42.752572,12:18:47.809212,1,1.0
2,12:18:42.752572,12:18:48.038459,1,1.0
2,12:18:42.752572,12:18:48.335995,1,1.0
2,12:18:42.752572,12:18:48.554028,1,1.0
2,12:18:42.752572,12:18:48.791313,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
3,12:18:48.830258,12:18:51.308092,-1,1.0
3,12:18:48.830258,12:18:51.585353,-1,1.0
3,12:18:48.830258,12:18:51.749398,-1,1.0
3,12:18:48.830258,12:18:51.965207,-1,1.0
3,12:18:48.830258,12:18:52.098386,-1,1.0
3,12:18:48.830258,12:18:52.231766,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
4,12:18:52.270780,12:18:54.197068,-1,1.0
4,12:18:52.270780,12:18:54.560026,-1,1.0
4,12:18:52.270780,12:18:54.860881,-1,1.0
4,12:18:52.270780,12:18:55.087070,-1,1.0
4,12:18:52.270780,12:18:55.673492,-1,1.0
4,12:18:52.270780,12:18:55.823935,-1,1.0
4,12:18:52.270780,12:18:55.969584,-1,1.0
4,12:18:52.270780,12:18:56.185312,-1,1.0
4,12:18:52.270780,12:18:56.351157,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
5,12:18:56.385685,12:18:57.993079,-1,1.0
5,12:18:56.385685,12:18:58.294718,-1,1.0
5,12:18:56.385685,12:18:58.503599,-1,1.0
5,12:18:56.385685,12:18:58.688506,-1,1.0
5,12:18:56.385685,12:18:58.854132,-1,1.0
5,12:18:56.385685,12:18:59.017557,-1,1.0
5,12:18:56.385685,12:18:59.160340,-1,1.0
5,12:18:56.385685,12:18:59.353222,-1,1.0
5,12:18:56.385685,12:18:59.517328,-1,1.0
5,12:18:56.385685,12:18:59.681376,-1,1.0
5,12:18:56.385685,12:18:59.835569,-1,1.0
5,12:18:56.385685,12:19:00.039684,-1,1.0
5,12:18:56.385685,12:19:00.219917,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
6,12:19:00.257455,12:19:01.858919,-1,1.0
6,12:19:00.257455,12:19:02.278624,-1,1.0
6,12:19:00.257455,12:19:03.069369,-1,1.0
6,12:19:00.257455,12:19:03.463193,-1,1.0
6,12:19:00.257455,12:19:04.101282,-1,1.0
6,12:19:00.257455,12:19:04.368191,-1,1.0
6,12:19:00.257455,12:19:04.639931,-1,1.0
6,12:19:00.257455,12:19:04.824305,-1,1.0
6,12:19:00.257455,12:19:05.495736,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
7,12:19:05.526929,12:19:08.517772,-1,1.0
7,12:19:05.526929,12:19:08.915125,-1,1.0
7,12:19:05.526929,12:19:09.237579,-1,1.0
7,12:19:05.526929,12:19:09.538253,1,1.0
7,12:19:05.526929,12:19:09.808034,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
8,12:19:09.836587,12:19:11.001158,1,1.0
8,12:19:09.836587,12:19:11.212994,1,1.0
8,12:19:09.836587,12:19:11.367617,1,1.0
8,12:19:09.836587,12:19:11.636582,-1,1.0
8,12:19:09.836587,12:19:11.790075,-1,1.0
8,12:19:09.836587,12:19:11.963501,-1,1.0
8,12:19:09.836587,12:19:12.105778,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
9,12:19:12.135779,12:19:13.700774,1,1.0
9,12:19:12.135779,12:19:13.874763,1,1.0
9,12:19:12.135779,12:19:14.049471,1,1.0
9,12:19:12.135779,12:19:14.268510,1,1.0
9,12:19:12.135779,12:19:14.370481,1,1.0
9,12:19:12.135779,12:19:14.463648,-1,1.0
9,12:19:12.135779,12:19:14.628845,-1,1.0
9,12:19:12.135779,12:19:14.768759,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
10,12:19:14.805071,12:19:17.319429,1,1.0
10,12:19:14.805071,12:19:17.484738,1,1.0
10,12:19:14.805071,12:19:17.646855,1,1.0
10,12:19:14.805071,12:19:18.049656,-1,1.0
10,12:19:14.805071,12:19:18.192345,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
11,12:19:18.224668,12:19:20.102759,-1,1.0
11,12:19:18.224668,12:19:20.286353,-1,1.0
11,12:19:18.224668,12:19:20.410853,-1,1.0
11,12:19:18.224668,12:19:20.752091,-1,1.0
11,12:19:18.224668,12:19:20.895589,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
12,12:19:20.931753,12:19:23.519757,-1,1.0
12,12:19:20.931753,12:19:23.685498,-1,1.0
12,12:19:20.931753,12:19:23.849811,-1,1.0
12,12:19:20.931753,12:19:24.005513,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
13,12:19:24.040818,12:19:26.319603,1,1.0
13,12:19:24.040818,12:19:26.501778,1,1.0
13,12:19:24.040818,12:19:26.884305,-1,1.0
13,12:19:24.040818,12:19:27.026167,-1,1.0
13,12:19:24.040818,12:19:27.339094,-1,1.0
13,12:19:24.040818,12:19:27.471601,-1,1.0
13,12:19:24.040818,12:19:27.810906,-1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
14,12:19:27.846825,12:19:31.953922,1,1.0
Episode,Ep start ts,Feedback ts,Human Reward,Environment Reward
